Title:               All Employees: Private Service Providing in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
2008-01-01  496.0
2008-02-01  497.4
2008-03-01  503.2
2008-04-01  508.0
2008-05-01  513.8
2008-06-01  519.5
2008-07-01  519.5
2008-08-01  519.4
2008-09-01  510.7
2008-10-01  503.7
2008-11-01  499.9
2008-12-01  499.2
2009-01-01  484.1
2009-02-01  483.1
2009-03-01  485.6
2009-04-01  489.5
2009-05-01  495.4
2009-06-01  499.5
2009-07-01  498.3
2009-08-01  497.3
2009-09-01  490.8
2009-10-01  488.4
2009-11-01  485.9
2009-12-01  486.8
2010-01-01  472.1
2010-02-01  470.9
2010-03-01  477.0
2010-04-01  486.0
2010-05-01  489.0
2010-06-01  495.0
2010-07-01  497.6
2010-08-01  497.3
2010-09-01  490.1
2010-10-01  489.5
2010-11-01  488.5
2010-12-01  489.1
2011-01-01  474.3
2011-02-01  475.1
2011-03-01  481.4
2011-04-01  490.5
2011-05-01  493.5
2011-06-01  500.6
2011-07-01  502.0
2011-08-01  501.0
2011-09-01  495.5
2011-10-01  492.2
2011-11-01  491.1
2011-12-01  491.5
2012-01-01  479.0
2012-02-01  480.9
2012-03-01  487.3
2012-04-01  494.4
2012-05-01  497.4
2012-06-01  504.2
2012-07-01  503.0
2012-08-01  504.5
2012-09-01  497.9
2012-10-01  500.8
2012-11-01  501.1
2012-12-01  502.3
2013-01-01  490.9
2013-02-01  491.3
2013-03-01  497.0
2013-04-01  503.5
2013-05-01  507.2
2013-06-01  513.7
2013-07-01  515.3
2013-08-01  516.7
2013-09-01  508.6
2013-10-01  507.9
2013-11-01  508.3
2013-12-01  507.9
2014-01-01  494.8
2014-02-01  493.7
2014-03-01  499.4
2014-04-01  507.8
2014-05-01  512.9
2014-06-01  518.3
2014-07-01  518.1
2014-08-01  520.0
2014-09-01  512.7
2014-10-01  511.7
2014-11-01  511.6
2014-12-01  511.5
2015-01-01  501.3
2015-02-01  500.5
2015-03-01  504.4
2015-04-01  513.0
2015-05-01  518.2
2015-06-01  523.6
2015-07-01  527.9
2015-08-01  529.9
2015-09-01  524.3
2015-10-01  523.4
2015-11-01  523.8
2015-12-01  524.1
2016-01-01  509.5
2016-02-01  510.2
2016-03-01  515.3
2016-04-01  524.8
2016-05-01  525.9
2016-06-01  532.7
2016-07-01  533.9
2016-08-01  534.6
2016-09-01  529.6
2016-10-01  528.0
2016-11-01  529.0
2016-12-01  527.2
2017-01-01  513.6
2017-02-01  518.6
2017-03-01  523.1
2017-04-01  530.9
2017-05-01  533.3
2017-06-01  540.8
2017-07-01  540.8
2017-08-01  540.5
2017-09-01  534.3
2017-10-01  531.4
2017-11-01  529.2
2017-12-01  526.7
2018-01-01  513.0
2018-02-01  518.5
2018-03-01  522.1
2018-04-01  528.4
2018-05-01  536.1
2018-06-01  545.3
2018-07-01  546.7
2018-08-01  546.9
2018-09-01  539.2
2018-10-01  539.4
2018-11-01  539.7
