Title:               Civilian Labor Force in Bladen County, NC
2011-03-01  14678
2011-04-01  14731
2011-05-01  15046
2011-06-01  15088
2011-07-01  15075
2011-08-01  15198
2011-09-01  15086
2011-10-01  14892
2011-11-01  14697
2011-12-01  14580
2012-01-01  14021
2012-02-01  14276
2012-03-01  14177
2012-04-01  14198
2012-05-01  14622
2012-06-01  14609
2012-07-01  14809
2012-08-01  14546
2012-09-01  14492
2012-10-01  14749
2012-11-01  14522
2012-12-01  14375
2013-01-01  14094
2013-02-01  14216
2013-03-01  14006
2013-04-01  14107
2013-05-01  14377
2013-06-01  14463
2013-07-01  14679
2013-08-01  14318
2013-09-01  14348
2013-10-01  14621
2013-11-01  14500
2013-12-01  14456
2014-01-01  14248
2014-02-01  14099
2014-03-01  13985
2014-04-01  14041
2014-05-01  14356
2014-06-01  14742
2014-07-01  14524
2014-08-01  14060
2014-09-01  14200
2014-10-01  14475
2014-11-01  14600
2014-12-01  14269
2015-01-01  14822
2015-02-01  14828
2015-03-01  15077
2015-04-01  14669
2015-05-01  14717
2015-06-01  15081
2015-07-01  15067
2015-08-01  14297
2015-09-01  14489
2015-10-01  14654
2015-11-01  14684
2015-12-01  14493
2016-01-01  14457
2016-02-01  14563
2016-03-01  14875
2016-04-01  14646
2016-05-01  14705
2016-06-01  14689
2016-07-01  14949
2016-08-01  14380
2016-09-01  14492
2016-10-01  14455
2016-11-01  14228
2016-12-01  14200
2017-01-01  14278
2017-02-01  14627
2017-03-01  14865
2017-04-01  14594
2017-05-01  14552
2017-06-01  14273
2017-07-01  14692
2017-08-01  14389
2017-09-01  14513
2017-10-01  14375
2017-11-01  14136
2017-12-01  14250
2018-01-01  14272
2018-02-01  14699
2018-03-01  14549
2018-04-01  14512
2018-05-01  14481
2018-06-01  14432
2018-07-01  14761
2018-08-01  14116
2018-09-01  14067
2018-10-01  14064
2018-11-01  13902
