Title:               Civilian Labor Force in Bertie County, NC
2015-10-01  8582
2015-11-01  8633
2015-12-01  8488
2016-01-01  8414
2016-02-01  8423
2016-03-01  8608
2016-04-01  8500
2016-05-01  8460
2016-06-01  8503
2016-07-01  8548
2016-08-01  8270
2016-09-01  8423
2016-10-01  8324
2016-11-01  8329
2016-12-01  8326
2017-01-01  8200
2017-02-01  8298
2017-03-01  8359
2017-04-01  8227
2017-05-01  8169
2017-06-01  8183
2017-07-01  8193
2017-08-01  8000
2017-09-01  8105
2017-10-01  8171
2017-11-01  8088
2017-12-01  8132
2018-01-01  8063
2018-02-01  8060
2018-03-01  8005
2018-04-01  7931
2018-05-01  7925
2018-06-01  7964
2018-07-01  7986
2018-08-01  7721
2018-09-01  7721
2018-10-01  7758
2018-11-01  7739
