Title:               Civilian Labor Force in Brunswick County, NC
1998-07-01  33748
1998-08-01  33198
1998-09-01  33143
1998-10-01  33424
1998-11-01  33604
1998-12-01  33697
1999-01-01  34615
1999-02-01  34530
1999-03-01  34042
1999-04-01  34211
1999-05-01  34665
1999-06-01  35383
1999-07-01  35871
1999-08-01  35797
1999-09-01  34987
1999-10-01  35079
1999-11-01  35364
1999-12-01  35474
2000-01-01  34688
2000-02-01  34826
2000-03-01  34987
2000-04-01  35377
2000-05-01  35725
2000-06-01  36235
2000-07-01  36306
2000-08-01  36101
2000-09-01  35681
2000-10-01  35524
2000-11-01  35632
2000-12-01  35686
2001-01-01  36588
2001-02-01  36619
2001-03-01  36890
2001-04-01  37176
2001-05-01  37232
2001-06-01  37597
2001-07-01  37463
2001-08-01  37175
2001-09-01  36871
2001-10-01  36614
2001-11-01  36396
2001-12-01  36435
2002-01-01  36616
2002-02-01  36932
2002-03-01  37084
2002-04-01  37533
2002-05-01  37759
2002-06-01  37804
2002-07-01  38369
2002-08-01  38266
2002-09-01  37868
2002-10-01  37409
2002-11-01  37390
2002-12-01  37330
2003-01-01  38393
2003-02-01  38745
2003-03-01  38706
2003-04-01  39212
2003-05-01  39192
2003-06-01  39951
2003-07-01  39922
2003-08-01  39923
2003-09-01  39210
2003-10-01  39127
2003-11-01  39365
2003-12-01  39186
2004-01-01  39356
2004-02-01  39330
2004-03-01  39377
2004-04-01  39857
2004-05-01  40181
2004-06-01  40391
2004-07-01  41194
2004-08-01  41295
2004-09-01  40663
2004-10-01  40677
2004-11-01  40845
2004-12-01  40834
2005-01-01  41276
2005-02-01  41443
2005-03-01  41565
2005-04-01  42456
2005-05-01  43000
2005-06-01  43153
2005-07-01  43809
2005-08-01  43784
2005-09-01  43319
2005-10-01  43487
2005-11-01  43387
2005-12-01  43246
2006-01-01  44345
2006-02-01  44756
2006-03-01  45003
2006-04-01  45805
2006-05-01  46493
2006-06-01  46889
2006-07-01  47620
2006-08-01  47886
2006-09-01  47397
2006-10-01  47491
2006-11-01  47582
2006-12-01  47153
2007-01-01  46740
2007-02-01  46880
2007-03-01  47392
2007-04-01  47633
2007-05-01  48103
2007-06-01  48399
2007-07-01  48830
2007-08-01  48467
2007-09-01  48432
2007-10-01  47762
2007-11-01  47823
2007-12-01  47417
2008-01-01  48719
2008-02-01  48824
2008-03-01  49178
2008-04-01  49618
2008-05-01  50632
2008-06-01  50454
2008-07-01  50879
2008-08-01  50566
2008-09-01  49984
2008-10-01  49957
2008-11-01  50369
2008-12-01  50007
2009-01-01  50771
2009-02-01  50781
2009-03-01  50551
2009-04-01  51038
2009-05-01  51703
2009-06-01  51490
2009-07-01  51539
2009-08-01  51530
2009-09-01  51026
2009-10-01  50432
2009-11-01  50729
2009-12-01  50162
2010-01-01  43928
2010-02-01  44467
2010-03-01  45249
2010-04-01  47252
2010-05-01  47694
2010-06-01  48950
2010-07-01  49988
2010-08-01  48724
2010-09-01  46993
2010-10-01  45429
2010-11-01  45185
2010-12-01  44480
2011-01-01  43821
2011-02-01  44247
2011-03-01  45353
2011-04-01  47192
2011-05-01  48400
2011-06-01  49875
2011-07-01  50756
2011-08-01  49431
2011-09-01  47786
2011-10-01  46533
2011-11-01  45767
2011-12-01  45025
2012-01-01  44306
2012-02-01  44589
2012-03-01  45809
2012-04-01  47484
2012-05-01  48474
2012-06-01  50070
2012-07-01  51120
2012-08-01  49468
2012-09-01  47979
2012-10-01  47127
2012-11-01  46191
2012-12-01  45550
2013-01-01  45206
2013-02-01  45431
2013-03-01  46385
2013-04-01  47955
2013-05-01  49087
2013-06-01  50754
2013-07-01  51594
2013-08-01  49721
2013-09-01  48224
2013-10-01  46619
2013-11-01  46086
2013-12-01  45181
2014-01-01  44631
2014-02-01  45078
2014-03-01  46751
2014-04-01  47771
2014-05-01  49195
2014-06-01  50441
2014-07-01  51392
2014-08-01  49756
2014-09-01  48352
2014-10-01  47259
2014-11-01  46522
2014-12-01  45427
2015-01-01  45345
2015-02-01  46038
2015-03-01  47255
2015-04-01  48787
2015-05-01  50214
2015-06-01  51303
2015-07-01  52106
2015-08-01  50429
2015-09-01  49047
2015-10-01  47905
2015-11-01  47483
2015-12-01  46533
2016-01-01  46503
2016-02-01  47344
2016-03-01  48729
2016-04-01  49763
2016-05-01  50603
2016-06-01  51981
2016-07-01  53153
2016-08-01  51593
2016-09-01  50581
2016-10-01  48947
2016-11-01  48817
2016-12-01  47854
2017-01-01  48160
2017-02-01  48870
2017-03-01  50105
2017-04-01  51415
2017-05-01  52217
2017-06-01  54087
2017-07-01  54679
2017-08-01  53013
2017-09-01  51949
2017-10-01  50826
2017-11-01  50486
2017-12-01  49101
2018-01-01  49603
2018-02-01  50390
2018-03-01  51402
2018-04-01  52360
2018-05-01  53398
2018-06-01  55468
2018-07-01  56115
2018-08-01  53733
2018-09-01  51801
2018-10-01  51857
2018-11-01  51043
