Title:               Civilian Labor Force in Buncombe County, NC
2003-01-01  111199
2003-02-01  111850
2003-03-01  112101
2003-04-01  113692
2003-05-01  113344
2003-06-01  114533
2003-07-01  115184
2003-08-01  113839
2003-09-01  113847
2003-10-01  114406
2003-11-01  114582
2003-12-01  113311
2004-01-01  112124
2004-02-01  111950
2004-03-01  112200
2004-04-01  112852
2004-05-01  112858
2004-06-01  114011
2004-07-01  115540
2004-08-01  113925
2004-09-01  113123
2004-10-01  113840
2004-11-01  114535
2004-12-01  113996
2005-01-01  113439
2005-02-01  114143
2005-03-01  114656
2005-04-01  114105
2005-05-01  114287
2005-06-01  114861
2005-07-01  116967
2005-08-01  116095
2005-09-01  115882
2005-10-01  116269
2005-11-01  115790
2005-12-01  115008
2006-01-01  114771
2006-02-01  115316
2006-03-01  116386
2006-04-01  117071
2006-05-01  117920
2006-06-01  119342
2006-07-01  121192
2006-08-01  119717
2006-09-01  120145
2006-10-01  121452
2006-11-01  121525
2006-12-01  120465
2007-01-01  118499
2007-02-01  118425
2007-03-01  119314
2007-04-01  118808
2007-05-01  120205
2007-06-01  121545
2007-07-01  122678
2007-08-01  119985
2007-09-01  121411
2007-10-01  121098
2007-11-01  120792
2007-12-01  119672
2008-01-01  120532
2008-02-01  120621
2008-03-01  120951
2008-04-01  121888
2008-05-01  122898
2008-06-01  123597
2008-07-01  124984
2008-08-01  122256
2008-09-01  122468
2008-10-01  122549
2008-11-01  122891
2008-12-01  121691
2009-01-01  121150
2009-02-01  121436
2009-03-01  121137
2009-04-01  121807
2009-05-01  122392
2009-06-01  122527
2009-07-01  124802
2009-08-01  121683
2009-09-01  121524
2009-10-01  122033
2009-11-01  122203
2009-12-01  120520
2010-01-01  121324
2010-02-01  122009
2010-03-01  122980
2010-04-01  124882
2010-05-01  125124
2010-06-01  124694
2010-07-01  124529
2010-08-01  123945
2010-09-01  123790
2010-10-01  124070
2010-11-01  123947
2010-12-01  122865
2011-01-01  122650
2011-02-01  123423
2011-03-01  124142
2011-04-01  124287
2011-05-01  125371
2011-06-01  125546
2011-07-01  125797
2011-08-01  124123
2011-09-01  125368
2011-10-01  125765
2011-11-01  125212
2011-12-01  124240
2012-01-01  123699
2012-02-01  124261
2012-03-01  124843
2012-04-01  125086
2012-05-01  127147
2012-06-01  127392
2012-07-01  128067
2012-08-01  126482
2012-09-01  128010
2012-10-01  128291
2012-11-01  127390
2012-12-01  126574
2013-01-01  126750
2013-02-01  126382
2013-03-01  126567
2013-04-01  127207
2013-05-01  128772
2013-06-01  129105
2013-07-01  129200
2013-08-01  127577
2013-09-01  128570
2013-10-01  127816
2013-11-01  127645
2013-12-01  126293
2014-01-01  125767
2014-02-01  125861
2014-03-01  127514
2014-04-01  126861
2014-05-01  128561
2014-06-01  127971
2014-07-01  129223
2014-08-01  127692
2014-09-01  128503
2014-10-01  128945
2014-11-01  128514
2014-12-01  127585
2015-01-01  127987
2015-02-01  128414
2015-03-01  128889
2015-04-01  130092
2015-05-01  132049
2015-06-01  131279
2015-07-01  131752
2015-08-01  130238
2015-09-01  130823
2015-10-01  131421
2015-11-01  131024
2015-12-01  130834
2016-01-01  131627
2016-02-01  132826
2016-03-01  133826
2016-04-01  133475
2016-05-01  134313
2016-06-01  134605
2016-07-01  135369
2016-08-01  134094
2016-09-01  135165
2016-10-01  135885
2016-11-01  135256
2016-12-01  134251
2017-01-01  134355
2017-02-01  135846
2017-03-01  136200
2017-04-01  135912
2017-05-01  136647
2017-06-01  136964
2017-07-01  138142
2017-08-01  136522
2017-09-01  138855
2017-10-01  138462
2017-11-01  138629
2017-12-01  137399
2018-01-01  137704
2018-02-01  138286
2018-03-01  138477
2018-04-01  138851
2018-05-01  139220
2018-06-01  140180
2018-07-01  140482
2018-08-01  137120
2018-09-01  137430
2018-10-01  138532
2018-11-01  137484
