Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for North Carolina
Series ID:           NCBP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               

DATE        VALUE
2010-01-01   2290
2010-02-01   2160
2010-03-01   3287
2010-04-01   2615
2010-05-01   2364
2010-06-01   2381
2010-07-01   2138
2010-08-01   2218
2010-09-01   1927
2010-10-01   1697
2010-11-01   1584
2010-12-01   1561
2011-01-01   1614
2011-02-01   1765
2011-03-01   2226
2011-04-01   2136
2011-05-01   2193
2011-06-01   2463
2011-07-01   1940
2011-08-01   2253
2011-09-01   2060
2011-10-01   1873
2011-11-01   1821
2011-12-01   1811
2012-01-01   1942
2012-02-01   2432
2012-03-01   2605
2012-04-01   2207
2012-05-01   2646
2012-06-01   2688
2012-07-01   2607
2012-08-01   2803
2012-09-01   2380
2012-10-01   2572
2012-11-01   2330
2012-12-01   2313
2013-01-01   2513
2013-02-01   2672
2013-03-01   3065
2013-04-01   3258
2013-05-01   3304
2013-06-01   3143
2013-07-01   3064
2013-08-01   3357
2013-09-01   2767
2013-10-01   2761
2013-11-01   2238
2013-12-01   2427
2014-01-01   2475
2014-02-01   2577
2014-03-01   2960
2014-04-01   3201
2014-05-01   3272
2014-06-01   3106
2014-07-01   3351
2014-08-01   3169
2014-09-01   2983
2014-10-01   3170
2014-11-01   2331
2014-12-01   2676
2015-01-01   2431
2015-02-01   2530
2015-03-01   3353
2015-04-01   3198
2015-05-01   3231
2015-06-01   3349
2015-07-01   3261
2015-08-01   3429
2015-09-01   2870
2015-10-01   3236
2015-11-01   2635
2015-12-01   2861
2016-01-01   2510
2016-02-01   3032
2016-03-01   3596
2016-04-01   3873
2016-05-01   3642
2016-06-01   4186
2016-07-01   3383
2016-08-01   3813
2016-09-01   3425
2016-10-01   3404
2016-11-01   3078
2016-12-01   3073
2017-01-01   3442
2017-02-01   3295
2017-03-01   4711
2017-04-01   3619
2017-05-01   4658
2017-06-01   4379
2017-07-01   4042
2017-08-01   4142
2017-09-01   3600
2017-10-01   4017
2017-11-01   3599
2017-12-01   2939
2018-01-01   3924
2018-02-01   3967
2018-03-01   4401
2018-04-01   4425
2018-05-01   4664
2018-06-01   4462
2018-07-01   4485
2018-08-01   4488
2018-09-01   2969
2018-10-01   3908
