Title:               Civilian Labor Force in Durham-Chapel Hill, NC (MSA)
1998-06-01  227854
1998-07-01  229057
1998-08-01  225462
1998-09-01  226579
1998-10-01  229062
1998-11-01  229336
1998-12-01  228546
1999-01-01  224155
1999-02-01  226798
1999-03-01  227514
1999-04-01  227618
1999-05-01  229106
1999-06-01  231443
1999-07-01  232746
1999-08-01  230225
1999-09-01  229595
1999-10-01  231901
1999-11-01  232819
1999-12-01  233102
2000-01-01  228591
2000-02-01  232880
2000-03-01  233695
2000-04-01  234250
2000-05-01  232500
2000-06-01  233699
2000-07-01  233813
2000-08-01  231102
2000-09-01  230039
2000-10-01  232483
2000-11-01  234121
2000-12-01  235620
2001-01-01  239512
2001-02-01  242429
2001-03-01  244256
2001-04-01  242735
2001-05-01  241545
2001-06-01  242032
2001-07-01  243372
2001-08-01  237200
2001-09-01  237347
2001-10-01  239367
2001-11-01  238963
2001-12-01  240181
2002-01-01  238769
2002-02-01  241528
2002-03-01  242912
2002-04-01  243245
2002-05-01  242988
2002-06-01  242833
2002-07-01  240841
2002-08-01  239344
2002-09-01  238720
2002-10-01  237584
2002-11-01  236146
2002-12-01  233892
2003-01-01  237387
2003-02-01  240333
2003-03-01  241360
2003-04-01  240553
2003-05-01  239704
2003-06-01  241966
2003-07-01  241239
2003-08-01  238939
2003-09-01  238287
2003-10-01  238171
2003-11-01  239587
2003-12-01  238190
2004-01-01  239309
2004-02-01  240183
2004-03-01  240026
2004-04-01  238431
2004-05-01  239366
2004-06-01  242167
2004-07-01  244504
2004-08-01  240802
2004-09-01  239424
2004-10-01  239552
2004-11-01  241480
2004-12-01  239929
2005-01-01  238574
2005-02-01  240622
2005-03-01  241479
2005-04-01  241975
2005-05-01  242870
2005-06-01  245199
2005-07-01  249039
2005-08-01  246960
2005-09-01  246923
2005-10-01  246482
2005-11-01  246941
2005-12-01  246808
2006-01-01  245718
2006-02-01  247942
2006-03-01  249102
2006-04-01  248950
2006-05-01  251530
2006-06-01  254221
2006-07-01  257485
2006-08-01  256076
2006-09-01  255396
2006-10-01  256627
2006-11-01  258002
2006-12-01  257527
2007-01-01  252685
2007-02-01  253936
2007-03-01  254765
2007-04-01  253498
2007-05-01  254149
2007-06-01  257355
2007-07-01  260048
2007-08-01  257040
2007-09-01  258037
2007-10-01  255557
2007-11-01  257072
2007-12-01  255684
2008-01-01  259241
2008-02-01  259506
2008-03-01  260914
2008-04-01  262185
2008-05-01  263070
2008-06-01  265048
2008-07-01  268202
2008-08-01  264968
2008-09-01  265074
2008-10-01  264619
2008-11-01  267142
2008-12-01  265941
2009-01-01  266928
2009-02-01  267754
2009-03-01  267323
2009-04-01  268079
2009-05-01  268479
2009-06-01  270105
2009-07-01  270844
2009-08-01  267435
2009-09-01  266581
2009-10-01  264809
2009-11-01  265244
2009-12-01  262860
2010-01-01  258110
2010-02-01  259615
2010-03-01  261066
2010-04-01  265089
2010-05-01  264625
2010-06-01  263858
2010-07-01  267435
2010-08-01  264090
2010-09-01  262950
2010-10-01  261976
2010-11-01  262946
2010-12-01  261102
2011-01-01  261753
2011-02-01  262176
2011-03-01  263116
2011-04-01  265549
2011-05-01  265269
2011-06-01  264890
2011-07-01  265735
2011-08-01  264284
2011-09-01  266695
2011-10-01  267863
2011-11-01  267987
2011-12-01  266414
2012-01-01  266603
2012-02-01  268964
2012-03-01  269684
2012-04-01  269471
2012-05-01  270952
2012-06-01  271036
2012-07-01  272282
2012-08-01  268862
2012-09-01  272204
2012-10-01  274260
2012-11-01  272986
2012-12-01  272134
2013-01-01  271782
2013-02-01  272448
2013-03-01  272627
2013-04-01  272796
2013-05-01  273256
2013-06-01  273607
2013-07-01  275046
2013-08-01  271606
2013-09-01  273686
2013-10-01  273131
2013-11-01  273277
2013-12-01  270979
2014-01-01  271438
2014-02-01  274224
2014-03-01  276066
2014-04-01  274687
2014-05-01  275616
2014-06-01  274439
2014-07-01  278345
2014-08-01  276586
2014-09-01  276768
2014-10-01  278428
2014-11-01  277922
2014-12-01  276021
2015-01-01  279253
2015-02-01  281085
2015-03-01  280459
2015-04-01  280226
2015-05-01  283349
2015-06-01  279921
2015-07-01  281997
2015-08-01  278858
2015-09-01  280199
2015-10-01  283337
2015-11-01  283831
2015-12-01  282454
2016-01-01  282343
2016-02-01  287071
2016-03-01  287802
2016-04-01  287237
2016-05-01  289753
2016-06-01  291390
2016-07-01  292781
2016-08-01  289796
2016-09-01  291020
2016-10-01  291929
2016-11-01  291561
2016-12-01  288945
2017-01-01  289915
2017-02-01  293373
2017-03-01  294441
2017-04-01  294088
2017-05-01  295640
2017-06-01  296041
2017-07-01  299771
2017-08-01  295875
2017-09-01  298524
2017-10-01  297061
2017-11-01  296876
2017-12-01  293411
2018-01-01  294172
2018-02-01  298088
2018-03-01  299696
2018-04-01  298008
2018-05-01  301064
2018-06-01  302290
2018-07-01  305021
2018-08-01  299126
2018-09-01  298279
2018-10-01  300618
2018-11-01  300006
