Title:               Civilian Labor Force in Transylvania County, NC
1997-04-01  11572
1997-05-01  11799
1997-06-01  12163
1997-07-01  12141
1997-08-01  12035
1997-09-01  11689
1997-10-01  11669
1997-11-01  11472
1997-12-01  11429
1998-01-01  11474
1998-02-01  11394
1998-03-01  11549
1998-04-01  11602
1998-05-01  12077
1998-06-01  12344
1998-07-01  12195
1998-08-01  12012
1998-09-01  11725
1998-10-01  11624
1998-11-01  11412
1998-12-01  11453
1999-01-01  11565
1999-02-01  11414
1999-03-01  11364
1999-04-01  11509
1999-05-01  11765
1999-06-01  12022
1999-07-01  12103
1999-08-01  11811
1999-09-01  11669
1999-10-01  11590
1999-11-01  11383
1999-12-01  11395
2000-01-01  13221
2000-02-01  13262
2000-03-01  13418
2000-04-01  13539
2000-05-01  13545
2000-06-01  13888
2000-07-01  13679
2000-08-01  13568
2000-09-01  13376
2000-10-01  13405
2000-11-01  13189
2000-12-01  13178
2001-01-01  13292
2001-02-01  13113
2001-03-01  13310
2001-04-01  13320
2001-05-01  13470
2001-06-01  13925
2001-07-01  13820
2001-08-01  13554
2001-09-01  13312
2001-10-01  13234
2001-11-01  13135
2001-12-01  12956
2002-01-01  12836
2002-02-01  12984
2002-03-01  13031
2002-04-01  13275
2002-05-01  13502
2002-06-01  13710
2002-07-01  13660
2002-08-01  13522
2002-09-01  13078
2002-10-01  12957
2002-11-01  12704
2002-12-01  12785
2003-01-01  12556
2003-02-01  12607
2003-03-01  12635
2003-04-01  12751
2003-05-01  12879
2003-06-01  13096
2003-07-01  13246
2003-08-01  12830
2003-09-01  12470
2003-10-01  12568
2003-11-01  12409
2003-12-01  12059
2004-01-01  12004
2004-02-01  11897
2004-03-01  11942
2004-04-01  12174
2004-05-01  12250
2004-06-01  12536
2004-07-01  12808
2004-08-01  12518
2004-09-01  12203
2004-10-01  12147
2004-11-01  12043
2004-12-01  11881
2005-01-01  11923
2005-02-01  11938
2005-03-01  11976
2005-04-01  12158
2005-05-01  12332
2005-06-01  12612
2005-07-01  13050
2005-08-01  12787
2005-09-01  12672
2005-10-01  12544
2005-11-01  12217
2005-12-01  12122
2006-01-01  11964
2006-02-01  12059
2006-03-01  12206
2006-04-01  12487
2006-05-01  12553
2006-06-01  12954
2006-07-01  12805
2006-08-01  12550
2006-09-01  12939
2006-10-01  13114
2006-11-01  13006
2006-12-01  12883
2007-01-01  13002
2007-02-01  12946
2007-03-01  13064
2007-04-01  13168
2007-05-01  13474
2007-06-01  13879
2007-07-01  13769
2007-08-01  13312
2007-09-01  13614
2007-10-01  13584
2007-11-01  13335
2007-12-01  13132
2008-01-01  12867
2008-02-01  12809
2008-03-01  12974
2008-04-01  13261
2008-05-01  13506
2008-06-01  13965
2008-07-01  13828
2008-08-01  13951
2008-09-01  13419
2008-10-01  13321
2008-11-01  13168
2008-12-01  13065
2009-01-01  12831
2009-02-01  12881
2009-03-01  12891
2009-04-01  13074
2009-05-01  13295
2009-06-01  13696
2009-07-01  14159
2009-08-01  13731
2009-09-01  13326
2009-10-01  13214
2009-11-01  12985
2009-12-01  12705
2010-01-01  13447
2010-02-01  13572
2010-03-01  13658
2010-04-01  13992
2010-05-01  14097
2010-06-01  14347
2010-07-01  14370
2010-08-01  14104
2010-09-01  13770
2010-10-01  13738
2010-11-01  13405
2010-12-01  13164
2011-01-01  13101
2011-02-01  13136
2011-03-01  13193
2011-04-01  13329
2011-05-01  13607
2011-06-01  13929
2011-07-01  13690
2011-08-01  13841
2011-09-01  13512
2011-10-01  13420
2011-11-01  13070
2011-12-01  12887
2012-01-01  12866
2012-02-01  12957
2012-03-01  12972
2012-04-01  13258
2012-05-01  13588
2012-06-01  14034
2012-07-01  13831
2012-08-01  13812
2012-09-01  13691
2012-10-01  13676
2012-11-01  13469
2012-12-01  13313
2013-01-01  13158
2013-02-01  13064
2013-03-01  13043
2013-04-01  13167
2013-05-01  13534
2013-06-01  14044
2013-07-01  13805
2013-08-01  13795
2013-09-01  13487
2013-10-01  13433
2013-11-01  13233
2013-12-01  13008
2014-01-01  12976
2014-02-01  12951
2014-03-01  13113
2014-04-01  13139
2014-05-01  13503
2014-06-01  13904
2014-07-01  13696
2014-08-01  13727
2014-09-01  13448
2014-10-01  13480
2014-11-01  13208
2014-12-01  12993
2015-01-01  13197
2015-02-01  13155
2015-03-01  13235
2015-04-01  13343
2015-05-01  13686
2015-06-01  14059
2015-07-01  13996
2015-08-01  13787
2015-09-01  13665
2015-10-01  13671
2015-11-01  13463
2015-12-01  13294
2016-01-01  13411
2016-02-01  13577
2016-03-01  13729
2016-04-01  13860
2016-05-01  14058
2016-06-01  14422
2016-07-01  14597
2016-08-01  14228
2016-09-01  14006
2016-10-01  14004
2016-11-01  13807
2016-12-01  13631
2017-01-01  13704
2017-02-01  13854
2017-03-01  13957
2017-04-01  13972
2017-05-01  14225
2017-06-01  14634
2017-07-01  14961
2017-08-01  14719
2017-09-01  14454
2017-10-01  14244
2017-11-01  14016
2017-12-01  13866
2018-01-01  13870
2018-02-01  14096
2018-03-01  14121
2018-04-01  14271
2018-05-01  14352
2018-06-01  14825
2018-07-01  14859
2018-08-01  14503
2018-09-01  14215
2018-10-01  14191
2018-11-01  13970
