Title:               Civilian Labor Force in Warren County, NC
1998-01-01  7405
1998-02-01  7437
1998-03-01  7391
1998-04-01  7254
1998-05-01  7357
1998-06-01  7303
1998-07-01  7265
1998-08-01  7245
1998-09-01  7387
1998-10-01  7365
1998-11-01  7425
1998-12-01  7321
1999-01-01  7383
1999-02-01  7535
1999-03-01  7446
1999-04-01  7424
1999-05-01  7427
1999-06-01  7351
1999-07-01  7395
1999-08-01  7380
1999-09-01  7416
1999-10-01  7497
1999-11-01  7523
1999-12-01  7382
2000-01-01  7968
2000-02-01  7957
2000-03-01  8107
2000-04-01  8075
2000-05-01  8184
2000-06-01  8403
2000-07-01  8117
2000-08-01  8290
2000-09-01  8211
2000-10-01  8225
2000-11-01  8174
2000-12-01  8142
2001-01-01  8298
2001-02-01  8219
2001-03-01  8296
2001-04-01  8131
2001-05-01  8182
2001-06-01  8135
2001-07-01  8073
2001-08-01  8099
2001-09-01  8209
2001-10-01  8116
2001-11-01  8066
2001-12-01  8103
2002-01-01  7927
2002-02-01  7955
2002-03-01  7885
2002-04-01  7888
2002-05-01  7966
2002-06-01  7961
2002-07-01  7957
2002-08-01  7866
2002-09-01  8060
2002-10-01  8029
2002-11-01  7878
2002-12-01  7818
2003-01-01  7977
2003-02-01  8075
2003-03-01  8097
2003-04-01  8095
2003-05-01  8249
2003-06-01  8348
2003-07-01  8142
2003-08-01  8212
2003-09-01  8197
2003-10-01  8351
2003-11-01  8321
2003-12-01  8250
2004-01-01  8295
2004-02-01  8267
2004-03-01  8313
2004-04-01  8378
2004-05-01  8400
2004-06-01  8397
2004-07-01  8269
2004-08-01  8209
2004-09-01  8131
2004-10-01  8194
2004-11-01  8240
2004-12-01  8186
2005-01-01  8047
2005-02-01  8026
2005-03-01  8050
2005-04-01  8103
2005-05-01  8058
2005-06-01  8122
2005-07-01  8018
2005-08-01  8090
2005-09-01  7950
2005-10-01  7994
2005-11-01  7933
2005-12-01  7789
2006-01-01  7731
2006-02-01  7739
2006-03-01  7739
2006-04-01  7881
2006-05-01  7921
2006-06-01  8009
2006-07-01  8146
2006-08-01  7883
2006-09-01  7808
2006-10-01  7924
2006-11-01  7970
2006-12-01  7883
2007-01-01  7757
2007-02-01  7698
2007-03-01  7706
2007-04-01  7745
2007-05-01  7817
2007-06-01  7877
2007-07-01  7769
2007-08-01  7792
2007-09-01  7713
2007-10-01  7845
2007-11-01  7930
2007-12-01  7891
2008-01-01  7701
2008-02-01  7588
2008-03-01  7651
2008-04-01  7665
2008-05-01  7833
2008-06-01  7950
2008-07-01  7678
2008-08-01  7730
2008-09-01  7783
2008-10-01  7713
2008-11-01  8007
2008-12-01  7887
2009-01-01  7949
2009-02-01  8055
2009-03-01  7911
2009-04-01  7948
2009-05-01  8023
2009-06-01  8039
2009-07-01  7819
2009-08-01  7792
2009-09-01  7823
2009-10-01  7852
2009-11-01  7851
2009-12-01  7738
2010-01-01  7619
2010-02-01  7636
2010-03-01  7597
2010-04-01  7677
2010-05-01  7743
2010-06-01  7572
2010-07-01  7416
2010-08-01  7486
2010-09-01  7546
2010-10-01  7489
2010-11-01  7487
2010-12-01  7327
2011-01-01  7516
2011-02-01  7551
2011-03-01  7579
2011-04-01  7638
2011-05-01  7705
2011-06-01  7723
2011-07-01  7829
2011-08-01  7749
2011-09-01  7682
2011-10-01  7703
2011-11-01  7547
2011-12-01  7465
2012-01-01  7446
2012-02-01  7528
2012-03-01  7497
2012-04-01  7526
2012-05-01  7751
2012-06-01  7685
2012-07-01  7598
2012-08-01  7597
2012-09-01  7631
2012-10-01  7648
2012-11-01  7584
2012-12-01  7448
2013-01-01  7363
2013-02-01  7340
2013-03-01  7276
2013-04-01  7280
2013-05-01  7435
2013-06-01  7424
2013-07-01  7329
2013-08-01  7291
2013-09-01  7332
2013-10-01  7231
2013-11-01  7183
2013-12-01  7126
2014-01-01  7203
2014-02-01  7150
2014-03-01  7201
2014-04-01  7198
2014-05-01  7378
2014-06-01  7432
2014-07-01  7285
2014-08-01  7220
2014-09-01  7217
2014-10-01  7189
2014-11-01  7196
2014-12-01  6989
2015-01-01  7192
2015-02-01  7175
2015-03-01  7240
2015-04-01  7283
2015-05-01  7379
2015-06-01  7358
2015-07-01  7304
2015-08-01  7166
2015-09-01  7105
2015-10-01  7145
2015-11-01  7201
2015-12-01  6995
2016-01-01  7109
2016-02-01  7163
2016-03-01  7287
2016-04-01  7222
2016-05-01  7191
2016-06-01  7252
2016-07-01  7287
2016-08-01  7173
2016-09-01  7215
2016-10-01  6942
2016-11-01  6979
2016-12-01  6796
2017-01-01  6829
2017-02-01  6957
2017-03-01  6951
2017-04-01  6932
2017-05-01  6915
2017-06-01  6967
2017-07-01  6888
2017-08-01  6771
2017-09-01  6798
2017-10-01  6854
2017-11-01  6840
2017-12-01  6751
2018-01-01  6835
2018-02-01  6742
2018-03-01  6691
2018-04-01  6690
2018-05-01  6788
2018-06-01  6795
2018-07-01  6691
2018-08-01  6513
2018-09-01  6496
2018-10-01  6458
2018-11-01  6442
