Title:               Civilian Labor Force in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
2002-08-01  772462
2002-09-01  763867
2002-10-01  765548
2002-11-01  761633
2002-12-01  763701
2003-01-01  763080
2003-02-01  766778
2003-03-01  769660
2003-04-01  764453
2003-05-01  769100
2003-06-01  778049
2003-07-01  779138
2003-08-01  772616
2003-09-01  761464
2003-10-01  762722
2003-11-01  766482
2003-12-01  762819
2004-01-01  766264
2004-02-01  765900
2004-03-01  768563
2004-04-01  769773
2004-05-01  774987
2004-06-01  784046
2004-07-01  792460
2004-08-01  786193
2004-09-01  774574
2004-10-01  774418
2004-11-01  776585
2004-12-01  775113
2005-01-01  769641
2005-02-01  773156
2005-03-01  780985
2005-04-01  788350
2005-05-01  797663
2005-06-01  805963
2005-07-01  812940
2005-08-01  809054
2005-09-01  799302
2005-10-01  793103
2005-11-01  790162
2005-12-01  787059
2006-01-01  784858
2006-02-01  787732
2006-03-01  794864
2006-04-01  798206
2006-05-01  805651
2006-06-01  815107
2006-07-01  818204
2006-08-01  813726
2006-09-01  804312
2006-10-01  806191
2006-11-01  805246
2006-12-01  803923
2007-01-01  800067
2007-02-01  799263
2007-03-01  807240
2007-04-01  806487
2007-05-01  813234
2007-06-01  823185
2007-07-01  836376
2007-08-01  825473
2007-09-01  820749
2007-10-01  811123
2007-11-01  815373
2007-12-01  811725
2008-01-01  810332
2008-02-01  811635
2008-03-01  820383
2008-04-01  823331
2008-05-01  832930
2008-06-01  841169
2008-07-01  849522
2008-08-01  840990
2008-09-01  828366
2008-10-01  826459
2008-11-01  822142
2008-12-01  816875
2009-01-01  811534
2009-02-01  811951
2009-03-01  814198
2009-04-01  819144
2009-05-01  824298
2009-06-01  831098
2009-07-01  833174
2009-08-01  825006
2009-09-01  812544
2009-10-01  810148
2009-11-01  806997
2009-12-01  801224
2010-01-01  817116
2010-02-01  820660
2010-03-01  825350
2010-04-01  836649
2010-05-01  838162
2010-06-01  840592
2010-07-01  848111
2010-08-01  848777
2010-09-01  839544
2010-10-01  832793
2010-11-01  829484
2010-12-01  829262
2011-01-01  825948
2011-02-01  826274
2011-03-01  832535
2011-04-01  835671
2011-05-01  840442
2011-06-01  846636
2011-07-01  853026
2011-08-01  853792
2011-09-01  847534
2011-10-01  841540
2011-11-01  836845
2011-12-01  836143
2012-01-01  831555
2012-02-01  834696
2012-03-01  835849
2012-04-01  834219
2012-05-01  839852
2012-06-01  845948
2012-07-01  851310
2012-08-01  843267
2012-09-01  838504
2012-10-01  840930
2012-11-01  833185
2012-12-01  834587
2013-01-01  835318
2013-02-01  834094
2013-03-01  836407
2013-04-01  838454
2013-05-01  844948
2013-06-01  854148
2013-07-01  859788
2013-08-01  854903
2013-09-01  844168
2013-10-01  839273
2013-11-01  837059
2013-12-01  835500
2014-01-01  839391
2014-02-01  840523
2014-03-01  844939
2014-04-01  843437
2014-05-01  849279
2014-06-01  855915
2014-07-01  860937
2014-08-01  853551
2014-09-01  840591
2014-10-01  841104
2014-11-01  834446
2014-12-01  831674
2015-01-01  833737
2015-02-01  831739
2015-03-01  833883
2015-04-01  835444
2015-05-01  841876
2015-06-01  844185
2015-07-01  847701
2015-08-01  840068
2015-09-01  826353
2015-10-01  828280
2015-11-01  824113
2015-12-01  824205
2016-01-01  823368
2016-02-01  826745
2016-03-01  833687
2016-04-01  833802
2016-05-01  835425
2016-06-01  844972
2016-07-01  852610
2016-08-01  845171
2016-09-01  837146
2016-10-01  838327
2016-11-01  834205
2016-12-01  831630
2017-01-01  834179
2017-02-01  841042
2017-03-01  847712
2017-04-01  850610
2017-05-01  851671
2017-06-01  859692
2017-07-01  867282
2017-08-01  858943
2017-09-01  853478
2017-10-01  845376
2017-11-01  839652
2017-12-01  834501
2018-01-01  832994
2018-02-01  843161
2018-03-01  849021
2018-04-01  849112
2018-05-01  856399
2018-06-01  867770
2018-07-01  874550
2018-08-01  859674
2018-09-01  848763
2018-10-01  852652
2018-11-01  848833
