Title:               All Employees: Education and Health Services in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
2014-12-01  105.4
2015-01-01  106.8
2015-02-01  106.6
2015-03-01  106.7
2015-04-01  107.7
2015-05-01  108.1
2015-06-01  108.2
2015-07-01  109.0
2015-08-01  109.5
2015-09-01  109.7
2015-10-01  110.2
2015-11-01  110.4
2015-12-01  110.4
2016-01-01  110.6
2016-02-01  110.4
2016-03-01  110.8
2016-04-01  110.5
2016-05-01  110.6
2016-06-01  110.5
2016-07-01  110.7
2016-08-01  110.6
2016-09-01  111.3
2016-10-01  110.9
2016-11-01  110.7
2016-12-01  110.8
2017-01-01  110.9
2017-02-01  111.3
2017-03-01  111.3
2017-04-01  110.4
2017-05-01  110.6
2017-06-01  111.1
2017-07-01  111.0
2017-08-01  110.8
2017-09-01  110.1
2017-10-01  110.4
2017-11-01  110.0
2017-12-01  110.0
2018-01-01  109.1
2018-02-01  109.2
2018-03-01  109.0
2018-04-01  109.4
2018-05-01  109.2
2018-06-01  109.0
2018-07-01  108.4
2018-08-01  108.6
2018-09-01  109.7
2018-10-01  109.0
2018-11-01  109.6
