Title:               Civilian Labor Force in Edgecombe County, NC
2003-02-01  25262
2003-03-01  25109
2003-04-01  25137
2003-05-01  25067
2003-06-01  25143
2003-07-01  24939
2003-08-01  24840
2003-09-01  24623
2003-10-01  25274
2003-11-01  25365
2003-12-01  25191
2004-01-01  24806
2004-02-01  24664
2004-03-01  24553
2004-04-01  24367
2004-05-01  24345
2004-06-01  24330
2004-07-01  24664
2004-08-01  24587
2004-09-01  24238
2004-10-01  24365
2004-11-01  24378
2004-12-01  24455
2005-01-01  24086
2005-02-01  24023
2005-03-01  24017
2005-04-01  24032
2005-05-01  24236
2005-06-01  24060
2005-07-01  24403
2005-08-01  24248
2005-09-01  24199
2005-10-01  24437
2005-11-01  24516
2005-12-01  24426
2006-01-01  23781
2006-02-01  23829
2006-03-01  23826
2006-04-01  24118
2006-05-01  24169
2006-06-01  24267
2006-07-01  24543
2006-08-01  24398
2006-09-01  24266
2006-10-01  24428
2006-11-01  24789
2006-12-01  24916
2007-01-01  24627
2007-02-01  24304
2007-03-01  24247
2007-04-01  24194
2007-05-01  24207
2007-06-01  24276
2007-07-01  24352
2007-08-01  24111
2007-09-01  24067
2007-10-01  24010
2007-11-01  24304
2007-12-01  24204
2008-01-01  24229
2008-02-01  24311
2008-03-01  24440
2008-04-01  24135
2008-05-01  24332
2008-06-01  24436
2008-07-01  24554
2008-08-01  24456
2008-09-01  24368
2008-10-01  24310
2008-11-01  25215
2008-12-01  25188
2009-01-01  24767
2009-02-01  24797
2009-03-01  24328
2009-04-01  24120
2009-05-01  24133
2009-06-01  24281
2009-07-01  24294
2009-08-01  24210
2009-09-01  24283
2009-10-01  24643
2009-11-01  24710
2009-12-01  24562
2010-01-01  25761
2010-02-01  25370
2010-03-01  25409
2010-04-01  25350
2010-05-01  25446
2010-06-01  25030
2010-07-01  25265
2010-08-01  25326
2010-09-01  25459
2010-10-01  25772
2010-11-01  26082
2010-12-01  25744
2011-01-01  25172
2011-02-01  24957
2011-03-01  24958
2011-04-01  24899
2011-05-01  25000
2011-06-01  24903
2011-07-01  24775
2011-08-01  24774
2011-09-01  24667
2011-10-01  24954
2011-11-01  25081
2011-12-01  24963
2012-01-01  24432
2012-02-01  24501
2012-03-01  24462
2012-04-01  23980
2012-05-01  24413
2012-06-01  24122
2012-07-01  24233
2012-08-01  23903
2012-09-01  24201
2012-10-01  24807
2012-11-01  24693
2012-12-01  24547
2013-01-01  24258
2013-02-01  24288
2013-03-01  23883
2013-04-01  23749
2013-05-01  23975
2013-06-01  23949
2013-07-01  24127
2013-08-01  23592
2013-09-01  23766
2013-10-01  24104
2013-11-01  24036
2013-12-01  23787
2014-01-01  23321
2014-02-01  23378
2014-03-01  23316
2014-04-01  22905
2014-05-01  23302
2014-06-01  23180
2014-07-01  23326
2014-08-01  22856
2014-09-01  23035
2014-10-01  23486
2014-11-01  23637
2014-12-01  23198
2015-01-01  22982
2015-02-01  22933
2015-03-01  23034
2015-04-01  22686
2015-05-01  22956
2015-06-01  22775
2015-07-01  22805
2015-08-01  22425
2015-09-01  22594
2015-10-01  22922
2015-11-01  22959
2015-12-01  22763
2016-01-01  22279
2016-02-01  22346
2016-03-01  22489
2016-04-01  22359
2016-05-01  22269
2016-06-01  22265
2016-07-01  22533
2016-08-01  22064
2016-09-01  22496
2016-10-01  22817
2016-11-01  22530
2016-12-01  22325
2017-01-01  22273
2017-02-01  22574
2017-03-01  22473
2017-04-01  22256
2017-05-01  22143
2017-06-01  21927
2017-07-01  22065
2017-08-01  21609
2017-09-01  22041
2017-10-01  22068
2017-11-01  22174
2017-12-01  21970
2018-01-01  21844
2018-02-01  22198
2018-03-01  22019
2018-04-01  21856
2018-05-01  21892
2018-06-01  21635
2018-07-01  21788
2018-08-01  21119
2018-09-01  20954
2018-10-01  21502
2018-11-01  21603
