Title:               All Employees: Education and Health Services in North Carolina
1996-08-01  329.6
1996-09-01  330.0
1996-10-01  332.2
1996-11-01  333.9
1996-12-01  336.1
1997-01-01  338.4
1997-02-01  340.7
1997-03-01  342.4
1997-04-01  344.2
1997-05-01  345.4
1997-06-01  347.0
1997-07-01  348.4
1997-08-01  348.4
1997-09-01  352.0
1997-10-01  353.1
1997-11-01  354.2
1997-12-01  355.4
1998-01-01  356.8
1998-02-01  357.6
1998-03-01  358.3
1998-04-01  358.2
1998-05-01  360.0
1998-06-01  359.9
1998-07-01  360.0
1998-08-01  361.9
1998-09-01  363.0
1998-10-01  364.3
1998-11-01  365.6
1998-12-01  366.1
1999-01-01  367.6
1999-02-01  369.6
1999-03-01  370.0
1999-04-01  371.7
1999-05-01  371.5
1999-06-01  372.2
1999-07-01  373.0
1999-08-01  374.1
1999-09-01  375.2
1999-10-01  376.7
1999-11-01  377.6
1999-12-01  378.8
2000-01-01  378.9
2000-02-01  379.8
2000-03-01  380.8
2000-04-01  381.2
2000-05-01  382.5
2000-06-01  384.4
2000-07-01  387.1
2000-08-01  387.4
2000-09-01  387.0
2000-10-01  387.2
2000-11-01  388.6
2000-12-01  389.6
2001-01-01  397.9
2001-02-01  398.9
2001-03-01  400.5
2001-04-01  402.3
2001-05-01  404.0
2001-06-01  405.6
2001-07-01  407.8
2001-08-01  409.7
2001-09-01  409.6
2001-10-01  410.5
2001-11-01  412.2
2001-12-01  413.8
2002-01-01  417.4
2002-02-01  418.8
2002-03-01  419.2
2002-04-01  423.2
2002-05-01  423.9
2002-06-01  424.0
2002-07-01  423.3
2002-08-01  424.4
2002-09-01  425.0
2002-10-01  427.2
2002-11-01  428.1
2002-12-01  428.2
2003-01-01  428.8
2003-02-01  430.2
2003-03-01  430.9
2003-04-01  431.3
2003-05-01  432.2
2003-06-01  433.4
2003-07-01  435.3
2003-08-01  436.8
2003-09-01  438.1
2003-10-01  439.0
2003-11-01  439.4
2003-12-01  441.5
2004-01-01  440.6
2004-02-01  442.3
2004-03-01  443.4
2004-04-01  447.2
2004-05-01  449.0
2004-06-01  450.6
2004-07-01  451.7
2004-08-01  453.2
2004-09-01  455.3
2004-10-01  455.9
2004-11-01  456.6
2004-12-01  459.7
2005-01-01  461.3
2005-02-01  462.7
2005-03-01  464.1
2005-04-01  464.7
2005-05-01  466.4
2005-06-01  467.1
2005-07-01  470.3
2005-08-01  472.1
2005-09-01  475.0
2005-10-01  474.8
2005-11-01  476.0
2005-12-01  477.6
2006-01-01  483.2
2006-02-01  484.0
2006-03-01  485.5
2006-04-01  487.2
2006-05-01  488.8
2006-06-01  491.2
2006-07-01  493.7
2006-08-01  495.3
2006-09-01  497.4
2006-10-01  500.2
2006-11-01  502.3
2006-12-01  504.2
2007-01-01  506.5
2007-02-01  509.3
2007-03-01  512.0
2007-04-01  514.8
2007-05-01  516.7
2007-06-01  519.1
2007-07-01  518.9
2007-08-01  521.6
2007-09-01  523.0
2007-10-01  525.5
2007-11-01  526.8
2007-12-01  528.4
2008-01-01  528.2
2008-02-01  529.1
2008-03-01  529.2
2008-04-01  528.8
2008-05-01  530.2
2008-06-01  531.1
2008-07-01  531.2
2008-08-01  531.6
2008-09-01  532.9
2008-10-01  531.1
2008-11-01  533.2
2008-12-01  534.3
2009-01-01  535.6
2009-02-01  537.3
2009-03-01  536.2
2009-04-01  536.0
2009-05-01  537.1
2009-06-01  538.6
2009-07-01  536.9
2009-08-01  537.9
2009-09-01  537.0
2009-10-01  536.3
2009-11-01  536.4
2009-12-01  536.0
2010-01-01  537.0
2010-02-01  536.1
2010-03-01  537.1
2010-04-01  536.9
2010-05-01  536.8
2010-06-01  536.3
2010-07-01  537.2
2010-08-01  537.0
2010-09-01  532.8
2010-10-01  537.8
2010-11-01  537.9
2010-12-01  537.9
2011-01-01  536.2
2011-02-01  538.7
2011-03-01  538.2
2011-04-01  540.1
2011-05-01  539.2
2011-06-01  539.3
2011-07-01  538.7
2011-08-01  538.9
2011-09-01  540.3
2011-10-01  541.3
2011-11-01  542.2
2011-12-01  543.7
2012-01-01  545.3
2012-02-01  545.5
2012-03-01  545.8
2012-04-01  546.2
2012-05-01  547.4
2012-06-01  548.7
2012-07-01  548.8
2012-08-01  549.0
2012-09-01  550.7
2012-10-01  552.2
2012-11-01  552.9
2012-12-01  554.2
2013-01-01  554.8
2013-02-01  555.7
2013-03-01  557.2
2013-04-01  557.2
2013-05-01  557.5
2013-06-01  558.6
2013-07-01  559.8
2013-08-01  560.4
2013-09-01  561.8
2013-10-01  560.6
2013-11-01  561.0
2013-12-01  561.2
2014-01-01  561.3
2014-02-01  561.1
2014-03-01  565.4
2014-04-01  567.2
2014-05-01  568.0
2014-06-01  568.1
2014-07-01  570.6
2014-08-01  571.8
2014-09-01  570.7
2014-10-01  572.0
2014-11-01  572.3
2014-12-01  572.4
2015-01-01  570.3
2015-02-01  572.6
2015-03-01  571.0
2015-04-01  570.4
2015-05-01  572.1
2015-06-01  573.0
2015-07-01  572.3
2015-08-01  571.4
2015-09-01  574.1
2015-10-01  577.7
2015-11-01  578.1
2015-12-01  578.7
2016-01-01  578.8
2016-02-01  580.3
2016-03-01  581.9
2016-04-01  584.0
2016-05-01  584.7
2016-06-01  584.8
2016-07-01  587.6
2016-08-01  588.8
2016-09-01  590.4
2016-10-01  590.6
2016-11-01  591.2
2016-12-01  593.0
2017-01-01  595.0
2017-02-01  596.7
2017-03-01  596.2
2017-04-01  597.4
2017-05-01  598.1
2017-06-01  598.1
2017-07-01  599.1
2017-08-01  600.0
2017-09-01  599.2
2017-10-01  600.4
2017-11-01  601.8
2017-12-01  602.7
2018-01-01  602.5
2018-02-01  602.9
2018-03-01  604.8
2018-04-01  606.5
2018-05-01  610.0
2018-06-01  613.7
2018-07-01  613.5
2018-08-01  610.4
2018-09-01  610.5
2018-10-01  615.7
2018-11-01  615.9
