Title:               Civilian Labor Force in Greenville, NC (MSA)
2002-11-01   68384
2002-12-01   68571
2003-01-01   71008
2003-02-01   71094
2003-03-01   71347
2003-04-01   71745
2003-05-01   71995
2003-06-01   71882
2003-07-01   71539
2003-08-01   71403
2003-09-01   71651
2003-10-01   71971
2003-11-01   71940
2003-12-01   71748
2004-01-01   71740
2004-02-01   71704
2004-03-01   71586
2004-04-01   71541
2004-05-01   71509
2004-06-01   71548
2004-07-01   71789
2004-08-01   72044
2004-09-01   72112
2004-10-01   72101
2004-11-01   72255
2004-12-01   72519
2005-01-01   72729
2005-02-01   72859
2005-03-01   72967
2005-04-01   73218
2005-05-01   73473
2005-06-01   73429
2005-07-01   73439
2005-08-01   73800
2005-09-01   74064
2005-10-01   74022
2005-11-01   73900
2005-12-01   73934
2006-01-01   74127
2006-02-01   74429
2006-03-01   74966
2006-04-01   75555
2006-05-01   75913
2006-06-01   76182
2006-07-01   76510
2006-08-01   76639
2006-09-01   76714
2006-10-01   77180
2006-11-01   77759
2006-12-01   78127
2007-01-01   78329
2007-02-01   78419
2007-03-01   78413
2007-04-01   78370
2007-05-01   78427
2007-06-01   78621
2007-07-01   78829
2007-08-01   79088
2007-09-01   79438
2007-10-01   79735
2007-11-01   80069
2007-12-01   80412
2008-01-01   80571
2008-02-01   80669
2008-03-01   80851
2008-04-01   80878
2008-05-01   80755
2008-06-01   80847
2008-07-01   81028
2008-08-01   80950
2008-09-01   80776
2008-10-01   80698
2008-11-01   81663
2008-12-01   82119
2009-01-01   82423
2009-02-01   82538
2009-03-01   82408
2009-04-01   82310
2009-05-01   82301
2009-06-01   82317
2009-07-01   82427
2009-08-01   82431
2009-09-01   82307
2009-10-01   82248
2009-11-01   82171
2009-12-01   82115
2010-01-01   85579
2010-02-01   85635
2010-03-01   85915
2010-04-01   86365
2010-05-01   86482
2010-06-01   86374
2010-07-01   86309
2010-08-01   86137
2010-09-01   85714
2010-10-01   85424
2010-11-01   85442
2010-12-01   85481
2011-01-01   85406
2011-02-01   85277
2011-03-01   85349
2011-04-01   85526
2011-05-01   85687
2011-06-01   85821
2011-07-01   85750
2011-08-01   85683
2011-09-01   85792
2011-10-01   86041
2011-11-01   86348
2011-12-01   86586
2012-01-01   86838
2012-02-01   87068
2012-03-01   87099
2012-04-01   87134
2012-05-01   87343
2012-06-01   87552
2012-07-01   87722
2012-08-01   87979
2012-09-01   88381
2012-10-01   88578
2012-11-01   88443
2012-12-01   88370
2013-01-01   88310
2013-02-01   88069
2013-03-01   87846
2013-04-01   87812
2013-05-01   87813
2013-06-01   87871
2013-07-01   88119
2013-08-01   88312
2013-09-01   88293
2013-10-01   88052
2013-11-01   87648
2013-12-01   87386
2014-01-01   87422
2014-02-01   87623
2014-03-01   87669
2014-04-01   87489
2014-05-01   87285
2014-06-01   87202
2014-07-01   87388
2014-08-01   87535
2014-09-01   87502
2014-10-01   87585
2014-11-01   87635
2014-12-01   87615
2015-01-01   87690
2015-02-01   87692
2015-03-01   87655
2015-04-01   87854
2015-05-01   88026
2015-06-01   87840
2015-07-01   87610
2015-08-01   87450
2015-09-01   87369
2015-10-01   87475
2015-11-01   87641
2015-12-01   87744
2016-01-01   87717
2016-02-01   87755
2016-03-01   87703
2016-04-01   87461
2016-05-01   87566
2016-06-01   87967
2016-07-01   88169
2016-08-01   88227
2016-09-01   88278
2016-10-01   88369
2016-11-01   88636
2016-12-01   88829
2017-01-01   88897
2017-02-01   89079
2017-03-01   89281
2017-04-01   89254
2017-05-01   89110
2017-06-01   89115
2017-07-01   89144
2017-08-01   89277
2017-09-01   89509
2017-10-01   89538
2017-11-01   89523
2017-12-01   89542
2018-01-01   89590
2018-02-01   89840
2018-03-01   89989
2018-04-01   90098
2018-05-01   90120
2018-06-01   90318
2018-07-01   90349
2018-08-01   89603
2018-09-01   88925
2018-10-01   89209
2018-11-01   89119
