Title:               Civilian Labor Force in Goldsboro, NC (MSA)
2001-11-01   51560
2001-12-01   51220
2002-01-01   50988
2002-02-01   50923
2002-03-01   50889
2002-04-01   50844
2002-05-01   50790
2002-06-01   50717
2002-07-01   50679
2002-08-01   50647
2002-09-01   50543
2002-10-01   50332
2002-11-01   50211
2002-12-01   50455
2003-01-01   50833
2003-02-01   51038
2003-03-01   51199
2003-04-01   51398
2003-05-01   51521
2003-06-01   51519
2003-07-01   51549
2003-08-01   51669
2003-09-01   51797
2003-10-01   51969
2003-11-01   52056
2003-12-01   51926
2004-01-01   51640
2004-02-01   51379
2004-03-01   51310
2004-04-01   51247
2004-05-01   51055
2004-06-01   50887
2004-07-01   50762
2004-08-01   50611
2004-09-01   50586
2004-10-01   50774
2004-11-01   51008
2004-12-01   51073
2005-01-01   50976
2005-02-01   50940
2005-03-01   51067
2005-04-01   51187
2005-05-01   51114
2005-06-01   51091
2005-07-01   51238
2005-08-01   51298
2005-09-01   51259
2005-10-01   51240
2005-11-01   51202
2005-12-01   51063
2006-01-01   50988
2006-02-01   51126
2006-03-01   51362
2006-04-01   51654
2006-05-01   51976
2006-06-01   52297
2006-07-01   52450
2006-08-01   52396
2006-09-01   52424
2006-10-01   52632
2006-11-01   52889
2006-12-01   52969
2007-01-01   52872
2007-02-01   52781
2007-03-01   52684
2007-04-01   52612
2007-05-01   52632
2007-06-01   52645
2007-07-01   52551
2007-08-01   52497
2007-09-01   52587
2007-10-01   52753
2007-11-01   53044
2007-12-01   53384
2008-01-01   53495
2008-02-01   53385
2008-03-01   53283
2008-04-01   53270
2008-05-01   53350
2008-06-01   53336
2008-07-01   53227
2008-08-01   53263
2008-09-01   53366
2008-10-01   53406
2008-11-01   54646
2008-12-01   54577
2009-01-01   54681
2009-02-01   54690
2009-03-01   54455
2009-04-01   54327
2009-05-01   54303
2009-06-01   54109
2009-07-01   53770
2009-08-01   53478
2009-09-01   53354
2009-10-01   53349
2009-11-01   53349
2009-12-01   53407
2010-01-01   55157
2010-02-01   55156
2010-03-01   55146
2010-04-01   55228
2010-05-01   55179
2010-06-01   54958
2010-07-01   54751
2010-08-01   54648
2010-09-01   54543
2010-10-01   54452
2010-11-01   54365
2010-12-01   54292
2011-01-01   54378
2011-02-01   54483
2011-03-01   54571
2011-04-01   54660
2011-05-01   54722
2011-06-01   54797
2011-07-01   54923
2011-08-01   55113
2011-09-01   55185
2011-10-01   55121
2011-11-01   55104
2011-12-01   55042
2012-01-01   54929
2012-02-01   54949
2012-03-01   55011
2012-04-01   55174
2012-05-01   55449
2012-06-01   55557
2012-07-01   55511
2012-08-01   55477
2012-09-01   55551
2012-10-01   55662
2012-11-01   55663
2012-12-01   55530
2013-01-01   55273
2013-02-01   54922
2013-03-01   54591
2013-04-01   54485
2013-05-01   54640
2013-06-01   54838
2013-07-01   54923
2013-08-01   54911
2013-09-01   54877
2013-10-01   54807
2013-11-01   54669
2013-12-01   54463
2014-01-01   54148
2014-02-01   53836
2014-03-01   53666
2014-04-01   53676
2014-05-01   53826
2014-06-01   53940
2014-07-01   53934
2014-08-01   53853
2014-09-01   53844
2014-10-01   53979
2014-11-01   54037
2014-12-01   53975
2015-01-01   53958
2015-02-01   53968
2015-03-01   53956
2015-04-01   53928
2015-05-01   53937
2015-06-01   53929
2015-07-01   53768
2015-08-01   53522
2015-09-01   53413
2015-10-01   53445
2015-11-01   53471
2015-12-01   53516
2016-01-01   53629
2016-02-01   53808
2016-03-01   53894
2016-04-01   53656
2016-05-01   53304
2016-06-01   53206
2016-07-01   53293
2016-08-01   53337
2016-09-01   53266
2016-10-01   53135
2016-11-01   53146
2016-12-01   53318
2017-01-01   53561
2017-02-01   53865
2017-03-01   54083
2017-04-01   54010
2017-05-01   53638
2017-06-01   53324
2017-07-01   53281
2017-08-01   53333
2017-09-01   53304
2017-10-01   53147
2017-11-01   53032
2017-12-01   53064
2018-01-01   53079
2018-02-01   53486
2018-03-01   53533
2018-04-01   53279
2018-05-01   53027
2018-06-01   52927
2018-07-01   52839
2018-08-01   52455
2018-09-01   52137
2018-10-01   52474
2018-11-01   52422
