Title:               Civilian Labor Force in Greensboro-High Point, NC (MSA)
1996-12-01  342325
1997-01-01  342051
1997-02-01  344503
1997-03-01  347512
1997-04-01  343893
1997-05-01  345983
1997-06-01  346723
1997-07-01  349036
1997-08-01  343601
1997-09-01  341881
1997-10-01  341520
1997-11-01  342760
1997-12-01  343097
1998-01-01  338271
1998-02-01  341124
1998-03-01  341485
1998-04-01  341968
1998-05-01  342206
1998-06-01  343948
1998-07-01  345087
1998-08-01  342350
1998-09-01  340544
1998-10-01  342331
1998-11-01  343551
1998-12-01  343272
1999-01-01  341574
1999-02-01  343440
1999-03-01  344214
1999-04-01  342286
1999-05-01  344500
1999-06-01  346999
1999-07-01  346746
1999-08-01  343925
1999-09-01  342612
1999-10-01  347357
1999-11-01  348793
1999-12-01  348796
2000-01-01  347969
2000-02-01  351300
2000-03-01  351309
2000-04-01  351316
2000-05-01  351024
2000-06-01  353497
2000-07-01  355474
2000-08-01  353269
2000-09-01  350535
2000-10-01  353473
2000-11-01  355972
2000-12-01  356336
2001-01-01  357207
2001-02-01  359291
2001-03-01  359451
2001-04-01  357370
2001-05-01  356992
2001-06-01  359301
2001-07-01  359466
2001-08-01  354078
2001-09-01  354760
2001-10-01  355631
2001-11-01  355848
2001-12-01  355212
2002-01-01  352364
2002-02-01  356013
2002-03-01  355559
2002-04-01  357353
2002-05-01  356754
2002-06-01  358871
2002-07-01  359855
2002-08-01  357383
2002-09-01  356549
2002-10-01  358323
2002-11-01  357871
2002-12-01  355949
2003-01-01  359585
2003-02-01  363721
2003-03-01  364031
2003-04-01  365088
2003-05-01  361984
2003-06-01  364671
2003-07-01  360323
2003-08-01  355911
2003-09-01  354321
2003-10-01  358186
2003-11-01  357604
2003-12-01  353778
2004-01-01  354370
2004-02-01  355029
2004-03-01  355046
2004-04-01  357461
2004-05-01  356977
2004-06-01  360812
2004-07-01  360888
2004-08-01  356124
2004-09-01  354058
2004-10-01  357493
2004-11-01  358086
2004-12-01  356535
2005-01-01  355337
2005-02-01  358579
2005-03-01  358755
2005-04-01  360770
2005-05-01  361800
2005-06-01  363466
2005-07-01  365447
2005-08-01  361787
2005-09-01  360072
2005-10-01  363432
2005-11-01  362152
2005-12-01  360138
2006-01-01  360198
2006-02-01  362938
2006-03-01  364353
2006-04-01  366655
2006-05-01  370078
2006-06-01  370414
2006-07-01  373952
2006-08-01  372268
2006-09-01  369509
2006-10-01  373487
2006-11-01  373985
2006-12-01  372043
2007-01-01  365442
2007-02-01  365760
2007-03-01  366472
2007-04-01  365491
2007-05-01  366008
2007-06-01  367395
2007-07-01  369965
2007-08-01  364859
2007-09-01  364745
2007-10-01  366407
2007-11-01  366651
2007-12-01  363964
2008-01-01  368177
2008-02-01  367242
2008-03-01  368075
2008-04-01  368657
2008-05-01  369110
2008-06-01  369072
2008-07-01  373056
2008-08-01  369773
2008-09-01  369176
2008-10-01  372407
2008-11-01  375507
2008-12-01  371189
2009-01-01  370476
2009-02-01  370707
2009-03-01  367888
2009-04-01  368604
2009-05-01  367480
2009-06-01  368664
2009-07-01  371504
2009-08-01  367853
2009-09-01  366105
2009-10-01  366660
2009-11-01  365952
2009-12-01  362647
2010-01-01  362354
2010-02-01  363602
2010-03-01  365868
2010-04-01  368558
2010-05-01  367984
2010-06-01  367114
2010-07-01  369919
2010-08-01  366053
2010-09-01  364267
2010-10-01  365015
2010-11-01  364317
2010-12-01  362373
2011-01-01  362625
2011-02-01  362989
2011-03-01  364514
2011-04-01  365156
2011-05-01  366183
2011-06-01  365360
2011-07-01  367206
2011-08-01  364986
2011-09-01  367288
2011-10-01  367993
2011-11-01  366266
2011-12-01  363877
2012-01-01  363308
2012-02-01  365541
2012-03-01  366163
2012-04-01  364174
2012-05-01  367342
2012-06-01  365700
2012-07-01  365153
2012-08-01  364495
2012-09-01  367254
2012-10-01  370489
2012-11-01  368242
2012-12-01  367096
2013-01-01  368169
2013-02-01  367672
2013-03-01  366622
2013-04-01  365618
2013-05-01  367346
2013-06-01  366353
2013-07-01  365815
2013-08-01  364008
2013-09-01  365593
2013-10-01  364182
2013-11-01  363112
2013-12-01  359543
2014-01-01  358972
2014-02-01  361162
2014-03-01  363259
2014-04-01  360291
2014-05-01  362721
2014-06-01  359654
2014-07-01  361870
2014-08-01  360172
2014-09-01  361369
2014-10-01  363798
2014-11-01  361940
2014-12-01  358625
2015-01-01  360935
2015-02-01  362478
2015-03-01  362368
2015-04-01  364809
2015-05-01  367978
2015-06-01  364631
2015-07-01  364772
2015-08-01  363614
2015-09-01  363845
2015-10-01  365725
2015-11-01  364516
2015-12-01  362847
2016-01-01  362594
2016-02-01  365699
2016-03-01  366558
2016-04-01  364802
2016-05-01  364645
2016-06-01  363607
2016-07-01  365708
2016-08-01  364281
2016-09-01  366945
2016-10-01  369637
2016-11-01  369751
2016-12-01  365765
2017-01-01  365421
2017-02-01  367963
2017-03-01  368547
2017-04-01  368745
2017-05-01  368985
2017-06-01  368473
2017-07-01  369528
2017-08-01  367298
2017-09-01  371335
2017-10-01  369649
2017-11-01  370369
2017-12-01  366857
2018-01-01  367361
2018-02-01  371615
2018-03-01  371789
2018-04-01  371356
2018-05-01  372670
2018-06-01  373121
2018-07-01  372689
2018-08-01  366951
2018-09-01  367972
2018-10-01  373250
2018-11-01  372952
