Title:               Civilian Labor Force in Jackson County, NC
1997-03-01  16237
1997-04-01  16408
1997-05-01  16031
1997-06-01  15959
1997-07-01  16407
1997-08-01  16613
1997-09-01  16526
1997-10-01  16465
1997-11-01  16734
1997-12-01  16351
1998-01-01  15955
1998-02-01  16159
1998-03-01  16480
1998-04-01  16475
1998-05-01  17007
1998-06-01  16552
1998-07-01  16600
1998-08-01  16278
1998-09-01  16229
1998-10-01  16571
1998-11-01  16538
1998-12-01  16513
1999-01-01  16271
1999-02-01  16315
1999-03-01  16508
1999-04-01  16628
1999-05-01  16854
1999-06-01  16660
1999-07-01  16713
1999-08-01  16200
1999-09-01  16556
1999-10-01  16929
1999-11-01  16912
1999-12-01  16777
2000-01-01  16392
2000-02-01  16399
2000-03-01  16866
2000-04-01  17122
2000-05-01  17642
2000-06-01  17954
2000-07-01  17886
2000-08-01  17570
2000-09-01  17344
2000-10-01  17734
2000-11-01  17207
2000-12-01  16949
2001-01-01  18030
2001-02-01  18150
2001-03-01  18754
2001-04-01  19003
2001-05-01  19371
2001-06-01  19718
2001-07-01  19867
2001-08-01  19518
2001-09-01  19324
2001-10-01  19620
2001-11-01  19143
2001-12-01  18804
2002-01-01  17775
2002-02-01  17910
2002-03-01  18259
2002-04-01  18706
2002-05-01  19392
2002-06-01  19832
2002-07-01  20164
2002-08-01  19947
2002-09-01  19458
2002-10-01  19055
2002-11-01  18547
2002-12-01  18178
2003-01-01  18184
2003-02-01  18389
2003-03-01  18734
2003-04-01  19641
2003-05-01  20131
2003-06-01  20739
2003-07-01  21244
2003-08-01  20865
2003-09-01  20365
2003-10-01  20103
2003-11-01  19733
2003-12-01  19435
2004-01-01  18955
2004-02-01  18700
2004-03-01  18968
2004-04-01  19499
2004-05-01  19980
2004-06-01  20838
2004-07-01  21091
2004-08-01  20642
2004-09-01  19935
2004-10-01  19903
2004-11-01  19728
2004-12-01  19298
2005-01-01  19001
2005-02-01  19307
2005-03-01  19582
2005-04-01  20165
2005-05-01  20717
2005-06-01  21503
2005-07-01  21959
2005-08-01  21385
2005-09-01  21012
2005-10-01  20972
2005-11-01  20487
2005-12-01  20041
2006-01-01  19852
2006-02-01  20173
2006-03-01  20396
2006-04-01  20749
2006-05-01  21371
2006-06-01  21985
2006-07-01  22690
2006-08-01  22268
2006-09-01  21922
2006-10-01  22719
2006-11-01  22261
2006-12-01  21922
2007-01-01  20962
2007-02-01  20979
2007-03-01  21195
2007-04-01  21432
2007-05-01  22044
2007-06-01  22705
2007-07-01  23044
2007-08-01  22519
2007-09-01  22125
2007-10-01  22372
2007-11-01  21852
2007-12-01  21373
2008-01-01  19975
2008-02-01  20077
2008-03-01  20383
2008-04-01  20815
2008-05-01  21465
2008-06-01  21801
2008-07-01  22238
2008-08-01  21724
2008-09-01  21109
2008-10-01  20954
2008-11-01  20569
2008-12-01  20369
2009-01-01  19817
2009-02-01  19835
2009-03-01  19882
2009-04-01  20380
2009-05-01  21002
2009-06-01  21318
2009-07-01  21926
2009-08-01  21628
2009-09-01  21183
2009-10-01  20979
2009-11-01  20505
2009-12-01  19974
2010-01-01  17715
2010-02-01  17926
2010-03-01  18012
2010-04-01  18564
2010-05-01  18854
2010-06-01  18579
2010-07-01  18984
2010-08-01  18662
2010-09-01  18749
2010-10-01  18586
2010-11-01  18494
2010-12-01  18083
2011-01-01  17717
2011-02-01  17728
2011-03-01  17839
2011-04-01  18038
2011-05-01  18495
2011-06-01  18401
2011-07-01  18512
2011-08-01  18369
2011-09-01  18276
2011-10-01  18209
2011-11-01  17747
2011-12-01  17517
2012-01-01  17268
2012-02-01  17448
2012-03-01  17511
2012-04-01  17745
2012-05-01  18467
2012-06-01  18667
2012-07-01  18587
2012-08-01  18329
2012-09-01  18484
2012-10-01  18421
2012-11-01  18077
2012-12-01  17869
2013-01-01  17943
2013-02-01  18102
2013-03-01  18143
2013-04-01  18281
2013-05-01  18872
2013-06-01  18881
2013-07-01  19080
2013-08-01  18470
2013-09-01  18721
2013-10-01  18561
2013-11-01  18206
2013-12-01  17789
2014-01-01  17407
2014-02-01  17668
2014-03-01  18068
2014-04-01  18159
2014-05-01  18806
2014-06-01  18685
2014-07-01  18952
2014-08-01  18725
2014-09-01  18718
2014-10-01  18714
2014-11-01  18357
2014-12-01  18172
2015-01-01  17757
2015-02-01  18037
2015-03-01  18115
2015-04-01  18412
2015-05-01  18876
2015-06-01  18904
2015-07-01  19077
2015-08-01  18550
2015-09-01  18653
2015-10-01  18709
2015-11-01  18486
2015-12-01  18000
2016-01-01  17733
2016-02-01  18222
2016-03-01  18583
2016-04-01  18780
2016-05-01  19118
2016-06-01  19171
2016-07-01  19386
2016-08-01  18865
2016-09-01  19277
2016-10-01  19188
2016-11-01  18992
2016-12-01  18417
2017-01-01  18166
2017-02-01  18499
2017-03-01  18641
2017-04-01  18872
2017-05-01  19059
2017-06-01  19279
2017-07-01  19384
2017-08-01  19200
2017-09-01  19701
2017-10-01  19322
2017-11-01  19053
2017-12-01  18617
2018-01-01  18280
2018-02-01  18781
2018-03-01  18923
2018-04-01  19179
2018-05-01  19731
2018-06-01  19878
2018-07-01  19950
2018-08-01  19752
2018-09-01  19969
2018-10-01  20033
2018-11-01  19777
