Title:               Civilian Labor Force in Northampton County, NC
2007-06-01  9180
2007-07-01  9046
2007-08-01  9017
2007-09-01  9023
2007-10-01  8958
2007-11-01  9116
2007-12-01  9043
2008-01-01  8803
2008-02-01  8634
2008-03-01  8742
2008-04-01  8659
2008-05-01  8727
2008-06-01  8749
2008-07-01  8529
2008-08-01  8612
2008-09-01  8547
2008-10-01  8516
2008-11-01  8754
2008-12-01  8733
2009-01-01  8695
2009-02-01  8750
2009-03-01  8598
2009-04-01  8675
2009-05-01  8687
2009-06-01  8659
2009-07-01  8518
2009-08-01  8548
2009-09-01  8555
2009-10-01  8707
2009-11-01  8648
2009-12-01  8549
2010-01-01  8713
2010-02-01  8700
2010-03-01  8738
2010-04-01  8763
2010-05-01  8846
2010-06-01  8702
2010-07-01  8586
2010-08-01  8625
2010-09-01  8709
2010-10-01  8713
2010-11-01  8715
2010-12-01  8619
2011-01-01  8586
2011-02-01  8591
2011-03-01  8637
2011-04-01  8632
2011-05-01  8791
2011-06-01  8721
2011-07-01  8575
2011-08-01  8641
2011-09-01  8627
2011-10-01  8646
2011-11-01  8591
2011-12-01  8525
2012-01-01  8233
2012-02-01  8319
2012-03-01  8277
2012-04-01  8242
2012-05-01  8424
2012-06-01  8321
2012-07-01  8206
2012-08-01  8223
2012-09-01  8303
2012-10-01  8429
2012-11-01  8313
2012-12-01  8274
2013-01-01  8190
2013-02-01  8183
2013-03-01  8116
2013-04-01  8174
2013-05-01  8333
2013-06-01  8270
2013-07-01  8206
2013-08-01  8116
2013-09-01  8116
2013-10-01  8136
2013-11-01  8041
2013-12-01  8016
2014-01-01  7965
2014-02-01  7963
2014-03-01  7968
2014-04-01  7909
2014-05-01  8033
2014-06-01  8000
2014-07-01  7978
2014-08-01  7864
2014-09-01  7881
2014-10-01  8014
2014-11-01  7962
2014-12-01  7807
2015-01-01  7891
2015-02-01  7872
2015-03-01  7929
2015-04-01  7900
2015-05-01  7942
2015-06-01  7933
2015-07-01  7878
2015-08-01  7739
2015-09-01  7769
2015-10-01  7873
2015-11-01  7868
2015-12-01  7796
2016-01-01  7762
2016-02-01  7819
2016-03-01  7947
2016-04-01  7938
2016-05-01  7878
2016-06-01  7810
2016-07-01  7826
2016-08-01  7694
2016-09-01  7824
2016-10-01  7728
2016-11-01  7746
2016-12-01  7706
2017-01-01  7761
2017-02-01  7842
2017-03-01  7902
2017-04-01  7841
2017-05-01  7774
2017-06-01  7724
2017-07-01  7796
2017-08-01  7624
2017-09-01  7764
2017-10-01  7781
2017-11-01  7713
2017-12-01  7700
2018-01-01  7701
2018-02-01  7772
2018-03-01  7749
2018-04-01  7731
2018-05-01  7710
2018-06-01  7648
2018-07-01  7636
2018-08-01  7464
2018-09-01  7477
2018-10-01  7522
2018-11-01  7484
