Title:               All Employees: Total Nonfarm in North Carolina
1975-12-01  2051.2
1976-01-01  2026.8
1976-02-01  2034.7
1976-03-01  2049.4
1976-04-01  2062.8
1976-05-01  2073.9
1976-06-01  2098.3
1976-07-01  2069.8
1976-08-01  2092.7
1976-09-01  2115.0
1976-10-01  2118.0
1976-11-01  2123.1
1976-12-01  2128.7
1977-01-01  2090.2
1977-02-01  2099.6
1977-03-01  2121.2
1977-04-01  2137.1
1977-05-01  2150.0
1977-06-01  2179.9
1977-07-01  2158.1
1977-08-01  2183.1
1977-09-01  2217.1
1977-10-01  2230.0
1977-11-01  2234.5
1977-12-01  2245.8
1978-01-01  2203.8
1978-02-01  2217.3
1978-03-01  2224.9
1978-04-01  2246.7
1978-05-01  2255.9
1978-06-01  2286.7
1978-07-01  2251.0
1978-08-01  2277.8
1978-09-01  2341.7
1978-10-01  2335.8
1978-11-01  2344.7
1978-12-01  2343.4
1979-01-01  2325.4
1979-02-01  2325.6
1979-03-01  2348.6
1979-04-01  2362.6
1979-05-01  2372.2
1979-06-01  2398.8
1979-07-01  2348.3
1979-08-01  2366.9
1979-09-01  2405.4
1979-10-01  2406.0
1979-11-01  2406.7
1979-12-01  2409.8
1980-01-01  2370.0
1980-02-01  2367.5
1980-03-01  2379.2
1980-04-01  2391.6
1980-05-01  2390.9
1980-06-01  2391.9
1980-07-01  2319.2
1980-08-01  2342.9
1980-09-01  2391.2
1980-10-01  2402.5
1980-11-01  2407.8
1980-12-01  2405.9
1981-01-01  2364.8
1981-02-01  2370.1
1981-03-01  2386.2
1981-04-01  2396.7
1981-05-01  2402.0
1981-06-01  2422.7
1981-07-01  2356.5
1981-08-01  2369.4
1981-09-01  2414.4
1981-10-01  2414.4
1981-11-01  2408.3
1981-12-01  2393.5
1982-01-01  2331.7
1982-02-01  2338.0
1982-03-01  2342.5
1982-04-01  2351.9
1982-05-01  2352.4
1982-06-01  2360.8
1982-07-01  2304.0
1982-08-01  2321.5
1982-09-01  2368.9
1982-10-01  2365.0
1982-11-01  2361.1
1982-12-01  2366.2
1983-01-01  2327.4
1983-02-01  2330.3
1983-03-01  2356.1
1983-04-01  2383.6
1983-05-01  2400.0
1983-06-01  2433.6
1983-07-01  2396.9
1983-08-01  2410.4
1983-09-01  2477.7
1983-10-01  2496.7
1983-11-01  2504.0
1983-12-01  2514.3
1984-01-01  2487.2
1984-02-01  2502.1
1984-03-01  2529.7
1984-04-01  2545.6
1984-05-01  2563.6
1984-06-01  2584.5
1984-07-01  2532.8
1984-08-01  2557.1
1984-09-01  2611.2
1984-10-01  2619.9
1984-11-01  2623.9
1984-12-01  2624.5
1985-01-01  2588.5
1985-02-01  2594.1
1985-03-01  2620.9
1985-04-01  2642.9
1985-05-01  2650.7
1985-06-01  2663.3
1985-07-01  2603.9
1985-08-01  2630.8
1985-09-01  2679.7
1985-10-01  2707.8
1985-11-01  2714.1
1985-12-01  2717.7
1986-01-01  2673.8
1986-02-01  2681.7
1986-03-01  2701.0
1986-04-01  2721.1
1986-05-01  2735.5
1986-06-01  2757.1
1986-07-01  2710.2
1986-08-01  2737.7
1986-09-01  2779.9
1986-10-01  2804.0
1986-11-01  2810.0
1986-12-01  2817.2
1987-01-01  2779.4
1987-02-01  2783.8
1987-03-01  2817.0
1987-04-01  2839.1
1987-05-01  2858.1
1987-06-01  2880.8
1987-07-01  2835.4
1987-08-01  2856.4
1987-09-01  2899.3
1987-10-01  2928.0
1987-11-01  2935.6
1987-12-01  2938.6
1988-01-01  2882.5
1988-02-01  2913.3
1988-03-01  2943.4
1988-04-01  2961.3
1988-05-01  2978.4
1988-06-01  3006.1
1988-07-01  2968.1
1988-08-01  2992.4
1988-09-01  3040.4
1988-10-01  3041.8
1988-11-01  3053.0
1988-12-01  3057.9
1989-01-01  2997.7
1989-02-01  3015.5
1989-03-01  3034.2
1989-04-01  3054.6
1989-05-01  3071.0
1989-06-01  3102.5
1989-07-01  3045.2
1989-08-01  3072.9
1989-09-01  3109.1
1989-10-01  3121.9
1989-11-01  3131.4
1989-12-01  3130.9
1990-01-01  3074.1
1990-02-01  3094.4
1990-03-01  3116.9
1990-04-01  3127.3
1990-05-01  3145.1
1990-06-01  3162.9
1990-07-01  3098.0
1990-08-01  3118.7
1990-09-01  3142.9
1990-10-01  3134.0
1990-11-01  3142.8
1990-12-01  3128.2
1991-01-01  3041.3
1991-02-01  3037.3
1991-03-01  3044.8
1991-04-01  3057.6
1991-05-01  3078.5
1991-06-01  3091.2
1991-07-01  3040.3
1991-08-01  3074.4
1991-09-01  3103.1
1991-10-01  3118.7
1991-11-01  3120.1
1991-12-01  3115.8
1992-01-01  3054.5
1992-02-01  3063.0
1992-03-01  3088.4
1992-04-01  3111.7
1992-05-01  3142.1
1992-06-01  3171.0
1992-07-01  3117.0
1992-08-01  3148.5
1992-09-01  3180.1
1992-10-01  3197.4
1992-11-01  3207.7
1992-12-01  3209.6
1993-01-01  3142.7
1993-02-01  3161.3
1993-03-01  3178.3
1993-04-01  3214.1
1993-05-01  3237.8
1993-06-01  3267.3
1993-07-01  3227.4
1993-08-01  3251.9
1993-09-01  3282.2
1993-10-01  3300.3
1993-11-01  3321.4
1993-12-01  3327.4
1994-01-01  3246.5
1994-02-01  3261.6
1994-03-01  3297.0
1994-04-01  3323.4
1994-05-01  3347.5
1994-06-01  3383.1
1994-07-01  3318.5
1994-08-01  3355.6
1994-09-01  3401.7
1994-10-01  3413.7
1994-11-01  3433.3
1994-12-01  3438.6
1995-01-01  3366.6
1995-02-01  3381.2
1995-03-01  3412.5
1995-04-01  3426.3
1995-05-01  3450.6
1995-06-01  3481.2
1995-07-01  3410.5
1995-08-01  3440.4
1995-09-01  3487.7
1995-10-01  3506.6
1995-11-01  3519.5
1995-12-01  3528.6
1996-01-01  3418.8
1996-02-01  3456.0
1996-03-01  3488.9
1996-04-01  3507.3
1996-05-01  3547.7
1996-06-01  3576.3
1996-07-01  3491.3
1996-08-01  3531.8
1996-09-01  3571.3
1996-10-01  3591.6
1996-11-01  3613.2
1996-12-01  3625.4
1997-01-01  3544.4
1997-02-01  3564.9
1997-03-01  3601.8
1997-04-01  3626.0
1997-05-01  3657.0
1997-06-01  3680.3
1997-07-01  3605.3
1997-08-01  3645.4
1997-09-01  3701.6
1997-10-01  3713.6
1997-11-01  3731.8
1997-12-01  3740.4
1998-01-01  3648.2
1998-02-01  3669.5
1998-03-01  3702.0
1998-04-01  3732.8
1998-05-01  3759.7
1998-06-01  3787.2
1998-07-01  3717.3
1998-08-01  3767.6
1998-09-01  3807.1
1998-10-01  3816.0
1998-11-01  3829.7
1998-12-01  3837.0
1999-01-01  3755.0
1999-02-01  3784.6
1999-03-01  3812.4
1999-04-01  3834.7
1999-05-01  3846.2
1999-06-01  3855.5
1999-07-01  3807.0
1999-08-01  3852.3
1999-09-01  3873.3
1999-10-01  3899.0
1999-11-01  3908.1
1999-12-01  3918.0
2000-01-01  3818.7
2000-02-01  3839.5
2000-03-01  3884.5
2000-04-01  3906.5
2000-05-01  3936.4
2000-06-01  3955.8
2000-07-01  3879.5
2000-08-01  3929.1
2000-09-01  3946.5
2000-10-01  3941.3
2000-11-01  3951.0
2000-12-01  3946.7
2001-01-01  3877.8
2001-02-01  3892.8
2001-03-01  3910.3
2001-04-01  3912.9
2001-05-01  3928.0
2001-06-01  3919.9
2001-07-01  3841.3
2001-08-01  3884.0
2001-09-01  3887.1
2001-10-01  3882.5
2001-11-01  3873.7
2001-12-01  3863.0
2002-01-01  3779.0
2002-02-01  3795.2
2002-03-01  3823.8
2002-04-01  3848.5
2002-05-01  3871.0
2002-06-01  3854.2
2002-07-01  3789.4
2002-08-01  3840.4
2002-09-01  3850.9
2002-10-01  3855.9
2002-11-01  3851.3
2002-12-01  3844.3
2003-01-01  3747.2
2003-02-01  3749.8
2003-03-01  3772.6
2003-04-01  3792.5
2003-05-01  3819.6
2003-06-01  3804.1
2003-07-01  3712.9
2003-08-01  3773.1
2003-09-01  3797.5
2003-10-01  3819.0
2003-11-01  3813.7
2003-12-01  3817.6
2004-01-01  3733.7
2004-02-01  3744.0
2004-03-01  3780.5
2004-04-01  3814.1
2004-05-01  3846.6
2004-06-01  3839.7
2004-07-01  3792.0
2004-08-01  3853.6
2004-09-01  3882.2
2004-10-01  3886.4
2004-11-01  3895.9
2004-12-01  3905.4
2005-01-01  3826.9
2005-02-01  3843.1
2005-03-01  3873.6
2005-04-01  3900.4
2005-05-01  3920.1
2005-06-01  3904.5
2005-07-01  3848.3
2005-08-01  3920.0
2005-09-01  3955.7
2005-10-01  3962.1
2005-11-01  3976.7
2005-12-01  3979.1
2006-01-01  3915.9
2006-02-01  3930.8
2006-03-01  3967.1
2006-04-01  4013.1
2006-05-01  4045.3
2006-06-01  4042.2
2006-07-01  3984.7
2006-08-01  4057.0
2006-09-01  4082.6
2006-10-01  4105.0
2006-11-01  4131.5
2006-12-01  4137.0
2007-01-01  4048.4
2007-02-01  4070.7
2007-03-01  4110.8
2007-04-01  4120.3
2007-05-01  4157.9
2007-06-01  4161.2
2007-07-01  4074.5
2007-08-01  4153.2
2007-09-01  4179.5
2007-10-01  4182.8
2007-11-01  4200.7
2007-12-01  4203.9
2008-01-01  4108.7
2008-02-01  4128.4
2008-03-01  4149.3
2008-04-01  4150.4
2008-05-01  4176.1
2008-06-01  4157.6
2008-07-01  4065.5
2008-08-01  4133.8
2008-09-01  4153.2
2008-10-01  4129.4
2008-11-01  4110.4
2008-12-01  4087.5
2009-01-01  3945.4
2009-02-01  3933.8
2009-03-01  3927.1
2009-04-01  3919.6
2009-05-01  3934.8
2009-06-01  3907.8
2009-07-01  3816.6
2009-08-01  3877.4
2009-09-01  3900.7
2009-10-01  3887.7
2009-11-01  3891.2
2009-12-01  3880.4
2010-01-01  3790.0
2010-02-01  3795.3
2010-03-01  3831.1
2010-04-01  3864.6
2010-05-01  3905.4
2010-06-01  3884.5
2010-07-01  3808.3
2010-08-01  3875.1
2010-09-01  3891.2
2010-10-01  3919.4
2010-11-01  3929.1
2010-12-01  3918.9
2011-01-01  3824.5
2011-02-01  3859.6
2011-03-01  3889.5
2011-04-01  3921.2
2011-05-01  3941.0
2011-06-01  3926.8
2011-07-01  3851.2
2011-08-01  3923.9
2011-09-01  3944.5
2011-10-01  3958.4
2011-11-01  3973.3
2011-12-01  3968.0
2012-01-01  3898.0
2012-02-01  3922.3
2012-03-01  3955.7
2012-04-01  3981.5
2012-05-01  4013.7
2012-06-01  3987.2
2012-07-01  3909.6
2012-08-01  3993.0
2012-09-01  4016.5
2012-10-01  4037.7
2012-11-01  4056.7
2012-12-01  4052.4
2013-01-01  3964.0
2013-02-01  3993.7
2013-03-01  4022.9
2013-04-01  4049.9
2013-05-01  4076.8
2013-06-01  4056.1
2013-07-01  3983.3
2013-08-01  4064.3
2013-09-01  4090.8
2013-10-01  4115.0
2013-11-01  4131.5
2013-12-01  4130.4
2014-01-01  4039.7
2014-02-01  4040.2
2014-03-01  4088.0
2014-04-01  4131.4
2014-05-01  4166.8
2014-06-01  4151.7
2014-07-01  4076.1
2014-08-01  4152.2
2014-09-01  4172.1
2014-10-01  4207.0
2014-11-01  4223.4
2014-12-01  4226.7
2015-01-01  4141.5
2015-02-01  4164.7
2015-03-01  4183.7
2015-04-01  4221.0
2015-05-01  4260.6
2015-06-01  4251.4
2015-07-01  4178.8
2015-08-01  4246.5
2015-09-01  4271.9
2015-10-01  4309.3
2015-11-01  4325.0
2015-12-01  4330.2
2016-01-01  4239.7
2016-02-01  4265.1
2016-03-01  4297.5
2016-04-01  4337.8
2016-05-01  4364.2
2016-06-01  4358.6
2016-07-01  4290.3
2016-08-01  4350.2
2016-09-01  4374.0
2016-10-01  4389.8
2016-11-01  4416.0
2016-12-01  4409.2
2017-01-01  4319.9
2017-02-01  4355.7
2017-03-01  4376.8
2017-04-01  4402.3
2017-05-01  4436.0
2017-06-01  4437.3
2017-07-01  4362.1
2017-08-01  4425.1
2017-09-01  4433.5
2017-10-01  4465.4
2017-11-01  4480.5
2017-12-01  4484.6
2018-01-01  4396.3
2018-02-01  4428.8
2018-03-01  4459.3
2018-04-01  4482.2
2018-05-01  4534.1
2018-06-01  4539.7
2018-07-01  4471.5
2018-08-01  4527.0
2018-09-01  4517.8
2018-10-01  4566.3
2018-11-01  4581.0
