Title:               Civilian Labor Force in Rocky Mount, NC (MSA)
2006-03-01   68031
2006-04-01   68530
2006-05-01   68869
2006-06-01   69187
2006-07-01   69464
2006-08-01   69525
2006-09-01   69579
2006-10-01   69816
2006-11-01   70246
2006-12-01   70756
2007-01-01   70988
2007-02-01   70821
2007-03-01   70713
2007-04-01   70741
2007-05-01   70787
2007-06-01   70813
2007-07-01   70631
2007-08-01   70437
2007-09-01   70316
2007-10-01   70222
2007-11-01   70312
2007-12-01   70489
2008-01-01   70719
2008-02-01   71044
2008-03-01   71157
2008-04-01   71023
2008-05-01   71126
2008-06-01   71332
2008-07-01   71308
2008-08-01   71289
2008-09-01   71167
2008-10-01   70986
2008-11-01   72526
2008-12-01   72832
2009-01-01   72923
2009-02-01   72637
2009-03-01   72051
2009-04-01   71725
2009-05-01   71663
2009-06-01   71512
2009-07-01   71250
2009-08-01   71129
2009-09-01   71319
2009-10-01   71657
2009-11-01   71831
2009-12-01   71896
2010-01-01   72110
2010-02-01   72388
2010-03-01   72678
2010-04-01   72902
2010-05-01   72682
2010-06-01   72310
2010-07-01   72523
2010-08-01   73040
2010-09-01   73140
2010-10-01   73165
2010-11-01   73373
2010-12-01   73270
2011-01-01   72752
2011-02-01   72218
2011-03-01   72107
2011-04-01   72238
2011-05-01   72234
2011-06-01   71973
2011-07-01   71772
2011-08-01   71773
2011-09-01   71459
2011-10-01   71137
2011-11-01   71213
2011-12-01   71256
2012-01-01   71060
2012-02-01   70904
2012-03-01   70693
2012-04-01   70474
2012-05-01   70501
2012-06-01   70411
2012-07-01   70167
2012-08-01   70041
2012-09-01   70232
2012-10-01   70482
2012-11-01   70405
2012-12-01   70280
2013-01-01   70210
2013-02-01   69885
2013-03-01   69422
2013-04-01   69298
2013-05-01   69475
2013-06-01   69679
2013-07-01   69653
2013-08-01   69326
2013-09-01   69020
2013-10-01   68768
2013-11-01   68478
2013-12-01   68195
2014-01-01   67955
2014-02-01   67860
2014-03-01   67696
2014-04-01   67501
2014-05-01   67594
2014-06-01   67734
2014-07-01   67634
2014-08-01   67350
2014-09-01   67204
2014-10-01   67289
2014-11-01   67226
2014-12-01   67034
2015-01-01   66970
2015-02-01   66983
2015-03-01   67006
2015-04-01   67014
2015-05-01   67011
2015-06-01   66905
2015-07-01   66690
2015-08-01   66486
2015-09-01   66374
2015-10-01   66318
2015-11-01   66205
2015-12-01   66148
2016-01-01   66147
2016-02-01   66214
2016-03-01   66434
2016-04-01   66459
2016-05-01   66288
2016-06-01   66405
2016-07-01   66542
2016-08-01   66496
2016-09-01   66454
2016-10-01   66223
2016-11-01   65918
2016-12-01   65886
2017-01-01   66250
2017-02-01   66631
2017-03-01   66638
2017-04-01   66332
2017-05-01   65922
2017-06-01   65725
2017-07-01   65560
2017-08-01   65388
2017-09-01   65316
2017-10-01   65066
2017-11-01   64843
2017-12-01   64758
2018-01-01   64917
2018-02-01   65218
2018-03-01   64932
2018-04-01   64933
2018-05-01   64847
2018-06-01   64621
2018-07-01   64520
2018-08-01   64051
2018-09-01   63042
2018-10-01   63531
2018-11-01   63669
