Title:               Civilian Labor Force in Raleigh, NC (MSA)
2013-05-01   621765
2013-06-01   622354
2013-07-01   623259
2013-08-01   625344
2013-09-01   626654
2013-10-01   626223
2013-11-01   626782
2013-12-01   627989
2014-01-01   629133
2014-02-01   631328
2014-03-01   633213
2014-04-01   633612
2014-05-01   634509
2014-06-01   636437
2014-07-01   638329
2014-08-01   639835
2014-09-01   641741
2014-10-01   643976
2014-11-01   645083
2014-12-01   646116
2015-01-01   647795
2015-02-01   649019
2015-03-01   650408
2015-04-01   653476
2015-05-01   656343
2015-06-01   656843
2015-07-01   656812
2015-08-01   657338
2015-09-01   658390
2015-10-01   660434
2015-11-01   663168
2015-12-01   666326
2016-01-01   669235
2016-02-01   671524
2016-03-01   672711
2016-04-01   672807
2016-05-01   673588
2016-06-01   675256
2016-07-01   676407
2016-08-01   677600
2016-09-01   680111
2016-10-01   683057
2016-11-01   684726
2016-12-01   685456
2017-01-01   686904
2017-02-01   689336
2017-03-01   691466
2017-04-01   692781
2017-05-01   694242
2017-06-01   696570
2017-07-01   699105
2017-08-01   701289
2017-09-01   702466
2017-10-01   702493
2017-11-01   702669
2017-12-01   702988
2018-01-01   704497
2018-02-01   707278
2018-03-01   709032
2018-04-01   709636
2018-05-01   712877
2018-06-01   716667
2018-07-01   718793
2018-08-01   714696
2018-09-01   712071
2018-10-01   716535
2018-11-01   716424
