Title:               Civilian Labor Force in Rocky Mount, NC (MSA)
1996-10-01  75891
1996-11-01  75566
1996-12-01  74506
1997-01-01  72083
1997-02-01  71891
1997-03-01  72545
1997-04-01  72213
1997-05-01  73073
1997-06-01  73116
1997-07-01  72939
1997-08-01  72859
1997-09-01  71097
1997-10-01  71245
1997-11-01  71613
1997-12-01  71899
1998-01-01  70519
1998-02-01  70051
1998-03-01  70579
1998-04-01  69471
1998-05-01  70194
1998-06-01  70943
1998-07-01  71384
1998-08-01  71289
1998-09-01  70753
1998-10-01  70317
1998-11-01  69959
1998-12-01  69544
1999-01-01  69738
1999-02-01  69362
1999-03-01  69668
1999-04-01  69084
1999-05-01  69714
1999-06-01  70212
1999-07-01  70825
1999-08-01  70702
1999-09-01  71123
1999-10-01  69860
1999-11-01  69619
1999-12-01  68822
2000-01-01  67960
2000-02-01  67939
2000-03-01  68384
2000-04-01  67926
2000-05-01  68247
2000-06-01  68663
2000-07-01  69138
2000-08-01  69672
2000-09-01  69287
2000-10-01  69216
2000-11-01  69197
2000-12-01  69654
2001-01-01  69343
2001-02-01  69694
2001-03-01  69583
2001-04-01  69890
2001-05-01  69930
2001-06-01  69194
2001-07-01  69851
2001-08-01  69919
2001-09-01  69533
2001-10-01  69393
2001-11-01  69381
2001-12-01  68994
2002-01-01  68825
2002-02-01  69598
2002-03-01  69229
2002-04-01  69038
2002-05-01  68673
2002-06-01  68066
2002-07-01  69268
2002-08-01  68844
2002-09-01  68674
2002-10-01  69049
2002-11-01  68449
2002-12-01  68320
2003-01-01  69327
2003-02-01  69428
2003-03-01  69290
2003-04-01  69455
2003-05-01  69376
2003-06-01  69714
2003-07-01  69358
2003-08-01  69008
2003-09-01  68385
2003-10-01  70142
2003-11-01  70068
2003-12-01  69829
2004-01-01  69446
2004-02-01  69177
2004-03-01  69098
2004-04-01  68578
2004-05-01  68668
2004-06-01  68535
2004-07-01  69271
2004-08-01  68695
2004-09-01  67828
2004-10-01  68143
2004-11-01  68395
2004-12-01  68443
2005-01-01  67725
2005-02-01  67886
2005-03-01  67704
2005-04-01  68011
2005-05-01  68521
2005-06-01  68014
2005-07-01  68895
2005-08-01  68664
2005-09-01  68332
2005-10-01  69009
2005-11-01  69341
2005-12-01  68824
2006-01-01  67472
2006-02-01  67729
2006-03-01  67775
2006-04-01  68603
2006-05-01  68766
2006-06-01  69054
2006-07-01  70007
2006-08-01  69492
2006-09-01  69268
2006-10-01  69658
2006-11-01  70541
2006-12-01  70769
2007-01-01  71254
2007-02-01  70633
2007-03-01  70685
2007-04-01  70576
2007-05-01  70741
2007-06-01  70795
2007-07-01  71043
2007-08-01  70355
2007-09-01  70176
2007-10-01  69945
2007-11-01  70706
2007-12-01  70426
2008-01-01  70708
2008-02-01  71009
2008-03-01  71379
2008-04-01  70600
2008-05-01  71136
2008-06-01  71341
2008-07-01  71639
2008-08-01  71321
2008-09-01  71040
2008-10-01  70641
2008-11-01  72831
2008-12-01  72954
2009-01-01  72875
2009-02-01  72957
2009-03-01  71705
2009-04-01  71577
2009-05-01  71660
2009-06-01  71480
2009-07-01  71579
2009-08-01  71061
2009-09-01  70956
2009-10-01  71640
2009-11-01  72192
2009-12-01  71746
2010-01-01  73419
2010-02-01  72329
2010-03-01  72658
2010-04-01  72565
2010-05-01  72807
2010-06-01  71614
2010-07-01  72269
2010-08-01  72504
2010-09-01  73065
2010-10-01  73749
2010-11-01  74668
2010-12-01  73798
2011-01-01  72499
2011-02-01  71983
2011-03-01  72050
2011-04-01  71865
2011-05-01  72180
2011-06-01  71781
2011-07-01  71221
2011-08-01  71456
2011-09-01  71171
2011-10-01  71817
2011-11-01  72195
2011-12-01  71920
2012-01-01  70616
2012-02-01  70867
2012-03-01  70920
2012-04-01  69594
2012-05-01  70807
2012-06-01  69894
2012-07-01  70143
2012-08-01  69112
2012-09-01  70056
2012-10-01  71525
2012-11-01  71304
2012-12-01  70771
2013-01-01  69884
2013-02-01  70068
2013-03-01  69165
2013-04-01  68797
2013-05-01  69437
2013-06-01  69309
2013-07-01  69733
2013-08-01  68434
2013-09-01  68932
2013-10-01  69581
2013-11-01  69435
2013-12-01  68725
2014-01-01  67519
2014-02-01  67848
2014-03-01  67885
2014-04-01  66690
2014-05-01  67757
2014-06-01  67265
2014-07-01  67732
2014-08-01  66421
2014-09-01  67079
2014-10-01  68056
2014-11-01  68438
2014-12-01  67257
2015-01-01  66809
2015-02-01  66792
2015-03-01  67197
2015-04-01  66361
2015-05-01  67144
2015-06-01  66474
2015-07-01  66612
2015-08-01  65687
2015-09-01  66214
2015-10-01  67184
2015-11-01  67134
2015-12-01  66606
2016-01-01  65845
2016-02-01  66076
2016-03-01  66522
2016-04-01  66136
2016-05-01  66051
2016-06-01  66000
2016-07-01  66654
2016-08-01  65468
2016-09-01  66636
2016-10-01  66864
2016-11-01  66950
2016-12-01  66139
2017-01-01  65914
2017-02-01  66807
2017-03-01  66650
2017-04-01  65968
2017-05-01  65753
2017-06-01  65302
2017-07-01  65639
2017-08-01  64297
2017-09-01  65595
2017-10-01  65584
2017-11-01  65918
2017-12-01  65155
2018-01-01  64605
2018-02-01  65648
2018-03-01  65274
2018-04-01  64765
2018-05-01  64927
2018-06-01  64312
2018-07-01  64580
2018-08-01  62794
2018-09-01  62497
2018-10-01  64040
2018-11-01  64414
