Title:               Civilian Labor Force in North Carolina
1982-07-01   2937911
1982-08-01   2936547
1982-09-01   2934547
1982-10-01   2931554
1982-11-01   2928046
1982-12-01   2923572
1983-01-01   2918516
1983-02-01   2914754
1983-03-01   2913697
1983-04-01   2917105
1983-05-01   2925204
1983-06-01   2936591
1983-07-01   2949195
1983-08-01   2960610
1983-09-01   2968916
1983-10-01   2973935
1983-11-01   2976909
1983-12-01   2980326
1984-01-01   2986564
1984-02-01   2996211
1984-03-01   3008567
1984-04-01   3021168
1984-05-01   3032157
1984-06-01   3040050
1984-07-01   3043742
1984-08-01   3044370
1984-09-01   3044148
1984-10-01   3045306
1984-11-01   3049448
1984-12-01   3056772
1985-01-01   3065647
1985-02-01   3074050
1985-03-01   3080676
1985-04-01   3085411
1985-05-01   3089311
1985-06-01   3094246
1985-07-01   3101962
1985-08-01   3112577
1985-09-01   3125224
1985-10-01   3138323
1985-11-01   3149707
1985-12-01   3157694
1986-01-01   3162187
1986-02-01   3164766
1986-03-01   3166969
1986-04-01   3170017
1986-05-01   3174187
1986-06-01   3179631
1986-07-01   3186050
1986-08-01   3192884
1986-09-01   3199621
1986-10-01   3205992
1986-11-01   3212057
1986-12-01   3218607
1987-01-01   3225931
1987-02-01   3233354
1987-03-01   3241066
1987-04-01   3249016
1987-05-01   3256961
1987-06-01   3264822
1987-07-01   3272538
1987-08-01   3280094
1987-09-01   3287403
1987-10-01   3293871
1987-11-01   3298949
1987-12-01   3302039
1988-01-01   3302693
1988-02-01   3301744
1988-03-01   3300211
1988-04-01   3299753
1988-05-01   3301861
1988-06-01   3306933
1988-07-01   3314702
1988-08-01   3324416
1988-09-01   3334933
1988-10-01   3344973
1988-11-01   3354065
1988-12-01   3362135
1989-01-01   3369727
1989-02-01   3376653
1989-03-01   3382648
1989-04-01   3387693
1989-05-01   3391836
1989-06-01   3395362
1989-07-01   3398265
1989-08-01   3400844
1989-09-01   3403965
1989-10-01   3409109
1989-11-01   3416638
1989-12-01   3426505
1990-01-01   3438340
1990-02-01   3451053
1990-03-01   3462977
1990-04-01   3472078
1990-05-01   3477679
1990-06-01   3479985
1990-07-01   3480767
1990-08-01   3481895
1990-09-01   3484068
1990-10-01   3487294
1990-11-01   3491855
1990-12-01   3497492
1991-01-01   3503351
1991-02-01   3509555
1991-03-01   3515911
1991-04-01   3522766
1991-05-01   3530532
1991-06-01   3538981
1991-07-01   3546816
1991-08-01   3552984
1991-09-01   3557559
1991-10-01   3560896
1991-11-01   3563158
1991-12-01   3564455
1992-01-01   3566075
1992-02-01   3569378
1992-03-01   3575703
1992-04-01   3585270
1992-05-01   3596121
1992-06-01   3606549
1992-07-01   3615614
1992-08-01   3622322
1992-09-01   3626025
1992-10-01   3627152
1992-11-01   3626489
1992-12-01   3625325
1993-01-01   3624500
1993-02-01   3624231
1993-03-01   3624943
1993-04-01   3626290
1993-05-01   3627786
1993-06-01   3628855
1993-07-01   3628850
1993-08-01   3628351
1993-09-01   3628773
1993-10-01   3630914
1993-11-01   3634898
1993-12-01   3640386
1994-01-01   3646424
1994-02-01   3651367
1994-03-01   3654622
1994-04-01   3657638
1994-05-01   3662796
1994-06-01   3671478
1994-07-01   3683785
1994-08-01   3698107
1994-09-01   3712111
1994-10-01   3723791
1994-11-01   3732654
1994-12-01   3738175
1995-01-01   3740248
1995-02-01   3740826
1995-03-01   3741611
1995-04-01   3743134
1995-05-01   3746215
1995-06-01   3751445
1995-07-01   3758905
1995-08-01   3768177
1995-09-01   3778597
1995-10-01   3789610
1995-11-01   3800611
1995-12-01   3812202
1996-01-01   3825650
1996-02-01   3841096
1996-03-01   3857675
1996-04-01   3874107
1996-05-01   3889227
1996-06-01   3902681
1996-07-01   3914644
1996-08-01   3925530
1996-09-01   3935168
1996-10-01   3943728
1996-11-01   3951622
1996-12-01   3959028
1997-01-01   3966098
1997-02-01   3973048
1997-03-01   3979937
1997-04-01   3986585
1997-05-01   3991196
1997-06-01   3992555
1997-07-01   3991494
1997-08-01   3989338
1997-09-01   3987150
1997-10-01   3985444
1997-11-01   3984071
1997-12-01   3983048
1998-01-01   3982017
1998-02-01   3980723
1998-03-01   3979155
1998-04-01   3978138
1998-05-01   3979052
1998-06-01   3982314
1998-07-01   3986999
1998-08-01   3992689
1998-09-01   3999526
1998-10-01   4006804
1998-11-01   4013323
1998-12-01   4018325
1999-01-01   4021548
1999-02-01   4023933
1999-03-01   4027204
1999-04-01   4032289
1999-05-01   4039362
1999-06-01   4048487
1999-07-01   4059247
1999-08-01   4070237
1999-09-01   4079854
1999-10-01   4087549
1999-11-01   4094175
1999-12-01   4100340
2000-01-01   4106947
2000-02-01   4113878
2000-03-01   4120718
2000-04-01   4127403
2000-05-01   4133490
2000-06-01   4138090
2000-07-01   4140751
2000-08-01   4143288
2000-09-01   4148062
2000-10-01   4156817
2000-11-01   4169397
2000-12-01   4183822
2001-01-01   4196828
2001-02-01   4205709
2001-03-01   4208650
2001-04-01   4205507
2001-05-01   4199252
2001-06-01   4193253
2001-07-01   4190276
2001-08-01   4189891
2001-09-01   4190644
2001-10-01   4191631
2001-11-01   4192051
2001-12-01   4192439
2002-01-01   4192861
2002-02-01   4192913
2002-03-01   4192300
2002-04-01   4191758
2002-05-01   4191385
2002-06-01   4190725
2002-07-01   4189008
2002-08-01   4186285
2002-09-01   4182598
2002-10-01   4176890
2002-11-01   4169519
2002-12-01   4161214
2003-01-01   4219318
2003-02-01   4247800
2003-03-01   4261974
2003-04-01   4267491
2003-05-01   4266797
2003-06-01   4263077
2003-07-01   4258539
2003-08-01   4254726
2003-09-01   4252898
2003-10-01   4253678
2003-11-01   4256145
2003-12-01   4258027
2004-01-01   4257391
2004-02-01   4254295
2004-03-01   4251116
2004-04-01   4248981
2004-05-01   4247776
2004-06-01   4246815
2004-07-01   4246487
2004-08-01   4247168
2004-09-01   4248989
2004-10-01   4252296
2004-11-01   4257370
2004-12-01   4264900
2005-01-01   4274109
2005-02-01   4283334
2005-03-01   4291732
2005-04-01   4299859
2005-05-01   4308724
2005-06-01   4318066
2005-07-01   4326594
2005-08-01   4333159
2005-09-01   4337720
2005-10-01   4341010
2005-11-01   4344399
2005-12-01   4349449
2006-01-01   4358009
2006-02-01   4370845
2006-03-01   4387360
2006-04-01   4405948
2006-05-01   4424459
2006-06-01   4441627
2006-07-01   4457991
2006-08-01   4473899
2006-09-01   4488268
2006-10-01   4500093
2006-11-01   4508501
2006-12-01   4512413
2007-01-01   4512216
2007-02-01   4509795
2007-03-01   4506422
2007-04-01   4503842
2007-05-01   4503293
2007-06-01   4504736
2007-07-01   4507705
2007-08-01   4512317
2007-09-01   4518261
2007-10-01   4524302
2007-11-01   4529441
2007-12-01   4533473
2008-01-01   4536013
2008-02-01   4537456
2008-03-01   4539356
2008-04-01   4542659
2008-05-01   4547857
2008-06-01   4554347
2008-07-01   4559638
2008-08-01   4561100
2008-09-01   4557791
2008-10-01   4549917
2008-11-01   4616976
2008-12-01   4625824
2009-01-01   4616885
2009-02-01   4603954
2009-03-01   4592393
2009-04-01   4583588
2009-05-01   4576425
2009-06-01   4569914
2009-07-01   4563028
2009-08-01   4555878
2009-09-01   4550437
2009-10-01   4548549
2009-11-01   4553298
2009-12-01   4566393
2010-01-01   4585775
2010-02-01   4606035
2010-03-01   4622114
2010-04-01   4631285
2010-05-01   4632515
2010-06-01   4627292
2010-07-01   4619653
2010-08-01   4613366
2010-09-01   4609741
2010-10-01   4609416
2010-11-01   4611258
2010-12-01   4613405
2011-01-01   4615841
2011-02-01   4618086
2011-03-01   4619330
2011-04-01   4620259
2011-05-01   4622639
2011-06-01   4626858
2011-07-01   4632545
2011-08-01   4638876
2011-09-01   4644899
2011-10-01   4650085
2011-11-01   4653103
2011-12-01   4653712
2012-01-01   4653376
2012-02-01   4654035
2012-03-01   4656332
2012-04-01   4659384
2012-05-01   4663979
2012-06-01   4670723
2012-07-01   4679032
2012-08-01   4688766
2012-09-01   4699769
2012-10-01   4709793
2012-11-01   4716950
2012-12-01   4719804
2013-01-01   4706939
2013-02-01   4702054
2013-03-01   4696913
2013-04-01   4694011
2013-05-01   4693173
2013-06-01   4693545
2013-07-01   4694477
2013-08-01   4693963
2013-09-01   4690536
2013-10-01   4685769
2013-11-01   4681782
2013-12-01   4679576
2014-01-01   4679168
2014-02-01   4680143
2014-03-01   4682620
2014-04-01   4685783
2014-05-01   4689374
2014-06-01   4694171
2014-07-01   4699524
2014-08-01   4705430
2014-09-01   4712026
2014-10-01   4718050
2014-11-01   4722356
2014-12-01   4726586
2015-01-01   4732430
2015-02-01   4740390
2015-03-01   4749922
2015-04-01   4759578
2015-05-01   4767359
2015-06-01   4771646
2015-07-01   4773491
2015-08-01   4774649
2015-09-01   4776854
2015-10-01   4782646
2015-11-01   4793113
2015-12-01   4805667
2016-01-01   4817070
2016-02-01   4825860
2016-03-01   4831662
2016-04-01   4835707
2016-05-01   4840217
2016-06-01   4846568
2016-07-01   4855005
2016-08-01   4864641
2016-09-01   4874491
2016-10-01   4883241
2016-11-01   4890879
2016-12-01   4897899
2017-01-01   4904409
2017-02-01   4910423
2017-03-01   4915997
2017-04-01   4922244
2017-05-01   4929648
2017-06-01   4937960
2017-07-01   4947650
2017-08-01   4956805
2017-09-01   4964461
2017-10-01   4968481
2017-11-01   4967600
2017-12-01   4966113
2018-01-01   4969893
2018-02-01   4974340
2018-03-01   4977843
2018-04-01   4981554
2018-05-01   4987880
2018-06-01   4997161
2018-07-01   5004054
2018-08-01   5002552
2018-09-01   4993059
2018-10-01   4992207
2018-11-01   4991328
