Title:               Civilian Labor Force in Lincoln County, NC
2013-04-01  39624
2013-05-01  40128
2013-06-01  40053
2013-07-01  40270
2013-08-01  39688
2013-09-01  39762
2013-10-01  39833
2013-11-01  39966
2013-12-01  39678
2014-01-01  39173
2014-02-01  39250
2014-03-01  39647
2014-04-01  39321
2014-05-01  39708
2014-06-01  39585
2014-07-01  39934
2014-08-01  39530
2014-09-01  39636
2014-10-01  40133
2014-11-01  40038
2014-12-01  39799
2015-01-01  39903
2015-02-01  40116
2015-03-01  40241
2015-04-01  40274
2015-05-01  40904
2015-06-01  40878
2015-07-01  41021
2015-08-01  40524
2015-09-01  40547
2015-10-01  40976
2015-11-01  41018
2015-12-01  40964
2016-01-01  40379
2016-02-01  40649
2016-03-01  40926
2016-04-01  40796
2016-05-01  40891
2016-06-01  40981
2016-07-01  41332
2016-08-01  40912
2016-09-01  41408
2016-10-01  41602
2016-11-01  41526
2016-12-01  41205
2017-01-01  41465
2017-02-01  41672
2017-03-01  41989
2017-04-01  41874
2017-05-01  42059
2017-06-01  42258
2017-07-01  42577
2017-08-01  42180
2017-09-01  42702
2017-10-01  42742
2017-11-01  42695
2017-12-01  42572
2018-01-01  42556
2018-02-01  42821
2018-03-01  43057
2018-04-01  42877
2018-05-01  43188
2018-06-01  43370
2018-07-01  43457
2018-08-01  42693
2018-09-01  42828
2018-10-01  43360
2018-11-01  43195
