Title:               All Employees: Leisure and Hospitality in North Carolina
2002-03-01  335.9
2002-04-01  340.0
2002-05-01  339.7
2002-06-01  340.8
2002-07-01  342.1
2002-08-01  341.5
2002-09-01  342.6
2002-10-01  341.8
2002-11-01  341.9
2002-12-01  341.5
2003-01-01  340.9
2003-02-01  339.6
2003-03-01  338.8
2003-04-01  341.0
2003-05-01  342.7
2003-06-01  343.2
2003-07-01  342.3
2003-08-01  343.7
2003-09-01  344.4
2003-10-01  347.3
2003-11-01  348.6
2003-12-01  349.4
2004-01-01  348.1
2004-02-01  348.5
2004-03-01  348.9
2004-04-01  352.7
2004-05-01  354.5
2004-06-01  354.4
2004-07-01  357.1
2004-08-01  359.5
2004-09-01  359.9
2004-10-01  358.6
2004-11-01  359.0
2004-12-01  359.6
2005-01-01  360.0
2005-02-01  360.5
2005-03-01  361.8
2005-04-01  361.0
2005-05-01  361.0
2005-06-01  362.6
2005-07-01  363.1
2005-08-01  364.2
2005-09-01  365.6
2005-10-01  366.3
2005-11-01  367.6
2005-12-01  367.2
2006-01-01  372.1
2006-02-01  373.5
2006-03-01  375.0
2006-04-01  379.9
2006-05-01  380.4
2006-06-01  381.1
2006-07-01  386.0
2006-08-01  386.0
2006-09-01  388.1
2006-10-01  391.7
2006-11-01  394.8
2006-12-01  396.5
2007-01-01  396.9
2007-02-01  398.2
2007-03-01  400.6
2007-04-01  398.2
2007-05-01  400.3
2007-06-01  401.5
2007-07-01  399.8
2007-08-01  401.0
2007-09-01  401.4
2007-10-01  403.4
2007-11-01  405.9
2007-12-01  407.3
2008-01-01  409.2
2008-02-01  411.0
2008-03-01  411.4
2008-04-01  406.8
2008-05-01  407.1
2008-06-01  405.6
2008-07-01  406.9
2008-08-01  406.1
2008-09-01  406.2
2008-10-01  404.2
2008-11-01  401.3
2008-12-01  401.2
2009-01-01  398.6
2009-02-01  399.1
2009-03-01  396.5
2009-04-01  393.7
2009-05-01  396.6
2009-06-01  394.7
2009-07-01  393.6
2009-08-01  392.8
2009-09-01  393.2
2009-10-01  390.8
2009-11-01  390.4
2009-12-01  389.5
2010-01-01  388.5
2010-02-01  388.6
2010-03-01  389.0
2010-04-01  390.6
2010-05-01  391.1
2010-06-01  393.0
2010-07-01  393.9
2010-08-01  395.3
2010-09-01  397.4
2010-10-01  397.9
2010-11-01  398.0
2010-12-01  397.9
2011-01-01  394.7
2011-02-01  397.9
2011-03-01  400.3
2011-04-01  401.6
2011-05-01  401.4
2011-06-01  401.6
2011-07-01  401.6
2011-08-01  403.3
2011-09-01  403.7
2011-10-01  404.3
2011-11-01  405.9
2011-12-01  407.5
2012-01-01  408.8
2012-02-01  410.9
2012-03-01  413.6
2012-04-01  414.2
2012-05-01  415.0
2012-06-01  413.9
2012-07-01  418.1
2012-08-01  419.6
2012-09-01  419.5
2012-10-01  420.8
2012-11-01  421.2
2012-12-01  422.6
2013-01-01  426.0
2013-02-01  425.8
2013-03-01  427.0
2013-04-01  428.7
2013-05-01  428.9
2013-06-01  431.1
2013-07-01  433.2
2013-08-01  433.9
2013-09-01  435.4
2013-10-01  437.1
2013-11-01  438.6
2013-12-01  441.1
2014-01-01  439.1
2014-02-01  435.8
2014-03-01  440.0
2014-04-01  442.6
2014-05-01  445.5
2014-06-01  445.0
2014-07-01  445.2
2014-08-01  446.3
2014-09-01  448.2
2014-10-01  449.7
2014-11-01  450.5
2014-12-01  452.4
2015-01-01  453.7
2015-02-01  455.5
2015-03-01  454.6
2015-04-01  453.8
2015-05-01  457.2
2015-06-01  459.7
2015-07-01  461.2
2015-08-01  462.0
2015-09-01  464.1
2015-10-01  466.5
2015-11-01  467.3
2015-12-01  470.0
2016-01-01  472.8
2016-02-01  475.0
2016-03-01  476.9
2016-04-01  479.6
2016-05-01  478.7
2016-06-01  479.4
2016-07-01  480.0
2016-08-01  480.7
2016-09-01  483.5
2016-10-01  484.4
2016-11-01  487.1
2016-12-01  487.8
2017-01-01  488.8
2017-02-01  491.2
2017-03-01  492.5
2017-04-01  490.9
2017-05-01  492.6
2017-06-01  493.5
2017-07-01  494.7
2017-08-01  496.1
2017-09-01  495.1
2017-10-01  496.0
2017-11-01  494.8
2017-12-01  496.7
2018-01-01  499.2
2018-02-01  499.7
2018-03-01  500.4
2018-04-01  498.7
2018-05-01  500.8
2018-06-01  504.9
2018-07-01  503.7
2018-08-01  503.8
2018-09-01  492.5
2018-10-01  503.5
2018-11-01  503.8
