Title:               Civilian Labor Force in Lee County, NC
2002-05-01  25231
2002-06-01  25302
2002-07-01  25024
2002-08-01  25211
2002-09-01  25073
2002-10-01  24864
2002-11-01  24423
2002-12-01  24359
2003-01-01  24703
2003-02-01  25025
2003-03-01  25047
2003-04-01  25109
2003-05-01  25209
2003-06-01  25650
2003-07-01  25653
2003-08-01  25630
2003-09-01  25464
2003-10-01  25682
2003-11-01  25542
2003-12-01  25382
2004-01-01  25288
2004-02-01  25263
2004-03-01  25262
2004-04-01  25412
2004-05-01  25510
2004-06-01  25860
2004-07-01  25801
2004-08-01  25878
2004-09-01  25836
2004-10-01  25895
2004-11-01  25728
2004-12-01  25450
2005-01-01  25487
2005-02-01  25652
2005-03-01  25669
2005-04-01  25996
2005-05-01  25773
2005-06-01  26134
2005-07-01  26465
2005-08-01  26186
2005-09-01  26127
2005-10-01  26270
2005-11-01  25989
2005-12-01  25859
2006-01-01  25710
2006-02-01  25851
2006-03-01  25868
2006-04-01  26046
2006-05-01  26245
2006-06-01  26777
2006-07-01  26788
2006-08-01  26516
2006-09-01  26239
2006-10-01  26312
2006-11-01  26331
2006-12-01  26159
2007-01-01  26595
2007-02-01  26530
2007-03-01  26609
2007-04-01  26332
2007-05-01  26473
2007-06-01  26751
2007-07-01  26636
2007-08-01  26363
2007-09-01  26464
2007-10-01  26202
2007-11-01  26374
2007-12-01  26305
2008-01-01  25752
2008-02-01  25799
2008-03-01  25784
2008-04-01  25733
2008-05-01  25794
2008-06-01  25833
2008-07-01  25922
2008-08-01  25641
2008-09-01  25703
2008-10-01  25560
2008-11-01  26102
2008-12-01  25974
2009-01-01  25898
2009-02-01  26196
2009-03-01  26004
2009-04-01  26499
2009-05-01  26189
2009-06-01  26159
2009-07-01  25614
2009-08-01  25695
2009-09-01  25686
2009-10-01  26060
2009-11-01  26181
2009-12-01  26271
2010-01-01  27267
2010-02-01  27228
2010-03-01  27351
2010-04-01  27473
2010-05-01  27376
2010-06-01  27255
2010-07-01  26385
2010-08-01  26668
2010-09-01  26710
2010-10-01  27033
2010-11-01  27260
2010-12-01  27136
2011-01-01  27117
2011-02-01  27168
2011-03-01  27511
2011-04-01  27527
2011-05-01  27621
2011-06-01  27536
2011-07-01  26757
2011-08-01  27247
2011-09-01  27210
2011-10-01  27242
2011-11-01  26954
2011-12-01  26843
2012-01-01  26969
2012-02-01  27307
2012-03-01  27221
2012-04-01  26936
2012-05-01  27240
2012-06-01  27375
2012-07-01  26936
2012-08-01  26820
2012-09-01  27128
2012-10-01  27236
2012-11-01  26921
2012-12-01  27031
2013-01-01  26388
2013-02-01  26456
2013-03-01  26200
2013-04-01  26153
2013-05-01  26393
2013-06-01  26391
2013-07-01  25803
2013-08-01  25789
2013-09-01  26003
2013-10-01  25923
2013-11-01  25772
2013-12-01  25671
2014-01-01  25181
2014-02-01  25179
2014-03-01  25354
2014-04-01  25239
2014-05-01  25255
2014-06-01  25246
2014-07-01  24703
2014-08-01  24413
2014-09-01  24757
2014-10-01  25052
2014-11-01  24975
2014-12-01  24935
2015-01-01  25879
2015-02-01  26036
2015-03-01  26162
2015-04-01  25948
2015-05-01  26285
2015-06-01  26212
2015-07-01  26078
2015-08-01  25813
2015-09-01  26108
2015-10-01  26311
2015-11-01  26206
2015-12-01  26046
2016-01-01  26030
2016-02-01  26303
2016-03-01  26476
2016-04-01  26146
2016-05-01  26062
2016-06-01  26194
2016-07-01  25961
2016-08-01  25859
2016-09-01  26225
2016-10-01  26312
2016-11-01  26258
2016-12-01  26605
2017-01-01  26695
2017-02-01  26629
2017-03-01  27166
2017-04-01  26428
2017-05-01  26532
2017-06-01  26891
2017-07-01  25983
2017-08-01  26477
2017-09-01  26607
2017-10-01  26833
2017-11-01  26731
2017-12-01  26697
2018-01-01  26723
2018-02-01  26530
2018-03-01  26763
2018-04-01  26462
2018-05-01  26574
2018-06-01  26669
2018-07-01  26138
2018-08-01  26230
2018-09-01  26313
2018-10-01  26548
2018-11-01  26400
