Title:               Civilian Labor Force in Union County, NC
2010-04-01  102105
2010-05-01  102205
2010-06-01  101340
2010-07-01  101192
2010-08-01  101208
2010-09-01  100962
2010-10-01  101349
2010-11-01  101580
2010-12-01  101013
2011-01-01  101002
2011-02-01  101322
2011-03-01  102015
2011-04-01  102191
2011-05-01  102480
2011-06-01  102438
2011-07-01  102354
2011-08-01  102644
2011-09-01  102981
2011-10-01  103381
2011-11-01  103281
2011-12-01  102758
2012-01-01  102375
2012-02-01  103065
2012-03-01  103727
2012-04-01  103274
2012-05-01  104666
2012-06-01  104430
2012-07-01  104849
2012-08-01  103858
2012-09-01  104595
2012-10-01  105827
2012-11-01  105253
2012-12-01  104843
2013-01-01  105092
2013-02-01  105087
2013-03-01  105292
2013-04-01  105136
2013-05-01  106174
2013-06-01  105871
2013-07-01  106511
2013-08-01  105404
2013-09-01  105705
2013-10-01  106058
2013-11-01  106302
2013-12-01  105623
2014-01-01  106945
2014-02-01  107327
2014-03-01  108618
2014-04-01  107850
2014-05-01  109124
2014-06-01  108754
2014-07-01  109737
2014-08-01  108600
2014-09-01  108900
2014-10-01  110391
2014-11-01  110057
2014-12-01  109535
2015-01-01  110229
2015-02-01  110855
2015-03-01  111317
2015-04-01  111404
2015-05-01  113155
2015-06-01  112855
2015-07-01  113419
2015-08-01  112138
2015-09-01  112103
2015-10-01  113452
2015-11-01  113434
2015-12-01  113499
2016-01-01  113411
2016-02-01  114476
2016-03-01  115405
2016-04-01  114927
2016-05-01  115335
2016-06-01  115657
2016-07-01  116662
2016-08-01  115473
2016-09-01  116417
2016-10-01  117125
2016-11-01  116731
2016-12-01  116139
2017-01-01  116839
2017-02-01  117606
2017-03-01  118787
2017-04-01  118397
2017-05-01  118893
2017-06-01  119475
2017-07-01  120520
2017-08-01  119321
2017-09-01  120668
2017-10-01  120818
2017-11-01  120511
2017-12-01  120177
2018-01-01  120072
2018-02-01  121070
2018-03-01  121819
2018-04-01  121298
2018-05-01  122146
2018-06-01  122649
2018-07-01  122883
2018-08-01  120710
2018-09-01  120961
2018-10-01  122508
2018-11-01  121999
