Title:               All Employees: Construction in North Carolina
1997-10-01  209.0
1997-11-01  207.9
1997-12-01  207.5
1998-01-01  199.3
1998-02-01  198.9
1998-03-01  203.3
1998-04-01  211.7
1998-05-01  215.8
1998-06-01  220.9
1998-07-01  221.7
1998-08-01  222.3
1998-09-01  221.7
1998-10-01  222.5
1998-11-01  222.0
1998-12-01  221.1
1999-01-01  215.3
1999-02-01  217.1
1999-03-01  220.5
1999-04-01  225.7
1999-05-01  226.6
1999-06-01  230.7
1999-07-01  231.6
1999-08-01  231.1
1999-09-01  230.5
1999-10-01  229.8
1999-11-01  229.1
1999-12-01  228.5
2000-01-01  220.0
2000-02-01  219.3
2000-03-01  227.4
2000-04-01  228.1
2000-05-01  231.2
2000-06-01  235.2
2000-07-01  233.8
2000-08-01  235.2
2000-09-01  235.0
2000-10-01  232.4
2000-11-01  232.0
2000-12-01  230.7
2001-01-01  223.6
2001-02-01  224.7
2001-03-01  230.0
2001-04-01  230.3
2001-05-01  233.1
2001-06-01  235.8
2001-07-01  233.1
2001-08-01  232.6
2001-09-01  230.0
2001-10-01  227.4
2001-11-01  224.9
2001-12-01  222.3
2002-01-01  214.4
2002-02-01  214.4
2002-03-01  216.9
2002-04-01  221.0
2002-05-01  223.3
2002-06-01  224.1
2002-07-01  222.7
2002-08-01  223.3
2002-09-01  220.1
2002-10-01  217.2
2002-11-01  214.5
2002-12-01  213.7
2003-01-01  206.1
2003-02-01  204.6
2003-03-01  206.8
2003-04-01  209.7
2003-05-01  214.2
2003-06-01  215.4
2003-07-01  212.5
2003-08-01  212.8
2003-09-01  212.2
2003-10-01  215.3
2003-11-01  214.0
2003-12-01  213.3
2004-01-01  206.0
2004-02-01  205.0
2004-03-01  210.1
2004-04-01  214.9
2004-05-01  218.2
2004-06-01  221.0
2004-07-01  223.7
2004-08-01  223.9
2004-09-01  222.9
2004-10-01  224.3
2004-11-01  223.9
2004-12-01  224.6
2005-01-01  219.3
2005-02-01  220.2
2005-03-01  223.4
2005-04-01  227.2
2005-05-01  230.4
2005-06-01  233.5
2005-07-01  237.2
2005-08-01  238.0
2005-09-01  238.5
2005-10-01  235.6
2005-11-01  235.5
2005-12-01  234.5
2006-01-01  230.2
2006-02-01  231.2
2006-03-01  236.4
2006-04-01  242.1
2006-05-01  244.7
2006-06-01  248.7
2006-07-01  251.5
2006-08-01  253.5
2006-09-01  252.5
2006-10-01  251.9
2006-11-01  252.5
2006-12-01  252.7
2007-01-01  246.5
2007-02-01  247.0
2007-03-01  252.0
2007-04-01  253.7
2007-05-01  256.0
2007-06-01  259.8
2007-07-01  258.6
2007-08-01  259.2
2007-09-01  258.4
2007-10-01  256.6
2007-11-01  255.0
2007-12-01  253.0
2008-01-01  242.1
2008-02-01  241.6
2008-03-01  242.3
2008-04-01  239.9
2008-05-01  241.0
2008-06-01  240.6
2008-07-01  240.2
2008-08-01  237.3
2008-09-01  234.7
2008-10-01  229.9
2008-11-01  223.9
2008-12-01  218.4
2009-01-01  202.2
2009-02-01  199.6
2009-03-01  197.5
2009-04-01  193.6
2009-05-01  193.7
2009-06-01  194.1
2009-07-01  193.7
2009-08-01  191.9
2009-09-01  189.8
2009-10-01  186.6
2009-11-01  183.6
2009-12-01  182.1
2010-01-01  171.8
2010-02-01  169.7
2010-03-01  173.8
2010-04-01  177.3
2010-05-01  178.5
2010-06-01  179.9
2010-07-01  180.7
2010-08-01  180.2
2010-09-01  178.5
2010-10-01  177.7
2010-11-01  176.2
2010-12-01  173.5
2011-01-01  162.5
2011-02-01  167.2
2011-03-01  170.7
2011-04-01  172.9
2011-05-01  175.2
2011-06-01  176.8
2011-07-01  177.7
2011-08-01  177.7
2011-09-01  177.1
2011-10-01  174.8
2011-11-01  173.7
2011-12-01  172.8
2012-01-01  166.5
2012-02-01  167.5
2012-03-01  171.2
2012-04-01  172.1
2012-05-01  173.4
2012-06-01  173.5
2012-07-01  174.0
2012-08-01  174.3
2012-09-01  173.6
2012-10-01  172.9
2012-11-01  172.3
2012-12-01  172.1
2013-01-01  165.6
2013-02-01  166.6
2013-03-01  169.5
2013-04-01  172.2
2013-05-01  174.3
2013-06-01  175.7
2013-07-01  176.3
2013-08-01  176.8
2013-09-01  176.8
2013-10-01  176.6
2013-11-01  176.8
2013-12-01  175.5
2014-01-01  169.7
2014-02-01  169.3
2014-03-01  173.9
2014-04-01  175.5
2014-05-01  178.6
2014-06-01  180.9
2014-07-01  182.7
2014-08-01  183.5
2014-09-01  183.4
2014-10-01  185.2
2014-11-01  184.5
2014-12-01  184.3
2015-01-01  178.4
2015-02-01  180.1
2015-03-01  182.3
2015-04-01  186.1
2015-05-01  189.8
2015-06-01  191.7
2015-07-01  193.4
2015-08-01  193.9
2015-09-01  193.6
2015-10-01  194.8
2015-11-01  193.7
2015-12-01  194.2
2016-01-01  190.5
2016-02-01  191.6
2016-03-01  195.0
2016-04-01  199.0
2016-05-01  200.2
2016-06-01  202.5
2016-07-01  204.2
2016-08-01  204.0
2016-09-01  204.4
2016-10-01  204.2
2016-11-01  205.0
2016-12-01  204.9
2017-01-01  198.8
2017-02-01  202.4
2017-03-01  204.2
2017-04-01  206.9
2017-05-01  208.8
2017-06-01  211.8
2017-07-01  211.8
2017-08-01  211.7
2017-09-01  211.3
2017-10-01  212.3
2017-11-01  211.9
2017-12-01  211.5
2018-01-01  205.7
2018-02-01  209.0
2018-03-01  212.8
2018-04-01  214.4
2018-05-01  219.0
2018-06-01  221.6
2018-07-01  221.6
2018-08-01  221.0
2018-09-01  220.8
2018-10-01  221.1
2018-11-01  217.8
