Title:               Continued Claims (Insured Unemployment) in North Carolina
1993-09-18   33092
1993-09-25   33406
1993-10-02   32881
1993-10-09   33698
1993-10-16   36011
1993-10-23   36946
1993-10-30   36868
1993-11-06   36930
1993-11-13   38798
1993-11-20   34480
1993-11-27   49114
1993-12-04   43029
1993-12-11   43026
1993-12-18   41238
1993-12-25   48331
1994-01-01   73198
1994-01-08   71448
1994-01-15   57865
1994-01-22   65821
1994-01-29   59132
1994-02-05   56356
1994-02-12   57892
1994-02-19   54046
1994-02-26   52883
1994-03-05   55386
1994-03-12   50514
1994-03-19   47375
1994-03-26   44769
1994-04-02   48143
1994-04-09   44517
1994-04-16   43849
1994-04-23   40615
1994-04-30   41469
1994-05-07   43940
1994-05-14   43815
1994-05-21   41537
1994-05-28   40134
1994-06-04   43858
1994-06-11   41463
1994-06-18   40782
1994-06-25   39116
1994-07-02   44432
1994-07-09   54891
1994-07-16   48290
1994-07-23   40522
1994-07-30   39421
1994-08-06   40098
1994-08-13   37731
1994-08-20   39004
1994-08-27   37645
1994-09-03   34761
1994-09-10   36215
1994-09-17   33390
1994-09-24   32860
1994-10-01   33207
1994-10-08   31643
1994-10-15   33785
1994-10-22   33331
1994-10-29   34774
1994-11-05   33078
1994-11-12   38201
1994-11-19   31412
1994-11-26   49945
1994-12-03   45074
1994-12-10   40793
1994-12-17   37879
1994-12-24   47234
1994-12-31   67823
1995-01-07   70315
1995-01-14   53299
1995-01-21   51955
1995-01-28   50565
1995-02-04   51899
1995-02-11   56109
1995-02-18   56996
1995-02-25   53581
1995-03-04   54322
1995-03-11   53409
1995-03-18   46812
1995-03-25   46502
1995-04-01   39820
1995-04-08   39820
1995-04-15   41543
1995-04-22   44007
1995-04-29   41295
1995-05-06   40173
1995-05-13   43259
1995-05-20   45423
1995-05-27   43404
1995-06-03   45294
1995-06-10   44717
1995-06-17   42252
1995-06-24   43202
1995-07-01   44119
1995-07-08   62679
1995-07-15   58261
1995-07-22   47989
1995-07-29   43903
1995-08-05   44410
1995-08-12   42334
1995-08-19   40885
1995-08-26   39304
1995-09-02   39902
1995-09-09   46218
1995-09-16   39034
1995-09-23   38298
1995-09-30   39719
1995-10-07   41857
1995-10-14   40478
1995-10-21   41547
1995-10-28   41388
1995-11-04   43476
1995-11-11   49027
1995-11-18   40741
1995-11-25   63163
1995-12-02   55497
1995-12-09   52098
1995-12-16   51290
1995-12-23   56160
1995-12-30   86407
1996-01-06   83714
1996-01-13   90829
1996-01-20   85196
1996-01-27   64543
1996-02-03   68280
1996-02-10   85164
1996-02-17   64500
1996-02-24   65044
1996-03-02   61577
1996-03-09   61493
1996-03-16   58809
1996-03-23   58206
1996-03-30   55979
1996-04-06   57181
1996-04-13   56816
1996-04-20   50680
1996-04-27   48778
1996-05-04   49226
1996-05-11   49087
1996-05-18   46486
1996-05-25   45811
1996-06-01   52153
1996-06-08   46473
1996-06-15   45556
1996-06-22   44508
1996-06-29   46667
1996-07-06   63549
1996-07-13   56286
1996-07-20   48887
1996-07-27   45120
1996-08-03   44482
1996-08-10   44661
1996-08-17   43561
1996-08-24   40780
1996-08-31   38149
1996-09-07   48762
1996-09-14   47476
1996-09-21   43049
1996-09-28   41196
1996-10-05   41453
1996-10-12   40745
1996-10-19   40560
1996-10-26   39574
1996-11-02   42094
1996-11-09   41577
1996-11-16   44982
1996-11-23   40186
1996-11-30   55987
1996-12-07   54330
1996-12-14   48192
1996-12-21   45246
1996-12-28   78123
1997-01-04  100215
1997-01-11   79224
1997-01-18   64817
1997-01-25   60867
1997-02-01   61752
1997-02-08   58478
1997-02-15   59662
1997-02-22   58339
1997-03-01   52930
1997-03-08   53333
1997-03-15   50914
1997-03-22   46651
1997-03-29   49117
1997-04-05   49759
1997-04-12   44755
1997-04-19   43995
1997-04-26   44814
1997-05-03   46457
1997-05-10   42157
1997-05-17   42737
1997-05-24   42503
1997-05-31   45568
1997-06-07   43769
1997-06-14   40633
1997-06-21   41492
1997-06-28   42914
1997-07-05   54619
1997-07-12   51466
1997-07-19   42151
1997-07-26   41580
1997-08-02   42508
1997-08-09   41662
1997-08-16   38530
1997-08-23   37457
1997-08-30   35566
1997-09-06   39729
1997-09-13   35928
1997-09-20   35926
1997-09-27   36759
1997-10-04   35843
1997-10-11   35681
1997-10-18   36108
1997-10-25   38392
1997-11-01   39717
1997-11-08   37999
1997-11-15   40402
1997-11-22   37007
1997-11-29   53216
1997-12-06   48537
1997-12-13   47392
1997-12-20   41751
1997-12-27   68196
1998-01-03  114928
1998-01-10   87882
1998-01-17   66608
1998-01-24   69460
1998-01-31   68903
1998-02-07   67893
1998-02-14   62380
1998-02-21   63888
1998-02-28   58924
1998-03-07   54329
1998-03-14   54359
1998-03-21   55492
1998-03-28   52844
1998-04-04   46259
1998-04-11   46455
1998-04-18   51040
1998-04-25   42870
1998-05-02   43829
1998-05-09   42843
1998-05-16   42268
1998-05-23   43121
1998-05-30   45645
1998-06-06   42088
1998-06-13   41409
1998-06-20   41955
1998-06-27   44128
1998-07-04   53981
1998-07-11   52157
1998-07-18   46044
1998-07-25   43009
1998-08-01   42303
1998-08-08   44620
1998-08-15   43374
1998-08-22   39473
1998-08-29   41114
1998-09-05   39468
1998-09-12   41053
1998-09-19   40179
1998-09-26   38074
1998-10-03   40008
1998-10-10   38738
1998-10-17   38177
1998-10-24   39622
1998-10-31   40038
1998-11-07   41657
1998-11-14   41828
1998-11-21   41629
1998-11-28   60089
1998-12-05   50074
1998-12-12   46892
1998-12-19   46739
1998-12-26   65366
1999-01-02  109635
1999-01-09   89712
1999-01-16   62594
1999-01-23   60947
1999-01-30   58888
1999-02-06   60059
1999-02-13   54268
1999-02-20   53117
1999-02-27   57115
1999-03-06   56082
1999-03-13   53184
1999-03-20   50763
1999-03-27   48033
1999-04-03   51499
1999-04-10   47055
1999-04-17   44314
1999-04-24   43037
1999-05-01   46774
1999-05-08   44150
1999-05-15   44333
1999-05-22   43692
1999-05-29   44628
1999-06-05   46228
1999-06-12   43709
1999-06-19   44481
1999-06-26   45433
1999-07-03   48806
1999-07-10   56009
1999-07-17   54026
1999-07-24   46031
1999-07-31   45136
1999-08-07   44129
1999-08-14   42318
1999-08-21   42665
1999-08-28   41174
1999-09-04   41713
1999-09-11   41995
1999-09-18   50398
1999-09-25   59939
1999-10-02   59967
1999-10-09   51343
1999-10-16   47736
1999-10-23   45787
1999-10-30   45738
1999-11-06   44648
1999-11-13   45616
1999-11-20   42356
1999-11-27   57989
1999-12-04   48663
1999-12-11   50427
1999-12-18   47570
1999-12-25   61081
2000-01-01   85834
2000-01-08   76026
2000-01-15   57197
2000-01-22   53596
2000-01-29   83992
2000-02-05   90289
2000-02-12   67995
2000-02-19   59929
2000-02-26   56224
2000-03-04   53428
2000-03-11   51885
2000-03-18   50411
2000-03-25   50813
2000-04-01   47741
2000-04-08   45641
2000-04-15   42381
2000-04-22   46486
2000-04-29   45721
2000-05-06   42033
2000-05-13   41234
2000-05-20   41759
2000-05-27   43859
2000-06-03   45097
2000-06-10   43567
2000-06-17   42696
2000-06-24   42254
2000-07-01   44853
2000-07-08   63009
2000-07-15   50555
2000-07-22   49744
2000-07-29   48528
2000-08-05   47526
2000-08-12   54152
2000-08-19   45174
2000-08-26   46502
2000-09-02   46311
2000-09-09   56208
2000-09-16   49034
2000-09-23   43960
2000-09-30   52415
2000-10-07   50062
2000-10-14   52209
2000-10-21   46542
2000-10-28   51970
2000-11-04   47325
2000-11-11   51977
2000-11-18   49387
2000-11-25   80157
2000-12-02   66051
2000-12-09   61517
2000-12-16   62504
2000-12-23   82390
2000-12-30  105885
2001-01-06  101576
2001-01-13   77616
2001-01-20   78962
2001-01-27   78049
2001-02-03   76815
2001-02-10   77824
2001-02-17   82224
2001-02-24   80410
2001-03-03   80518
2001-03-10   79380
2001-03-17   79483
2001-03-24   80675
2001-03-31   84441
2001-04-07   73619
2001-04-14   79299
2001-04-21   89423
2001-04-28   76007
2001-05-05   76850
2001-05-12   78749
2001-05-19   82573
2001-05-26   82526
2001-06-02   92122
2001-06-09   78900
2001-06-16   79943
2001-06-23   82326
2001-06-30   91015
2001-07-07  116495
2001-07-14   98800
2001-07-21   84308
2001-07-28   87648
2001-08-04   87050
2001-08-11   87082
2001-08-18   87118
2001-08-25   85417
2001-09-01   86359
2001-09-08   93994
2001-09-15   82617
2001-09-22   89699
2001-09-29   93121
2001-10-06   90807
2001-10-13   91377
2001-10-20   96005
2001-10-27  100433
2001-11-03  105432
2001-11-10  100918
2001-11-17   99149
2001-11-24  140834
2001-12-01  110130
2001-12-08  109549
2001-12-15  116577
2001-12-22  122170
2001-12-29  145829
2002-01-05  202529
2002-01-12  144155
2002-01-19  126269
2002-01-26  131323
2002-02-02  125145
2002-02-09  122412
2002-02-16  117675
2002-02-23  116598
2002-03-02  115797
2002-03-09  114499
2002-03-16  114686
2002-03-23  113595
2002-03-30  114366
2002-04-06  109778
2002-04-13  104766
2002-04-20  102902
2002-04-27  102016
2002-05-04  101223
2002-05-11   99108
2002-05-18   98175
2002-05-25   98352
2002-06-01  100987
2002-06-08   97857
2002-06-15   96411
2002-06-22   96243
2002-06-29   96338
2002-07-06  115459
2002-07-13  104214
2002-07-20   95573
2002-07-27   94846
2002-08-03   95789
2002-08-10   93610
2002-08-17   91899
2002-08-24   92091
2002-08-31   96264
2002-09-07   99712
2002-09-14   91637
2002-09-21   91521
2002-09-28   92376
2002-10-05   97325
2002-10-12   96580
2002-10-19   98971
2002-10-26  100136
2002-11-02  104166
2002-11-09  100685
2002-11-16  103181
2002-11-23   99095
2002-11-30  113419
2002-12-07  130144
2002-12-14  112904
2002-12-21  102175
2002-12-28  145325
2003-01-04  157851
2003-01-11  126564
2003-01-18  111954
2003-01-25  123547
2003-02-01  119575
2003-02-08  116309
2003-02-15  113465
2003-02-22  119208
2003-03-01  115858
2003-03-08  114582
2003-03-15  108531
2003-03-22  111264
2003-03-29  109247
2003-04-05  106760
2003-04-12  112201
2003-04-19  109054
2003-04-26  102820
2003-05-03  101837
2003-05-10  102533
2003-05-17  100873
2003-05-24  106947
2003-05-31  107225
2003-06-07  103557
2003-06-14   99133
2003-06-21  102451
2003-06-28  102483
2003-07-05  121578
2003-07-12  113701
2003-07-19   98784
2003-07-26   99567
2003-08-02  101601
2003-08-09  101727
2003-08-16   98876
2003-08-23   97169
2003-08-30   98685
2003-09-06   99904
2003-09-13   92720
2003-09-20   95994
2003-09-27   95800
2003-10-04   96589
2003-10-11   93851
2003-10-18   95103
2003-10-25   93315
2003-11-01   95458
2003-11-08   92637
2003-11-15   91956
2003-11-22   89927
2003-11-29  105902
2003-12-06   95134
2003-12-13   95532
2003-12-20   95876
2003-12-27  120231
2004-01-03  135216
2004-01-10  112383
2004-01-17  102469
2004-01-24  101125
2004-01-31  119841
2004-02-07  108372
2004-02-14  101561
2004-02-21  101316
2004-02-28  100786
2004-03-06   95670
2004-03-13   92862
2004-03-20   91482
2004-03-27   88401
2004-04-03   82251
2004-04-10   87141
2004-04-17   87632
2004-04-24   81306
2004-05-01   81104
2004-05-08   80210
2004-05-15   79532
2004-05-22   79374
2004-05-29   79385
2004-06-05   78809
2004-06-12   76613
2004-06-19   77231
2004-06-26   77184
2004-07-03   81256
2004-07-10   84910
2004-07-17   77727
2004-07-24   74299
2004-07-31   74814
2004-08-07   73997
2004-08-14   72067
2004-08-21   70980
2004-08-28   69509
2004-09-04   70984
2004-09-11   75470
2004-09-18   69771
2004-09-25   68376
2004-10-02   67938
2004-10-09   66724
2004-10-16   68891
2004-10-23   67864
2004-10-30   69646
2004-11-06   69481
2004-11-13   70626
2004-11-20   67584
2004-11-27   89698
2004-12-04   74379
2004-12-11   76490
2004-12-18   74948
2004-12-25   88763
2005-01-01  108797
2005-01-08   87326
2005-01-15   81586
2005-01-22   87134
2005-01-29   84599
2005-02-05   84959
2005-02-12   81047
2005-02-19   79885
2005-02-26   82175
2005-03-05   82518
2005-03-12   77635
2005-03-19   79105
2005-03-26   76528
2005-04-02   77752
2005-04-09   71770
2005-04-16   71663
2005-04-23   70428
2005-04-30   70403
2005-05-07   71418
2005-05-14   70001
2005-05-21   70902
2005-05-28   71840
2005-06-04   79660
2005-06-11   73666
2005-06-18   71906
2005-06-25   72589
2005-07-02   76199
2005-07-09   83771
2005-07-16   79397
2005-07-23   73437
2005-07-30   73086
2005-08-06   73051
2005-08-13   73993
2005-08-20   72115
2005-08-27   71333
2005-09-03   71125
2005-09-10   73084
2005-09-17   70091
2005-09-24   70090
2005-10-01   69911
2005-10-08   72287
2005-10-15   75295
2005-10-22   72476
2005-10-29   71925
2005-11-05   70931
2005-11-12   72716
2005-11-19   70486
2005-11-26   93984
2005-12-03   80260
2005-12-10   82825
2005-12-17   79181
2005-12-24   87509
2005-12-31  105693
2006-01-07   95605
2006-01-14   84374
2006-01-21   84631
2006-01-28   83822
2006-02-04   85030
2006-02-11   83505
2006-02-18   81437
2006-02-25   81889
2006-03-04   79139
2006-03-11   78236
2006-03-18   75409
2006-03-25   75560
2006-04-01   72820
2006-04-08   71096
2006-04-15   72207
2006-04-22   71081
2006-04-29   69254
2006-05-06   70576
2006-05-13   70440
2006-05-20   70746
2006-05-27   69759
2006-06-03   73345
2006-06-10   69990
2006-06-17   76299
2006-06-24   69687
2006-07-01   72437
2006-07-08   82598
2006-07-15   74654
2006-07-22   70297
2006-07-29   71578
2006-08-05   70999
2006-08-12   69757
2006-08-19   69288
2006-08-26   69334
2006-09-02   69144
2006-09-09   72378
2006-09-16   67757
2006-09-23   67142
2006-09-30   67224
2006-10-07   67589
2006-10-14   68897
2006-10-21   70203
2006-10-28   69616
2006-11-04   70357
2006-11-11   71966
2006-11-18   69376
2006-11-25   88227
2006-12-02   73689
2006-12-09   75529
2006-12-16   74251
2006-12-23   80484
2006-12-30  102285
2007-01-06   90280
2007-01-13   82713
2007-01-20   82821
2007-01-27   83466
2007-02-03   85426
2007-02-10   81564
2007-02-17   81497
2007-02-24   77838
2007-03-03   78952
2007-03-10   75623
2007-03-17   74068
2007-03-24   72589
2007-03-31   72364
2007-04-07   73391
2007-04-14   76060
2007-04-21   73660
2007-04-28   73246
2007-05-05   70663
2007-05-12   75250
2007-05-19   75025
2007-05-26   74832
2007-06-02   73390
2007-06-09   73716
2007-06-16   71198
2007-06-23   72963
2007-06-30   71798
2007-07-07   86867
2007-07-14   77920
2007-07-21   75039
2007-07-28   73178
2007-08-04   74088
2007-08-11   75525
2007-08-18   72795
2007-08-25   72444
2007-09-01   70894
2007-09-08   71926
2007-09-15   69518
2007-09-22   70926
2007-09-29   70065
2007-10-06   70984
2007-10-13   71620
2007-10-20   71450
2007-10-27   75453
2007-11-03   75252
2007-11-10   75808
2007-11-17   72170
2007-11-24   89408
2007-12-01   81092
2007-12-08   80512
2007-12-15   80120
2007-12-22   84217
2007-12-29  109637
2008-01-05  111923
2008-01-12   92817
2008-01-19   92392
2008-01-26   96484
2008-02-02   92235
2008-02-09   94682
2008-02-16   92994
2008-02-23   94533
2008-03-01   92724
2008-03-08   94927
2008-03-15   88309
2008-03-22   90547
2008-03-29   91071
2008-04-05   93372
2008-04-12   89821
2008-04-19   89709
2008-04-26   89468
2008-05-03   92687
2008-05-10   90079
2008-05-17   89661
2008-05-24   90187
2008-05-31   93291
2008-06-07   92730
2008-06-14   91896
2008-06-21   91924
2008-06-28   92782
2008-07-05  104931
2008-07-12  102576
2008-07-19   98504
2008-07-26   98730
2008-08-02  101667
2008-08-09  103286
2008-08-16  103472
2008-08-23  105227
2008-08-30  109431
2008-09-06  108158
2008-09-13  105898
2008-09-20  107411
2008-09-27  108206
2008-10-04  111009
2008-10-11  111467
2008-10-18  117049
2008-10-25  119480
2008-11-01  127361
2008-11-08  127826
2008-11-15  133581
2008-11-22  133499
2008-11-29  171499
2008-12-06  155596
2008-12-13  158565
2008-12-20  158789
2008-12-27  192105
2009-01-03  229208
2009-01-10  200054
2009-01-17  191628
2009-01-24  205803
2009-01-31  211060
2009-02-07  211060
2009-02-14  212496
2009-02-21  217873
2009-02-28  223000
2009-03-07  221572
2009-03-14  220806
2009-03-21  223754
2009-03-28  228790
2009-04-04  223017
2009-04-11  225660
2009-04-18  226106
2009-04-25  215917
2009-05-02  215612
2009-05-09  219020
2009-05-16  215674
2009-05-23  215051
2009-05-30  214369
2009-06-06  210596
2009-06-13  208821
2009-06-20  211443
2009-06-27  206608
2009-07-04  219580
2009-07-11  217128
2009-07-18  205688
2009-07-25  202591
2009-08-01  202436
2009-08-08  198682
2009-08-15  197196
2009-08-22  193169
2009-08-29  189043
2009-09-05  188011
2009-09-12  188402
2009-09-19  184051
2009-09-26  181662
2009-10-03  180235
2009-10-10  178836
2009-10-17  181721
2009-10-24  179164
2009-10-31  180051
2009-11-07  179243
2009-11-14  187322
2009-11-21  177515
2009-11-28  205541
2009-12-05  192669
2009-12-12  192297
2009-12-19  185313
2009-12-26  219701
2010-01-02  234727
2010-01-09  213009
2010-01-16  204078
2010-01-23  208438
2010-01-30  205904
2010-02-06  214529
2010-02-13  207809
2010-02-20  201570
2010-02-27  208239
2010-03-06  202907
2010-03-13  196113
2010-03-20  192551
2010-03-27  187429
2010-04-03  191407
2010-04-10  185754
2010-04-17  177883
2010-04-24  173940
2010-05-01  168979
2010-05-08  167121
2010-05-15  165281
2010-05-22  164304
2010-05-29  159773
2010-06-05  157171
2010-06-12  152018
2010-06-19  149195
2010-06-26  145910
2010-07-03  144999
2010-07-10  149387
2010-07-17  140065
2010-07-24  136135
2010-07-31  134489
2010-08-07  133022
2010-08-14  129185
2010-08-21  125818
2010-08-28  122359
2010-09-04  120085
2010-09-11  120719
2010-09-18  115544
2010-09-25  114693
2010-10-02  120524
2010-10-09  115564
2010-10-16  115047
2010-10-23  115871
2010-10-30  117367
2010-11-06  117566
2010-11-13  119112
2010-11-20  115300
2010-11-27  135309
2010-12-04  125243
2010-12-11  127503
2010-12-18  129937
2010-12-25  139129
2011-01-01  159674
2011-01-08  140849
2011-01-15  149113
2011-01-22  137633
2011-01-29  136523
2011-02-05  135996
2011-02-12  133284
2011-02-19  128733
2011-02-26  126888
2011-03-05  125844
2011-03-12  125606
2011-03-19  121002
2011-03-26  117620
2011-04-02  121940
2011-04-09  114208
2011-04-16  109685
2011-04-23  111524
2011-04-30  110809
2011-05-07  107646
2011-05-14  108510
2011-05-21  108345
2011-05-28  106917
2011-06-04  109334
2011-06-11  107944
2011-06-18  107881
2011-06-25  110327
2011-07-02  111659
2011-07-09  120142
2011-07-16  111055
2011-07-23  109753
2011-07-30  109265
2011-08-06  109849
2011-08-13  108633
2011-08-20  105076
2011-08-27  105974
2011-09-03  105655
2011-09-10  105859
2011-09-17  102948
2011-09-24  105022
2011-10-01  102807
2011-10-08  103854
2011-10-15  106403
2011-10-22  105200
2011-10-29  105718
2011-11-05  106763
2011-11-12  108917
2011-11-19  106527
2011-11-26  126279
2011-12-03  115107
2011-12-10  115603
2011-12-17  116251
2011-12-24  127019
2011-12-31  142665
2012-01-07  130450
2012-01-14  126078
2012-01-21  125036
2012-01-28  124781
2012-02-04  121066
2012-02-11  120190
2012-02-18  118923
2012-02-25  117629
2012-03-03  115490
2012-03-10  113250
2012-03-17  108769
2012-03-24  108410
2012-03-31  104162
2012-04-07  105601
2012-04-14  103149
2012-04-21  100017
2012-04-28   98099
2012-05-05  100412
2012-05-12  101135
2012-05-19  101770
2012-05-26   99177
2012-06-02  100677
2012-06-09   98769
2012-06-16   99763
2012-06-23   99514
