Title:               Civilian Labor Force in Chatham County, NC
2006-12-01  33029
2007-01-01  32058
2007-02-01  32274
2007-03-01  32388
2007-04-01  32205
2007-05-01  32303
2007-06-01  32644
2007-07-01  32985
2007-08-01  32624
2007-09-01  32804
2007-10-01  32488
2007-11-01  32676
2007-12-01  32521
2008-01-01  33152
2008-02-01  33153
2008-03-01  33356
2008-04-01  33532
2008-05-01  33596
2008-06-01  33970
2008-07-01  34299
2008-08-01  33904
2008-09-01  33944
2008-10-01  33898
2008-11-01  34354
2008-12-01  34041
2009-01-01  34345
2009-02-01  34481
2009-03-01  34366
2009-04-01  34554
2009-05-01  34540
2009-06-01  34753
2009-07-01  34805
2009-08-01  34358
2009-09-01  34229
2009-10-01  33875
2009-11-01  33940
2009-12-01  33743
2010-01-01  30239
2010-02-01  30485
2010-03-01  30502
2010-04-01  31048
2010-05-01  30937
2010-06-01  30821
2010-07-01  31137
2010-08-01  30682
2010-09-01  30629
2010-10-01  30595
2010-11-01  30609
2010-12-01  30246
2011-01-01  30582
2011-02-01  30669
2011-03-01  30795
2011-04-01  31082
2011-05-01  31134
2011-06-01  31094
2011-07-01  31182
2011-08-01  31016
2011-09-01  31225
2011-10-01  31660
2011-11-01  31630
2011-12-01  31368
2012-01-01  31107
2012-02-01  31364
2012-03-01  31374
2012-04-01  31410
2012-05-01  31721
2012-06-01  31731
2012-07-01  31847
2012-08-01  31368
2012-09-01  31771
2012-10-01  32024
2012-11-01  31946
2012-12-01  31739
2013-01-01  31463
2013-02-01  31491
2013-03-01  31386
2013-04-01  31397
2013-05-01  31569
2013-06-01  31692
2013-07-01  32024
2013-08-01  31434
2013-09-01  31603
2013-10-01  31585
2013-11-01  31666
2013-12-01  31363
2014-01-01  31783
2014-02-01  31940
2014-03-01  32148
2014-04-01  32065
2014-05-01  32306
2014-06-01  32212
2014-07-01  32659
2014-08-01  32200
2014-09-01  32244
2014-10-01  32571
2014-11-01  32647
2014-12-01  32223
2015-01-01  33258
2015-02-01  33352
2015-03-01  33419
2015-04-01  33244
2015-05-01  33590
2015-06-01  33286
2015-07-01  33629
2015-08-01  33004
2015-09-01  33197
2015-10-01  33565
2015-11-01  33735
2015-12-01  33312
2016-01-01  33604
2016-02-01  34191
2016-03-01  34366
2016-04-01  34333
2016-05-01  34599
2016-06-01  34681
2016-07-01  35086
2016-08-01  34559
2016-09-01  34744
2016-10-01  34693
2016-11-01  34708
2016-12-01  34283
2017-01-01  34450
2017-02-01  34987
2017-03-01  35132
2017-04-01  35042
2017-05-01  35103
2017-06-01  35153
2017-07-01  35779
2017-08-01  35211
2017-09-01  35590
2017-10-01  35340
2017-11-01  35297
2017-12-01  34911
2018-01-01  35007
2018-02-01  35676
2018-03-01  35657
2018-04-01  35495
2018-05-01  35785
2018-06-01  35948
2018-07-01  36407
2018-08-01  35485
2018-09-01  35491
2018-10-01  35661
2018-11-01  35654
