Title:               Civilian Labor Force in Craven County, NC
2007-04-01  43060
2007-05-01  43138
2007-06-01  43860
2007-07-01  44432
2007-08-01  42989
2007-09-01  43109
2007-10-01  42819
2007-11-01  43041
2007-12-01  42683
2008-01-01  41704
2008-02-01  41364
2008-03-01  41579
2008-04-01  41867
2008-05-01  42173
2008-06-01  42824
2008-07-01  43260
2008-08-01  42026
2008-09-01  42156
2008-10-01  41812
2008-11-01  42344
2008-12-01  42028
2009-01-01  42313
2009-02-01  42544
2009-03-01  42396
2009-04-01  42195
2009-05-01  42555
2009-06-01  42749
2009-07-01  43233
2009-08-01  42079
2009-09-01  41862
2009-10-01  42191
2009-11-01  42124
2009-12-01  41813
2010-01-01  41651
2010-02-01  41928
2010-03-01  42156
2010-04-01  42654
2010-05-01  42833
2010-06-01  43106
2010-07-01  43147
2010-08-01  42546
2010-09-01  41948
2010-10-01  41763
2010-11-01  41987
2010-12-01  41638
2011-01-01  41532
2011-02-01  41758
2011-03-01  41767
2011-04-01  41800
2011-05-01  42450
2011-06-01  42232
2011-07-01  42494
2011-08-01  42027
2011-09-01  41724
2011-10-01  41993
2011-11-01  41750
2011-12-01  41573
2012-01-01  41472
2012-02-01  41653
2012-03-01  41643
2012-04-01  41530
2012-05-01  42128
2012-06-01  42515
2012-07-01  42630
2012-08-01  41900
2012-09-01  41761
2012-10-01  41977
2012-11-01  41661
2012-12-01  41626
2013-01-01  41615
2013-02-01  41413
2013-03-01  41308
2013-04-01  41326
2013-05-01  41744
2013-06-01  42310
2013-07-01  42373
2013-08-01  41606
2013-09-01  41103
2013-10-01  41017
2013-11-01  41111
2013-12-01  40677
2014-01-01  40621
2014-02-01  40813
2014-03-01  41351
2014-04-01  40931
2014-05-01  41338
2014-06-01  41676
2014-07-01  41747
2014-08-01  41323
2014-09-01  41032
2014-10-01  41165
2014-11-01  40886
2014-12-01  40380
2015-01-01  40854
2015-02-01  40841
2015-03-01  41034
2015-04-01  41209
2015-05-01  41640
2015-06-01  41915
2015-07-01  42094
2015-08-01  41475
2015-09-01  41088
2015-10-01  41407
2015-11-01  41315
2015-12-01  41214
2016-01-01  41114
2016-02-01  41393
2016-03-01  41731
2016-04-01  41698
2016-05-01  41637
2016-06-01  42043
2016-07-01  42077
2016-08-01  41760
2016-09-01  41602
2016-10-01  41964
2016-11-01  42038
2016-12-01  41506
2017-01-01  41574
2017-02-01  41863
2017-03-01  42122
2017-04-01  41796
2017-05-01  41875
2017-06-01  42226
2017-07-01  42408
2017-08-01  41864
2017-09-01  41949
2017-10-01  41531
2017-11-01  41648
2017-12-01  41279
2018-01-01  41374
2018-02-01  41694
2018-03-01  41901
2018-04-01  41808
2018-05-01  42018
2018-06-01  42649
2018-07-01  42688
2018-08-01  41948
2018-09-01  40914
2018-10-01  41605
2018-11-01  41499
