Title:               Civilian Labor Force in Durham County, NC
2000-04-01  123502
2000-05-01  122469
2000-06-01  123020
2000-07-01  123073
2000-08-01  121701
2000-09-01  121142
2000-10-01  122445
2000-11-01  123289
2000-12-01  124063
2001-01-01  126094
2001-02-01  127735
2001-03-01  128573
2001-04-01  127954
2001-05-01  127263
2001-06-01  127625
2001-07-01  128394
2001-08-01  125155
2001-09-01  125440
2001-10-01  126575
2001-11-01  126243
2001-12-01  126872
2002-01-01  126502
2002-02-01  128135
2002-03-01  128845
2002-04-01  129192
2002-05-01  129155
2002-06-01  129038
2002-07-01  127894
2002-08-01  127169
2002-09-01  126889
2002-10-01  126372
2002-11-01  125285
2002-12-01  124097
2003-01-01  126012
2003-02-01  127596
2003-03-01  128028
2003-04-01  127593
2003-05-01  127297
2003-06-01  128470
2003-07-01  127934
2003-08-01  126805
2003-09-01  126470
2003-10-01  126396
2003-11-01  127042
2003-12-01  126244
2004-01-01  127187
2004-02-01  127754
2004-03-01  127604
2004-04-01  126775
2004-05-01  127283
2004-06-01  128749
2004-07-01  129961
2004-08-01  128082
2004-09-01  127477
2004-10-01  127418
2004-11-01  128364
2004-12-01  127528
2005-01-01  126753
2005-02-01  127812
2005-03-01  128279
2005-04-01  128523
2005-05-01  129085
2005-06-01  130257
2005-07-01  132282
2005-08-01  131297
2005-09-01  131518
2005-10-01  131126
2005-11-01  131276
2005-12-01  131052
2006-01-01  130486
2006-02-01  131652
2006-03-01  132251
2006-04-01  132250
2006-05-01  133616
2006-06-01  135036
2006-07-01  136822
2006-08-01  136003
2006-09-01  135713
2006-10-01  136184
2006-11-01  136958
2006-12-01  136710
2007-01-01  134822
2007-02-01  135385
2007-03-01  135802
2007-04-01  135219
2007-05-01  135617
2007-06-01  137291
2007-07-01  138822
2007-08-01  137255
2007-09-01  137861
2007-10-01  136510
2007-11-01  137337
2007-12-01  136610
2008-01-01  138847
2008-02-01  138999
2008-03-01  139732
2008-04-01  140414
2008-05-01  140894
2008-06-01  141817
2008-07-01  143450
2008-08-01  142012
2008-09-01  142121
2008-10-01  141859
2008-11-01  143094
2008-12-01  142512
2009-01-01  143434
2009-02-01  143820
2009-03-01  143670
2009-04-01  144021
2009-05-01  144241
2009-06-01  145108
2009-07-01  145478
2009-08-01  143781
2009-09-01  143512
2009-10-01  142770
2009-11-01  142853
2009-12-01  141496
2010-01-01  140831
2010-02-01  141538
2010-03-01  142513
2010-04-01  144617
2010-05-01  144418
2010-06-01  143910
2010-07-01  145933
2010-08-01  144165
2010-09-01  143564
2010-10-01  143027
2010-11-01  143709
2010-12-01  142714
2011-01-01  143539
2011-02-01  143781
2011-03-01  144214
2011-04-01  145610
2011-05-01  145309
2011-06-01  144970
2011-07-01  145457
2011-08-01  144734
2011-09-01  146236
2011-10-01  146691
2011-11-01  146895
2011-12-01  146065
2012-01-01  146642
2012-02-01  147902
2012-03-01  148328
2012-04-01  148122
2012-05-01  148699
2012-06-01  148542
2012-07-01  149241
2012-08-01  147604
2012-09-01  149511
2012-10-01  150533
2012-11-01  149810
2012-12-01  149459
2013-01-01  149757
2013-02-01  150231
2013-03-01  150468
2013-04-01  150594
2013-05-01  150586
2013-06-01  150619
2013-07-01  151182
2013-08-01  149545
2013-09-01  150936
2013-10-01  150527
2013-11-01  150552
2013-12-01  149316
2014-01-01  150466
2014-02-01  152190
2014-03-01  153177
2014-04-01  152423
2014-05-01  152708
2014-06-01  152030
2014-07-01  154132
2014-08-01  153492
2014-09-01  153664
2014-10-01  154449
2014-11-01  154002
2014-12-01  153177
2015-01-01  155279
2015-02-01  156539
2015-03-01  156048
2015-04-01  156110
2015-05-01  157713
2015-06-01  155740
2015-07-01  156729
2015-08-01  155319
2015-09-01  156214
2015-10-01  157913
2015-11-01  158128
2015-12-01  157582
2016-01-01  158122
2016-02-01  160681
2016-03-01  160986
2016-04-01  160667
2016-05-01  162037
2016-06-01  163064
2016-07-01  163606
2016-08-01  162060
2016-09-01  162917
2016-10-01  163644
2016-11-01  163503
2016-12-01  162027
2017-01-01  162531
2017-02-01  164290
2017-03-01  164755
2017-04-01  164750
2017-05-01  165749
2017-06-01  165867
2017-07-01  167738
2017-08-01  165639
2017-09-01  167203
2017-10-01  166551
2017-11-01  166441
2017-12-01  164441
2018-01-01  164852
2018-02-01  166695
2018-03-01  167869
2018-04-01  166914
2018-05-01  168722
2018-06-01  169270
2018-07-01  170705
2018-08-01  167664
2018-09-01  167160
2018-10-01  168579
2018-11-01  168139
