Title:               Civilian Labor Force in Davidson County, NC
1999-06-01  82020
1999-07-01  82112
1999-08-01  81523
1999-09-01  80933
1999-10-01  82252
1999-11-01  82762
1999-12-01  82917
2000-01-01  79006
2000-02-01  79497
2000-03-01  79393
2000-04-01  79660
2000-05-01  79655
2000-06-01  80269
2000-07-01  80837
2000-08-01  80298
2000-09-01  79379
2000-10-01  79835
2000-11-01  80208
2000-12-01  80093
2001-01-01  80408
2001-02-01  80405
2001-03-01  81346
2001-04-01  80418
2001-05-01  80067
2001-06-01  79782
2001-07-01  82047
2001-08-01  80032
2001-09-01  80434
2001-10-01  80116
2001-11-01  79517
2001-12-01  79479
2002-01-01  79003
2002-02-01  79750
2002-03-01  79876
2002-04-01  79358
2002-05-01  79048
2002-06-01  78337
2002-07-01  80754
2002-08-01  79018
2002-09-01  78524
2002-10-01  78791
2002-11-01  78412
2002-12-01  77975
2003-01-01  79231
2003-02-01  80031
2003-03-01  80041
2003-04-01  80321
2003-05-01  80978
2003-06-01  79598
2003-07-01  78970
2003-08-01  78929
2003-09-01  78496
2003-10-01  79084
2003-11-01  78904
2003-12-01  77974
2004-01-01  78383
2004-02-01  78465
2004-03-01  78555
2004-04-01  78350
2004-05-01  78523
2004-06-01  77950
2004-07-01  78314
2004-08-01  78051
2004-09-01  77659
2004-10-01  78047
2004-11-01  77959
2004-12-01  77513
2005-01-01  77645
2005-02-01  78172
2005-03-01  77925
2005-04-01  78299
2005-05-01  78742
2005-06-01  77662
2005-07-01  78360
2005-08-01  78285
2005-09-01  78913
2005-10-01  78959
2005-11-01  78974
2005-12-01  77739
2006-01-01  78622
2006-02-01  78754
2006-03-01  79040
2006-04-01  79112
2006-05-01  79746
2006-06-01  79420
2006-07-01  79604
2006-08-01  80185
2006-09-01  80223
2006-10-01  80419
2006-11-01  80619
2006-12-01  79914
2007-01-01  80335
2007-02-01  80007
2007-03-01  80062
2007-04-01  79177
2007-05-01  79322
2007-06-01  79520
2007-07-01  79097
2007-08-01  78773
2007-09-01  79409
2007-10-01  78877
2007-11-01  79068
2007-12-01  78489
2008-01-01  77670
2008-02-01  77398
2008-03-01  77568
2008-04-01  77653
2008-05-01  77951
2008-06-01  77686
2008-07-01  77305
2008-08-01  77089
2008-09-01  77533
2008-10-01  77678
2008-11-01  78669
2008-12-01  78397
2009-01-01  77799
2009-02-01  78141
2009-03-01  78360
2009-04-01  77848
2009-05-01  78134
2009-06-01  77677
2009-07-01  77429
2009-08-01  77220
2009-09-01  77094
2009-10-01  77266
2009-11-01  77145
2009-12-01  76661
2010-01-01  80773
2010-02-01  80882
2010-03-01  81065
2010-04-01  81737
2010-05-01  81472
2010-06-01  80947
2010-07-01  80720
2010-08-01  79933
2010-09-01  79934
2010-10-01  80107
2010-11-01  80288
2010-12-01  79601
2011-01-01  78868
2011-02-01  79007
2011-03-01  79159
2011-04-01  79172
2011-05-01  79525
2011-06-01  79586
2011-07-01  79557
2011-08-01  79114
2011-09-01  79769
2011-10-01  79970
2011-11-01  79656
2011-12-01  79486
2012-01-01  79163
2012-02-01  79619
2012-03-01  79712
2012-04-01  78961
2012-05-01  79601
2012-06-01  79531
2012-07-01  79483
2012-08-01  78918
2012-09-01  79891
2012-10-01  80520
2012-11-01  80013
2012-12-01  79925
2013-01-01  79896
2013-02-01  79997
2013-03-01  79665
2013-04-01  79180
2013-05-01  79489
2013-06-01  79804
2013-07-01  79523
2013-08-01  78679
2013-09-01  79377
2013-10-01  79140
2013-11-01  78850
2013-12-01  78048
2014-01-01  77787
2014-02-01  78268
2014-03-01  78779
2014-04-01  77939
2014-05-01  78566
2014-06-01  78585
2014-07-01  78810
2014-08-01  78057
2014-09-01  78611
2014-10-01  78920
2014-11-01  78494
2014-12-01  78049
2015-01-01  78218
2015-02-01  78485
2015-03-01  78480
2015-04-01  78634
2015-05-01  79493
2015-06-01  78911
2015-07-01  79117
2015-08-01  78268
2015-09-01  78804
2015-10-01  78982
2015-11-01  78795
2015-12-01  78634
2016-01-01  78773
2016-02-01  79271
2016-03-01  79769
2016-04-01  79150
2016-05-01  79314
2016-06-01  79298
2016-07-01  79369
2016-08-01  78837
2016-09-01  79831
2016-10-01  80181
2016-11-01  79969
2016-12-01  79415
2017-01-01  79430
2017-02-01  80057
2017-03-01  80298
2017-04-01  79944
2017-05-01  80036
2017-06-01  80083
2017-07-01  80506
2017-08-01  79656
2017-09-01  80913
2017-10-01  80539
2017-11-01  80467
2017-12-01  79837
2018-01-01  80163
2018-02-01  80830
2018-03-01  80996
2018-04-01  80870
2018-05-01  81270
2018-06-01  81448
2018-07-01  81179
2018-08-01  79550
2018-09-01  80293
2018-10-01  81433
2018-11-01  81321
