Title:               Civilian Labor Force in McDowell County, NC
2000-04-01  21241
2000-05-01  21373
2000-06-01  21517
2000-07-01  22166
2000-08-01  21821
2000-09-01  21633
2000-10-01  21299
2000-11-01  21237
2000-12-01  21246
2001-01-01  21536
2001-02-01  21331
2001-03-01  21660
2001-04-01  21390
2001-05-01  21306
2001-06-01  21577
2001-07-01  21820
2001-08-01  21386
2001-09-01  21063
2001-10-01  21008
2001-11-01  20965
2001-12-01  20887
2002-01-01  21659
2002-02-01  21492
2002-03-01  21531
2002-04-01  21492
2002-05-01  21579
2002-06-01  21542
2002-07-01  22301
2002-08-01  21500
2002-09-01  21338
2002-10-01  21014
2002-11-01  20936
2002-12-01  20782
2003-01-01  21194
2003-02-01  21340
2003-03-01  21626
2003-04-01  21641
2003-05-01  22137
2003-06-01  22082
2003-07-01  22630
2003-08-01  21861
2003-09-01  21659
2003-10-01  21258
2003-11-01  21450
2003-12-01  21337
2004-01-01  21718
2004-02-01  21824
2004-03-01  21686
2004-04-01  21663
2004-05-01  21684
2004-06-01  21927
2004-07-01  22430
2004-08-01  21647
2004-09-01  21345
2004-10-01  21211
2004-11-01  20869
2004-12-01  20740
2005-01-01  20970
2005-02-01  21097
2005-03-01  21030
2005-04-01  21086
2005-05-01  21137
2005-06-01  21350
2005-07-01  21656
2005-08-01  21700
2005-09-01  20989
2005-10-01  20990
2005-11-01  20920
2005-12-01  20643
2006-01-01  20662
2006-02-01  20575
2006-03-01  20809
2006-04-01  20879
2006-05-01  21029
2006-06-01  21283
2006-07-01  21927
2006-08-01  21351
2006-09-01  21095
2006-10-01  21136
2006-11-01  21155
2006-12-01  20969
2007-01-01  21342
2007-02-01  21204
2007-03-01  21378
2007-04-01  21229
2007-05-01  21350
2007-06-01  21564
2007-07-01  22236
2007-08-01  21605
2007-09-01  21545
2007-10-01  21219
2007-11-01  21339
2007-12-01  21259
2008-01-01  20713
2008-02-01  20629
2008-03-01  20721
2008-04-01  21044
2008-05-01  20882
2008-06-01  20743
2008-07-01  21236
2008-08-01  20780
2008-09-01  20656
2008-10-01  20523
2008-11-01  20833
2008-12-01  20826
2009-01-01  20891
2009-02-01  20690
2009-03-01  20700
2009-04-01  20665
2009-05-01  20849
2009-06-01  20537
2009-07-01  20169
2009-08-01  20005
2009-09-01  20232
2009-10-01  20297
2009-11-01  20398
2009-12-01  20268
2010-01-01  20775
2010-02-01  20797
2010-03-01  20823
2010-04-01  20792
2010-05-01  20772
2010-06-01  20599
2010-07-01  20557
2010-08-01  20426
2010-09-01  20585
2010-10-01  20471
2010-11-01  20442
2010-12-01  20285
2011-01-01  20377
2011-02-01  20403
2011-03-01  20497
2011-04-01  20533
2011-05-01  20560
2011-06-01  20437
2011-07-01  20325
2011-08-01  20817
2011-09-01  20981
2011-10-01  20831
2011-11-01  20752
2011-12-01  20618
2012-01-01  20423
2012-02-01  20543
2012-03-01  20530
2012-04-01  20641
2012-05-01  20774
2012-06-01  21053
2012-07-01  20680
2012-08-01  20301
2012-09-01  20601
2012-10-01  20697
2012-11-01  20514
2012-12-01  20396
2013-01-01  20575
2013-02-01  20545
2013-03-01  20503
2013-04-01  20537
2013-05-01  20596
2013-06-01  20672
2013-07-01  20568
2013-08-01  20267
2013-09-01  20468
2013-10-01  20199
2013-11-01  20103
2013-12-01  20081
2014-01-01  20138
2014-02-01  20438
2014-03-01  20588
2014-04-01  20694
2014-05-01  20899
2014-06-01  21069
2014-07-01  21023
2014-08-01  20842
2014-09-01  21141
2014-10-01  21131
2014-11-01  20945
2014-12-01  20825
2015-01-01  20944
2015-02-01  21029
2015-03-01  21093
2015-04-01  21358
2015-05-01  21642
2015-06-01  21528
2015-07-01  21443
2015-08-01  21238
2015-09-01  21497
2015-10-01  21243
2015-11-01  21171
2015-12-01  20929
2016-01-01  20980
2016-02-01  21050
2016-03-01  21151
2016-04-01  21217
2016-05-01  21289
2016-06-01  21186
2016-07-01  20974
2016-08-01  20834
2016-09-01  20948
2016-10-01  20906
2016-11-01  20765
2016-12-01  20623
2017-01-01  20755
2017-02-01  20853
2017-03-01  21077
2017-04-01  21059
2017-05-01  21005
2017-06-01  20974
2017-07-01  21113
2017-08-01  20963
2017-09-01  21339
2017-10-01  20870
2017-11-01  20763
2017-12-01  20605
2018-01-01  20658
2018-02-01  20955
2018-03-01  21095
2018-04-01  21162
2018-05-01  21256
2018-06-01  21257
2018-07-01  21234
2018-08-01  21181
2018-09-01  21311
2018-10-01  21305
2018-11-01  21163
