Title:               Civilian Labor Force in Mecklenburg County, NC
2016-05-01  580450
2016-06-01  582303
2016-07-01  585878
2016-08-01  581575
2016-09-01  587627
2016-10-01  591736
2016-11-01  590184
2016-12-01  586711
2017-01-01  590006
2017-02-01  592859
2017-03-01  596947
2017-04-01  597070
2017-05-01  600493
2017-06-01  603483
2017-07-01  606205
2017-08-01  601584
2017-09-01  608864
2017-10-01  610212
2017-11-01  609571
2017-12-01  606679
2018-01-01  607098
2018-02-01  609963
2018-03-01  614909
2018-04-01  612064
2018-05-01  616792
2018-06-01  618553
2018-07-01  618507
2018-08-01  609411
2018-09-01  611172
2018-10-01  619469
2018-11-01  616539
