Title:               Civilian Labor Force in Macon County, NC
2005-11-01  15683
2005-12-01  15481
2006-01-01  15354
2006-02-01  15446
2006-03-01  15569
2006-04-01  15784
2006-05-01  16105
2006-06-01  16569
2006-07-01  16731
2006-08-01  16481
2006-09-01  16374
2006-10-01  16592
2006-11-01  16360
2006-12-01  16058
2007-01-01  16347
2007-02-01  16111
2007-03-01  16236
2007-04-01  16406
2007-05-01  16742
2007-06-01  16979
2007-07-01  17323
2007-08-01  16761
2007-09-01  16856
2007-10-01  16809
2007-11-01  16754
2007-12-01  16394
2008-01-01  15689
2008-02-01  15529
2008-03-01  15762
2008-04-01  16073
2008-05-01  16400
2008-06-01  16715
2008-07-01  17154
2008-08-01  16645
2008-09-01  16612
2008-10-01  16409
2008-11-01  16367
2008-12-01  16063
2009-01-01  15756
2009-02-01  15678
2009-03-01  15622
2009-04-01  15911
2009-05-01  16185
2009-06-01  16231
2009-07-01  16399
2009-08-01  16147
2009-09-01  16028
2009-10-01  15960
2009-11-01  15754
2009-12-01  15393
2010-01-01  14862
2010-02-01  14980
2010-03-01  15119
2010-04-01  15572
2010-05-01  15844
2010-06-01  15848
2010-07-01  15961
2010-08-01  15737
2010-09-01  15730
2010-10-01  15452
2010-11-01  15354
2010-12-01  15064
2011-01-01  14977
2011-02-01  15027
2011-03-01  15189
2011-04-01  15312
2011-05-01  15572
2011-06-01  15808
2011-07-01  15821
2011-08-01  15764
2011-09-01  15805
2011-10-01  15721
2011-11-01  15503
2011-12-01  15303
2012-01-01  14944
2012-02-01  14994
2012-03-01  14965
2012-04-01  15239
2012-05-01  15742
2012-06-01  15872
2012-07-01  15914
2012-08-01  15584
2012-09-01  15764
2012-10-01  15736
2012-11-01  15663
2012-12-01  15388
2013-01-01  15078
2013-02-01  14983
2013-03-01  14886
2013-04-01  15044
2013-05-01  15400
2013-06-01  15536
2013-07-01  15766
2013-08-01  15354
2013-09-01  15377
2013-10-01  15169
2013-11-01  15054
2013-12-01  14755
2014-01-01  14578
2014-02-01  14538
2014-03-01  14786
2014-04-01  14830
2014-05-01  15261
2014-06-01  15287
2014-07-01  15564
2014-08-01  15172
2014-09-01  15151
2014-10-01  15317
2014-11-01  15162
2014-12-01  14834
2015-01-01  14780
2015-02-01  14696
2015-03-01  14828
2015-04-01  15024
2015-05-01  15451
2015-06-01  15576
2015-07-01  15716
2015-08-01  15219
2015-09-01  15293
2015-10-01  15173
2015-11-01  15013
2015-12-01  14665
2016-01-01  14607
2016-02-01  14762
2016-03-01  14981
2016-04-01  15099
2016-05-01  15404
2016-06-01  15464
2016-07-01  15738
2016-08-01  15519
2016-09-01  15559
2016-10-01  15334
2016-11-01  15129
2016-12-01  14812
2017-01-01  14568
2017-02-01  14992
2017-03-01  15115
2017-04-01  15075
2017-05-01  15288
2017-06-01  15477
2017-07-01  15624
2017-08-01  15411
2017-09-01  15532
2017-10-01  15382
2017-11-01  15202
2017-12-01  14919
2018-01-01  14672
2018-02-01  14775
2018-03-01  14805
2018-04-01  14965
2018-05-01  15489
2018-06-01  15667
2018-07-01  15744
2018-08-01  15390
2018-09-01  15468
2018-10-01  15451
2018-11-01  15264
