Title:               Civilian Labor Force in Montgomery County, NC
2017-06-01  11749
2017-07-01  11701
2017-08-01  11666
2017-09-01  11846
2017-10-01  11611
2017-11-01  11609
2017-12-01  11520
2018-01-01  11746
2018-02-01  11972
2018-03-01  11923
2018-04-01  11850
2018-05-01  11884
2018-06-01  12009
2018-07-01  11812
2018-08-01  11427
2018-09-01  11440
2018-10-01  11462
2018-11-01  11537
