Title:               All Employees: Manufacturing in North Carolina
2003-01-01  623.8
2003-02-01  619.6
2003-03-01  616.6
2003-04-01  613.3
2003-05-01  606.8
2003-06-01  602.5
2003-07-01  592.6
2003-08-01  589.1
2003-09-01  586.1
2003-10-01  581.7
2003-11-01  580.1
2003-12-01  578.4
2004-01-01  577.8
2004-02-01  577.2
2004-03-01  577.1
2004-04-01  578.5
2004-05-01  578.7
2004-06-01  579.0
2004-07-01  580.3
2004-08-01  578.2
2004-09-01  577.6
2004-10-01  576.1
2004-11-01  574.4
2004-12-01  573.4
2005-01-01  572.0
2005-02-01  571.4
2005-03-01  569.7
2005-04-01  568.6
2005-05-01  567.5
2005-06-01  565.6
2005-07-01  563.5
2005-08-01  562.1
2005-09-01  561.3
2005-10-01  559.3
2005-11-01  558.4
2005-12-01  557.5
2006-01-01  555.7
2006-02-01  553.0
2006-03-01  552.1
2006-04-01  558.9
2006-05-01  557.4
2006-06-01  555.7
2006-07-01  556.0
2006-08-01  553.3
2006-09-01  551.3
2006-10-01  550.6
2006-11-01  547.7
2006-12-01  547.9
2007-01-01  546.9
2007-02-01  545.9
2007-03-01  544.0
2007-04-01  540.2
2007-05-01  538.0
2007-06-01  539.4
2007-07-01  538.5
2007-08-01  536.7
2007-09-01  534.3
2007-10-01  533.4
2007-11-01  533.3
2007-12-01  532.8
2008-01-01  530.1
2008-02-01  529.3
2008-03-01  528.1
2008-04-01  525.0
2008-05-01  521.8
2008-06-01  518.7
2008-07-01  517.1
2008-08-01  514.1
2008-09-01  510.5
2008-10-01  504.8
2008-11-01  499.4
2008-12-01  492.6
2009-01-01  478.6
2009-02-01  471.2
2009-03-01  460.8
2009-04-01  455.0
2009-05-01  449.1
2009-06-01  444.2
2009-07-01  439.4
2009-08-01  437.3
2009-09-01  435.6
2009-10-01  435.2
2009-11-01  433.9
2009-12-01  432.2
2010-01-01  431.2
2010-02-01  430.7
2010-03-01  430.6
2010-04-01  431.3
2010-05-01  431.8
2010-06-01  432.3
2010-07-01  433.9
2010-08-01  432.7
2010-09-01  433.2
2010-10-01  433.2
2010-11-01  432.4
2010-12-01  433.0
2011-01-01  432.4
2011-02-01  433.0
2011-03-01  433.7
2011-04-01  433.9
2011-05-01  434.7
2011-06-01  434.1
2011-07-01  434.4
2011-08-01  434.6
2011-09-01  433.7
2011-10-01  433.3
2011-11-01  433.4
2011-12-01  433.9
2012-01-01  436.8
2012-02-01  437.7
2012-03-01  438.5
2012-04-01  439.9
2012-05-01  440.3
2012-06-01  440.6
2012-07-01  440.9
2012-08-01  440.9
2012-09-01  441.2
2012-10-01  441.2
2012-11-01  442.2
2012-12-01  441.9
2013-01-01  441.9
2013-02-01  442.4
2013-03-01  442.1
2013-04-01  442.0
2013-05-01  441.9
2013-06-01  442.8
2013-07-01  443.1
2013-08-01  443.1
2013-09-01  443.2
2013-10-01  444.0
2013-11-01  443.9
2013-12-01  444.3
2014-01-01  444.1
2014-02-01  444.4
2014-03-01  445.9
2014-04-01  446.7
2014-05-01  447.1
2014-06-01  447.8
2014-07-01  448.4
2014-08-01  449.9
2014-09-01  451.2
2014-10-01  453.1
2014-11-01  454.5
2014-12-01  455.6
2015-01-01  457.8
2015-02-01  458.2
2015-03-01  459.3
2015-04-01  459.4
2015-05-01  460.6
2015-06-01  460.8
2015-07-01  461.5
2015-08-01  462.4
2015-09-01  462.7
2015-10-01  463.8
2015-11-01  464.4
2015-12-01  465.0
2016-01-01  465.3
2016-02-01  465.4
2016-03-01  464.8
2016-04-01  464.8
2016-05-01  464.4
2016-06-01  464.0
2016-07-01  465.0
2016-08-01  464.8
2016-09-01  464.6
2016-10-01  463.6
2016-11-01  464.6
2016-12-01  465.0
2017-01-01  465.5
2017-02-01  466.2
2017-03-01  466.3
2017-04-01  467.0
2017-05-01  466.7
2017-06-01  467.8
2017-07-01  467.8
2017-08-01  467.9
2017-09-01  467.9
2017-10-01  467.0
2017-11-01  467.5
2017-12-01  468.1
2018-01-01  469.1
2018-02-01  470.3
2018-03-01  470.1
2018-04-01  473.5
2018-05-01  476.4
2018-06-01  474.7
2018-07-01  475.3
2018-08-01  474.2
2018-09-01  474.0
2018-10-01  473.8
2018-11-01  473.9
