Title:               All Employees: Financial Activities in North Carolina
1999-12-01  184.4
2000-01-01  180.7
2000-02-01  181.5
2000-03-01  182.7
2000-04-01  182.7
2000-05-01  184.1
2000-06-01  186.6
2000-07-01  187.0
2000-08-01  187.3
2000-09-01  186.0
2000-10-01  186.6
2000-11-01  186.0
2000-12-01  187.4
2001-01-01  183.4
2001-02-01  184.2
2001-03-01  185.0
2001-04-01  185.6
2001-05-01  186.7
2001-06-01  188.8
2001-07-01  188.9
2001-08-01  189.0
2001-09-01  187.5
2001-10-01  186.9
2001-11-01  186.7
2001-12-01  186.9
2002-01-01  184.9
2002-02-01  185.5
2002-03-01  186.9
2002-04-01  186.9
2002-05-01  187.6
2002-06-01  190.2
2002-07-01  191.0
2002-08-01  191.8
2002-09-01  190.8
2002-10-01  190.8
2002-11-01  190.1
2002-12-01  190.5
2003-01-01  187.7
2003-02-01  188.1
2003-03-01  189.2
2003-04-01  190.4
2003-05-01  191.7
2003-06-01  193.3
2003-07-01  191.0
2003-08-01  192.0
2003-09-01  191.3
2003-10-01  192.6
2003-11-01  190.0
2003-12-01  191.2
2004-01-01  188.6
2004-02-01  189.0
2004-03-01  189.7
2004-04-01  191.3
2004-05-01  191.8
2004-06-01  194.1
2004-07-01  195.6
2004-08-01  196.1
2004-09-01  195.5
2004-10-01  193.7
2004-11-01  193.4
2004-12-01  194.1
2005-01-01  191.7
2005-02-01  192.6
2005-03-01  193.3
2005-04-01  196.3
2005-05-01  197.0
2005-06-01  199.3
2005-07-01  201.1
2005-08-01  201.1
2005-09-01  200.1
2005-10-01  199.6
2005-11-01  199.1
2005-12-01  199.7
2006-01-01  196.7
2006-02-01  198.1
2006-03-01  199.6
2006-04-01  203.4
2006-05-01  204.7
2006-06-01  206.9
2006-07-01  210.5
2006-08-01  211.0
2006-09-01  209.2
2006-10-01  209.4
2006-11-01  208.7
2006-12-01  209.0
2007-01-01  207.3
2007-02-01  207.6
2007-03-01  209.0
2007-04-01  211.1
2007-05-01  212.3
2007-06-01  214.4
2007-07-01  214.0
2007-08-01  214.0
2007-09-01  212.2
2007-10-01  212.0
2007-11-01  210.9
2007-12-01  211.4
2008-01-01  210.2
2008-02-01  211.5
2008-03-01  212.2
2008-04-01  213.5
2008-05-01  213.6
2008-06-01  215.4
2008-07-01  214.4
2008-08-01  214.4
2008-09-01  211.9
2008-10-01  211.1
2008-11-01  209.3
2008-12-01  209.3
2009-01-01  204.9
2009-02-01  204.3
2009-03-01  203.6
2009-04-01  202.8
2009-05-01  203.5
2009-06-01  203.9
2009-07-01  203.9
2009-08-01  202.9
2009-09-01  200.4
2009-10-01  199.6
2009-11-01  199.3
2009-12-01  199.4
2010-01-01  197.1
2010-02-01  197.4
2010-03-01  198.1
2010-04-01  198.3
2010-05-01  199.0
2010-06-01  200.7
2010-07-01  201.5
2010-08-01  201.8
2010-09-01  200.5
2010-10-01  200.5
2010-11-01  200.4
2010-12-01  200.5
2011-01-01  198.4
2011-02-01  198.9
2011-03-01  199.1
2011-04-01  199.7
2011-05-01  201.2
2011-06-01  203.1
2011-07-01  203.7
2011-08-01  204.0
2011-09-01  201.6
2011-10-01  201.4
2011-11-01  201.0
2011-12-01  201.2
2012-01-01  198.5
2012-02-01  199.3
2012-03-01  200.7
2012-04-01  201.4
2012-05-01  202.3
2012-06-01  204.4
2012-07-01  204.5
2012-08-01  204.9
2012-09-01  203.4
2012-10-01  204.3
2012-11-01  204.0
2012-12-01  204.2
2013-01-01  201.8
2013-02-01  202.4
2013-03-01  203.0
2013-04-01  205.2
2013-05-01  206.4
2013-06-01  208.7
2013-07-01  209.0
2013-08-01  209.5
2013-09-01  208.0
2013-10-01  208.0
2013-11-01  207.7
2013-12-01  208.0
2014-01-01  207.2
2014-02-01  207.2
2014-03-01  208.2
2014-04-01  209.1
2014-05-01  211.0
2014-06-01  213.6
2014-07-01  215.1
2014-08-01  216.0
2014-09-01  214.7
2014-10-01  214.3
2014-11-01  214.3
2014-12-01  215.1
2015-01-01  212.6
2015-02-01  213.7
2015-03-01  214.0
2015-04-01  215.4
2015-05-01  217.4
2015-06-01  220.1
2015-07-01  222.0
2015-08-01  222.0
2015-09-01  221.3
2015-10-01  222.2
2015-11-01  222.0
2015-12-01  223.0
2016-01-01  220.9
2016-02-01  221.9
2016-03-01  222.3
2016-04-01  223.7
2016-05-01  225.2
2016-06-01  227.7
2016-07-01  229.7
2016-08-01  230.3
2016-09-01  228.7
2016-10-01  229.5
2016-11-01  229.1
2016-12-01  230.0
2017-01-01  226.9
2017-02-01  227.7
2017-03-01  228.6
2017-04-01  230.3
2017-05-01  231.8
2017-06-01  234.9
2017-07-01  236.6
2017-08-01  236.5
2017-09-01  234.7
2017-10-01  234.2
2017-11-01  232.6
2017-12-01  233.6
2018-01-01  233.4
2018-02-01  234.9
2018-03-01  236.5
2018-04-01  235.6
2018-05-01  236.6
2018-06-01  240.0
2018-07-01  241.2
2018-08-01  241.5
2018-09-01  241.3
2018-10-01  242.8
2018-11-01  241.5
