Title:               Civilian Labor Force in Franklin County, NC
2001-12-01  24973
2002-01-01  24776
2002-02-01  24903
2002-03-01  24906
2002-04-01  24958
2002-05-01  25067
2002-06-01  25219
2002-07-01  25222
2002-08-01  25033
2002-09-01  25057
2002-10-01  25064
2002-11-01  25109
2002-12-01  24948
2003-01-01  25133
2003-02-01  25424
2003-03-01  25357
2003-04-01  25642
2003-05-01  25556
2003-06-01  25885
2003-07-01  25802
2003-08-01  25537
2003-09-01  25414
2003-10-01  25636
2003-11-01  25765
2003-12-01  25654
2004-01-01  25511
2004-02-01  25492
2004-03-01  25521
2004-04-01  25399
2004-05-01  25533
2004-06-01  25840
2004-07-01  26213
2004-08-01  25797
2004-09-01  25588
2004-10-01  25790
2004-11-01  25952
2004-12-01  25859
2005-01-01  25284
2005-02-01  25428
2005-03-01  25435
2005-04-01  25707
2005-05-01  25917
2005-06-01  26110
2005-07-01  26525
2005-08-01  26247
2005-09-01  26172
2005-10-01  26313
2005-11-01  26412
2005-12-01  26298
2006-01-01  25761
2006-02-01  25980
2006-03-01  26078
2006-04-01  26378
2006-05-01  26652
2006-06-01  27014
2006-07-01  27481
2006-08-01  27260
2006-09-01  27126
2006-10-01  27341
2006-11-01  27518
2006-12-01  27383
2007-01-01  26331
2007-02-01  26467
2007-03-01  26608
2007-04-01  26559
2007-05-01  26767
2007-06-01  27124
2007-07-01  27525
2007-08-01  27124
2007-09-01  27095
2007-10-01  27162
2007-11-01  27289
2007-12-01  27111
2008-01-01  27236
2008-02-01  27252
2008-03-01  27347
2008-04-01  27478
2008-05-01  27675
2008-06-01  27812
2008-07-01  28358
2008-08-01  27894
2008-09-01  27738
2008-10-01  27932
2008-11-01  28139
2008-12-01  28067
2009-01-01  27664
2009-02-01  27676
2009-03-01  27632
2009-04-01  27661
2009-05-01  27688
2009-06-01  27743
2009-07-01  28188
2009-08-01  27626
2009-09-01  27365
2009-10-01  27386
2009-11-01  27595
2009-12-01  27369
2010-01-01  27455
2010-02-01  27524
2010-03-01  27707
2010-04-01  28087
2010-05-01  28085
2010-06-01  28056
2010-07-01  28505
2010-08-01  28137
2010-09-01  27978
2010-10-01  27959
2010-11-01  28092
2010-12-01  27864
2011-01-01  27599
2011-02-01  27627
2011-03-01  27763
2011-04-01  27799
2011-05-01  27846
2011-06-01  27915
2011-07-01  28304
2011-08-01  28029
2011-09-01  28133
2011-10-01  28186
2011-11-01  28134
2011-12-01  27955
2012-01-01  27662
2012-02-01  27847
2012-03-01  27913
2012-04-01  27870
2012-05-01  28165
2012-06-01  28273
2012-07-01  28702
2012-08-01  28225
2012-09-01  28292
2012-10-01  28482
2012-11-01  28332
2012-12-01  28219
2013-01-01  28069
2013-02-01  28119
2013-03-01  28082
2013-04-01  28015
2013-05-01  28208
2013-06-01  28294
2013-07-01  28658
2013-08-01  28281
2013-09-01  28415
2013-10-01  28309
2013-11-01  28345
2013-12-01  28063
2014-01-01  27812
2014-02-01  27935
2014-03-01  28152
2014-04-01  27955
2014-05-01  28221
2014-06-01  28378
2014-07-01  28796
2014-08-01  28411
2014-09-01  28394
2014-10-01  28669
2014-11-01  28574
2014-12-01  28343
2015-01-01  28220
2015-02-01  28408
2015-03-01  28461
2015-04-01  28529
2015-05-01  28825
2015-06-01  28831
2015-07-01  29143
2015-08-01  28736
2015-09-01  28692
2015-10-01  28950
2015-11-01  28935
2015-12-01  28845
2016-01-01  28779
2016-02-01  29031
2016-03-01  29145
2016-04-01  29043
2016-05-01  29160
2016-06-01  29373
2016-07-01  29750
2016-08-01  29340
2016-09-01  29464
2016-10-01  29657
2016-11-01  29676
2016-12-01  29353
2017-01-01  29459
2017-02-01  29763
2017-03-01  29925
2017-04-01  29855
2017-05-01  30019
2017-06-01  30148
2017-07-01  30703
2017-08-01  30328
2017-09-01  30446
2017-10-01  30361
2017-11-01  30369
2017-12-01  30078
2018-01-01  30227
2018-02-01  30534
2018-03-01  30619
2018-04-01  30509
2018-05-01  30799
2018-06-01  31033
2018-07-01  31478
2018-08-01  30751
2018-09-01  30657
2018-10-01  30994
2018-11-01  30845
