Title:               Civilian Labor Force in Harnett County, NC
1998-10-01  38094
1998-11-01  37961
1998-12-01  39042
1999-01-01  37080
1999-02-01  37381
1999-03-01  37487
1999-04-01  37010
1999-05-01  36905
1999-06-01  35577
1999-07-01  36148
1999-08-01  36815
1999-09-01  37434
1999-10-01  37417
1999-11-01  37220
1999-12-01  36864
2000-01-01  41555
2000-02-01  41966
2000-03-01  42108
2000-04-01  42141
2000-05-01  42426
2000-06-01  42054
2000-07-01  42504
2000-08-01  42579
2000-09-01  42839
2000-10-01  42983
2000-11-01  43065
2000-12-01  42789
2001-01-01  43096
2001-02-01  43471
2001-03-01  43776
2001-04-01  43411
2001-05-01  43064
2001-06-01  42519
2001-07-01  42234
2001-08-01  42363
2001-09-01  43165
2001-10-01  43514
2001-11-01  43357
2001-12-01  42910
2002-01-01  42782
2002-02-01  43313
2002-03-01  43227
2002-04-01  43183
2002-05-01  43237
2002-06-01  42730
2002-07-01  42562
2002-08-01  42937
2002-09-01  43076
2002-10-01  43481
2002-11-01  42796
2002-12-01  42540
2003-01-01  43206
2003-02-01  43430
2003-03-01  43593
2003-04-01  43929
2003-05-01  43934
2003-06-01  44109
2003-07-01  43761
2003-08-01  43657
2003-09-01  43779
2003-10-01  44406
2003-11-01  44306
2003-12-01  43907
2004-01-01  44223
2004-02-01  43985
2004-03-01  43977
2004-04-01  44441
2004-05-01  44200
2004-06-01  44165
2004-07-01  44172
2004-08-01  43971
2004-09-01  44435
2004-10-01  44530
2004-11-01  44693
2004-12-01  44456
2005-01-01  44521
2005-02-01  44617
2005-03-01  44665
2005-04-01  45211
2005-05-01  45020
2005-06-01  45028
2005-07-01  45682
2005-08-01  45667
2005-09-01  45707
2005-10-01  46101
2005-11-01  45948
2005-12-01  45548
2006-01-01  45598
2006-02-01  45847
2006-03-01  45915
2006-04-01  46232
2006-05-01  46410
2006-06-01  46858
2006-07-01  47323
2006-08-01  47296
2006-09-01  47031
2006-10-01  47369
2006-11-01  47592
2006-12-01  47285
2007-01-01  47667
2007-02-01  47569
2007-03-01  47632
2007-04-01  47587
2007-05-01  47857
2007-06-01  48162
2007-07-01  48198
2007-08-01  47907
2007-09-01  48181
2007-10-01  47982
2007-11-01  48437
2007-12-01  48300
2008-01-01  47687
2008-02-01  47622
2008-03-01  47666
2008-04-01  47686
2008-05-01  47876
2008-06-01  48008
2008-07-01  47970
2008-08-01  47700
2008-09-01  48017
2008-10-01  47771
2008-11-01  48459
2008-12-01  48205
2009-01-01  48213
2009-02-01  48419
2009-03-01  48322
2009-04-01  48686
2009-05-01  48600
2009-06-01  48581
2009-07-01  48254
2009-08-01  47842
2009-09-01  48002
2009-10-01  48058
2009-11-01  48244
2009-12-01  47837
2010-01-01  48509
2010-02-01  48732
2010-03-01  48875
2010-04-01  49398
2010-05-01  49315
2010-06-01  49106
2010-07-01  48440
2010-08-01  48409
2010-09-01  48652
2010-10-01  48650
2010-11-01  48920
2010-12-01  48282
2011-01-01  48692
2011-02-01  48864
2011-03-01  49169
2011-04-01  49108
2011-05-01  49362
2011-06-01  49512
2011-07-01  48976
2011-08-01  49102
2011-09-01  49435
2011-10-01  49430
2011-11-01  49131
2011-12-01  48878
2012-01-01  48833
2012-02-01  49358
2012-03-01  49535
2012-04-01  49321
2012-05-01  49936
2012-06-01  50318
2012-07-01  49757
2012-08-01  49667
2012-09-01  49931
2012-10-01  50343
2012-11-01  49970
2012-12-01  49657
2013-01-01  49681
2013-02-01  49752
2013-03-01  49639
2013-04-01  49469
2013-05-01  49794
2013-06-01  50055
2013-07-01  49911
2013-08-01  49610
2013-09-01  50049
2013-10-01  49741
2013-11-01  49652
2013-12-01  48756
2014-01-01  49204
2014-02-01  49237
2014-03-01  49730
2014-04-01  49306
2014-05-01  49534
2014-06-01  49536
2014-07-01  49453
2014-08-01  48987
2014-09-01  49538
2014-10-01  49872
2014-11-01  49560
2014-12-01  48698
2015-01-01  49690
2015-02-01  49915
2015-03-01  50057
2015-04-01  50150
2015-05-01  50702
2015-06-01  50454
2015-07-01  50378
2015-08-01  49865
2015-09-01  50103
2015-10-01  50804
2015-11-01  50676
2015-12-01  50219
2016-01-01  50418
2016-02-01  51056
2016-03-01  51524
2016-04-01  51243
2016-05-01  51184
2016-06-01  51497
2016-07-01  51276
2016-08-01  51118
2016-09-01  51852
2016-10-01  52085
2016-11-01  52115
2016-12-01  51506
2017-01-01  51877
2017-02-01  52353
2017-03-01  52837
2017-04-01  52493
2017-05-01  52404
2017-06-01  52552
2017-07-01  52533
2017-08-01  52136
2017-09-01  53146
2017-10-01  53015
2017-11-01  53059
2017-12-01  52499
2018-01-01  52895
2018-02-01  53297
2018-03-01  53534
2018-04-01  53271
2018-05-01  53288
2018-06-01  53591
2018-07-01  53452
2018-08-01  52241
2018-09-01  52650
2018-10-01  53297
2018-11-01  53183
