Title:               Civilian Labor Force in Hertford County, NC
Series ID:           NCHERT1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
2016-05-01   9352
2016-06-01   9339
2016-07-01   9320
2016-08-01   9151
2016-09-01   9339
2016-10-01   9279
2016-11-01   9245
2016-12-01   9243
2017-01-01   9198
2017-02-01   9359
2017-03-01   9414
2017-04-01   9309
2017-05-01   9315
2017-06-01   9280
2017-07-01   9302
2017-08-01   9105
2017-09-01   9309
2017-10-01   9276
2017-11-01   9219
2017-12-01   9214
2018-01-01   9165
2018-02-01   9190
2018-03-01   9179
2018-04-01   9105
2018-05-01   9172
2018-06-01   9130
2018-07-01   9114
2018-08-01   8976
2018-09-01   9042
2018-10-01   9130
2018-11-01   9102
