Title:               Civilian Labor Force in Hoke County, NC
1996-10-01  11459
1996-11-01  11446
1996-12-01  11248
1997-01-01  11336
1997-02-01  11162
1997-03-01  11378
1997-04-01  11298
1997-05-01  11468
1997-06-01  11566
1997-07-01  11776
1997-08-01  11625
1997-09-01  11408
1997-10-01  11430
1997-11-01  11413
1997-12-01  11323
1998-01-01  11344
1998-02-01  11447
1998-03-01  11595
1998-04-01  11550
1998-05-01  11688
1998-06-01  11749
1998-07-01  12166
1998-08-01  11888
1998-09-01  11658
1998-10-01  11932
1998-11-01  11781
1998-12-01  11665
1999-01-01  12066
1999-02-01  12078
1999-03-01  12019
1999-04-01  11936
1999-05-01  12433
1999-06-01  12768
1999-07-01  12752
1999-08-01  12689
1999-09-01  12413
1999-10-01  12314
1999-11-01  12304
1999-12-01  12085
2000-01-01  14505
2000-02-01  14568
2000-03-01  14583
2000-04-01  14563
2000-05-01  14695
2000-06-01  14703
2000-07-01  14433
2000-08-01  14300
2000-09-01  14324
2000-10-01  14486
2000-11-01  14516
2000-12-01  14595
2001-01-01  14949
2001-02-01  15091
2001-03-01  15040
2001-04-01  14858
2001-05-01  14910
2001-06-01  14915
2001-07-01  14606
2001-08-01  14315
2001-09-01  14633
2001-10-01  14849
2001-11-01  15056
2001-12-01  15028
2002-01-01  15237
2002-02-01  15451
2002-03-01  15365
2002-04-01  15563
2002-05-01  15504
2002-06-01  15618
2002-07-01  15346
2002-08-01  15232
2002-09-01  15238
2002-10-01  15433
2002-11-01  15398
2002-12-01  15449
2003-01-01  16123
2003-02-01  16486
2003-03-01  16430
2003-04-01  16505
2003-05-01  16374
2003-06-01  16510
2003-07-01  16084
2003-08-01  15731
2003-09-01  15988
2003-10-01  16234
2003-11-01  16207
2003-12-01  16100
2004-01-01  16711
2004-02-01  16757
2004-03-01  16759
2004-04-01  16834
2004-05-01  16997
2004-06-01  17060
2004-07-01  16871
2004-08-01  16650
2004-09-01  16855
2004-10-01  16961
2004-11-01  17129
2004-12-01  17112
2005-01-01  18038
2005-02-01  18232
2005-03-01  18330
2005-04-01  18340
2005-05-01  18468
2005-06-01  18543
2005-07-01  18498
2005-08-01  18348
2005-09-01  18684
2005-10-01  18537
2005-11-01  18458
2005-12-01  18348
2006-01-01  19151
2006-02-01  19259
2006-03-01  19393
2006-04-01  19485
2006-05-01  19618
2006-06-01  19778
2006-07-01  19575
2006-08-01  19446
2006-09-01  19555
2006-10-01  19701
2006-11-01  19645
2006-12-01  19633
2007-01-01  19030
2007-02-01  19221
2007-03-01  19206
2007-04-01  19136
2007-05-01  19148
2007-06-01  19299
2007-07-01  19096
2007-08-01  18740
2007-09-01  18955
2007-10-01  19164
2007-11-01  19317
2007-12-01  19193
2008-01-01  19366
2008-02-01  19330
2008-03-01  19387
2008-04-01  19599
2008-05-01  19665
2008-06-01  19690
2008-07-01  19744
2008-08-01  19565
2008-09-01  19753
2008-10-01  19909
2008-11-01  20191
2008-12-01  20188
2009-01-01  20692
2009-02-01  20738
2009-03-01  20727
2009-04-01  20854
2009-05-01  20845
2009-06-01  21004
2009-07-01  20910
2009-08-01  20638
2009-09-01  20745
2009-10-01  20845
2009-11-01  20909
2009-12-01  20676
2010-01-01  18285
2010-02-01  18343
2010-03-01  18494
2010-04-01  18679
2010-05-01  18700
2010-06-01  18719
2010-07-01  18533
2010-08-01  18450
2010-09-01  18608
2010-10-01  18688
2010-11-01  18776
2010-12-01  18655
2011-01-01  19186
2011-02-01  19310
2011-03-01  19440
2011-04-01  19436
2011-05-01  19500
2011-06-01  19583
2011-07-01  19471
2011-08-01  19386
2011-09-01  19539
2011-10-01  19574
2011-11-01  19555
2011-12-01  19427
2012-01-01  19655
2012-02-01  19828
2012-03-01  19838
2012-04-01  19758
2012-05-01  19968
2012-06-01  20063
2012-07-01  19786
2012-08-01  19708
2012-09-01  19863
2012-10-01  19968
2012-11-01  19812
2012-12-01  19730
2013-01-01  19968
2013-02-01  19959
2013-03-01  19897
2013-04-01  19780
2013-05-01  19878
2013-06-01  20060
2013-07-01  19754
2013-08-01  19541
2013-09-01  19699
2013-10-01  19553
2013-11-01  19620
2013-12-01  19426
2014-01-01  19511
2014-02-01  19548
2014-03-01  19642
2014-04-01  19372
2014-05-01  19522
2014-06-01  19604
2014-07-01  19376
2014-08-01  19142
2014-09-01  19225
2014-10-01  19345
2014-11-01  19345
2014-12-01  19157
2015-01-01  19763
2015-02-01  19879
2015-03-01  19903
2015-04-01  19877
2015-05-01  20062
2015-06-01  20039
2015-07-01  19772
2015-08-01  19526
2015-09-01  19655
2015-10-01  19799
2015-11-01  19892
2015-12-01  19797
2016-01-01  19889
2016-02-01  20001
2016-03-01  20111
2016-04-01  19997
2016-05-01  19966
2016-06-01  20028
2016-07-01  19801
2016-08-01  19579
2016-09-01  19842
2016-10-01  19841
2016-11-01  19933
2016-12-01  19749
2017-01-01  19899
2017-02-01  20021
2017-03-01  20084
2017-04-01  20000
2017-05-01  19974
2017-06-01  19899
2017-07-01  19781
2017-08-01  19702
2017-09-01  19978
2017-10-01  19855
2017-11-01  19894
2017-12-01  19865
2018-01-01  19917
2018-02-01  20037
2018-03-01  20070
2018-04-01  19994
2018-05-01  20058
2018-06-01  20124
2018-07-01  20011
2018-08-01  19559
2018-09-01  19552
2018-10-01  19933
2018-11-01  20018
