Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charlotte-Gastonia-Concord, NC-SC (MSA)
2000-01-01   1107
2000-02-01   1053
2000-03-01   1793
2000-04-01   1035
2000-05-01   1283
2000-06-01   1667
2000-07-01    998
2000-08-01   1149
2000-09-01   1083
2000-10-01    983
2000-11-01    933
2000-12-01    813
2001-01-01   1513
2001-02-01   1305
2001-03-01   1368
2001-04-01   1399
2001-05-01   1271
2001-06-01   1579
2001-07-01   1353
2001-08-01   1480
2001-09-01   1190
2001-10-01   1279
2001-11-01   1136
2001-12-01    983
2002-01-01   1152
2002-02-01   1456
2002-03-01   1561
2002-04-01   1860
2002-05-01   1528
2002-06-01   1354
2002-07-01   1411
2002-08-01   1579
2002-09-01   1371
2002-10-01   1336
2002-11-01   1150
2002-12-01   1617
2003-01-01   1294
2003-02-01   1054
2003-03-01   1620
2003-04-01   1620
2003-05-01   1472
2003-06-01   1757
2003-07-01   1329
2003-08-01   1609
2003-09-01   1387
2003-10-01   1332
2003-11-01   1027
2003-12-01   1363
2004-01-01   1173
2004-02-01   1209
2004-03-01   1882
2004-04-01   1894
2004-05-01   1670
2004-06-01   1859
2004-07-01   1576
2004-08-01   1586
2004-09-01   1220
2004-10-01   1237
2004-11-01   1127
2004-12-01   1269
2005-01-01   1321
2005-02-01   1409
2005-03-01   1697
2005-04-01   1596
2005-05-01   1478
2005-06-01   1646
2005-07-01   1686
2005-08-01   1816
2005-09-01   1741
2005-10-01   1659
2005-11-01   1630
2005-12-01   1385
2006-01-01   1607
2006-02-01   1707
2006-03-01   2034
2006-04-01   1793
2006-05-01   1970
2006-06-01   1900
2006-07-01   1752
2006-08-01   1711
2006-09-01   1623
2006-10-01   1762
2006-11-01    980
2006-12-01   1612
2007-01-01   1794
2007-02-01   1337
2007-03-01   1556
2007-04-01   1607
2007-05-01   1588
2007-06-01   1389
2007-07-01   1258
2007-08-01   1295
2007-09-01    992
2007-10-01    957
2007-11-01    842
2007-12-01    652
2008-01-01    702
2008-02-01    937
2008-03-01    662
2008-04-01    733
2008-05-01    987
2008-06-01    600
2008-07-01    594
2008-08-01    677
2008-09-01    456
2008-10-01    419
2008-11-01    309
2008-12-01    258
2009-01-01    235
2009-02-01    237
2009-03-01    276
2009-04-01    362
2009-05-01    393
2009-06-01    488
2009-07-01    407
2009-08-01    437
2009-09-01    413
2009-10-01    380
2009-11-01    360
2009-12-01    445
2010-01-01    466
2010-02-01    389
2010-03-01    580
2010-04-01    482
2010-05-01    393
2010-06-01    455
2010-07-01    304
2010-08-01    369
2010-09-01    279
2010-10-01    236
2010-11-01    251
2010-12-01    226
2011-01-01    229
2011-02-01    259
2011-03-01    363
2011-04-01    397
2011-05-01    417
2011-06-01    474
2011-07-01    432
2011-08-01    490
2011-09-01    436
2011-10-01    412
2011-11-01    381
2011-12-01    363
2012-01-01    390
2012-02-01    531
2012-03-01    574
2012-04-01    407
2012-05-01    588
2012-06-01    649
2012-07-01    591
2012-08-01    669
2012-09-01    557
2012-10-01    583
2012-11-01    534
2012-12-01    561
2013-01-01    624
2013-02-01    735
2013-03-01    723
2013-04-01    792
2013-05-01    848
2013-06-01    864
2013-07-01    781
2013-08-01    856
2013-09-01    586
2013-10-01    641
2013-11-01    588
2013-12-01    698
2014-01-01    698
2014-02-01    790
2014-03-01    854
2014-04-01    911
2014-05-01    909
2014-06-01    841
2014-07-01   1003
2014-08-01    902
2014-09-01    830
2014-10-01    800
2014-11-01    657
2014-12-01    791
2015-01-01    874
2015-02-01    892
2015-03-01   1139
2015-04-01    768
2015-05-01   1023
2015-06-01   1123
2015-07-01   1066
2015-08-01   1084
2015-09-01    991
2015-10-01    993
2015-11-01    813
2015-12-01    794
2016-01-01    815
2016-02-01   1024
2016-03-01   1137
2016-04-01   1098
2016-05-01   1133
2016-06-01   1527
2016-07-01   1000
2016-08-01   1302
2016-09-01   1088
2016-10-01    976
2016-11-01    902
2016-12-01    966
2017-01-01   1176
2017-02-01   1049
2017-03-01   1370
2017-04-01   1144
2017-05-01   1252
2017-06-01   1268
2017-07-01   1267
2017-08-01   1244
2017-09-01   1180
2017-10-01   1214
2017-11-01   1052
2017-12-01    754
2018-01-01   1248
2018-02-01   1353
2018-03-01   1386
2018-04-01   1489
2018-05-01   1379
2018-06-01   1337
2018-07-01   1344
2018-08-01   1438
2018-09-01    949
2018-10-01   1236
