Title:               All Employees: Leisure and Hospitality in Charlotte-Concord-Gastonia, NC-SC (MSA)
1995-09-01   64.4
1995-10-01   64.7
1995-11-01   65.3
1995-12-01   65.2
1996-01-01   65.9
1996-02-01   66.4
1996-03-01   66.9
1996-04-01   66.6
1996-05-01   67.1
1996-06-01   67.3
1996-07-01   67.5
1996-08-01   67.6
1996-09-01   68.3
1996-10-01   68.5
1996-11-01   68.9
1996-12-01   69.6
1997-01-01   69.1
1997-02-01   69.7
1997-03-01   70.0
1997-04-01   70.5
1997-05-01   71.3
1997-06-01   71.3
1997-07-01   69.8
1997-08-01   69.8
1997-09-01   70.3
1997-10-01   68.5
1997-11-01   70.1
1997-12-01   70.5
1998-01-01   71.5
1998-02-01   71.8
1998-03-01   72.3
1998-04-01   73.5
1998-05-01   74.2
1998-06-01   74.5
1998-07-01   75.9
1998-08-01   76.2
1998-09-01   76.3
1998-10-01   74.4
1998-11-01   75.1
1998-12-01   75.8
1999-01-01   76.2
1999-02-01   77.3
1999-03-01   77.0
1999-04-01   76.2
1999-05-01   76.3
1999-06-01   76.1
1999-07-01   77.3
1999-08-01   77.3
1999-09-01   77.6
1999-10-01   78.7
1999-11-01   79.6
1999-12-01   80.6
2000-01-01   81.1
2000-02-01   80.5
2000-03-01   80.3
2000-04-01   79.4
2000-05-01   79.6
2000-06-01   80.2
2000-07-01   79.5
2000-08-01   79.7
2000-09-01   79.3
2000-10-01   80.2
2000-11-01   80.1
2000-12-01   80.1
2001-01-01   80.3
2001-02-01   80.6
2001-03-01   79.1
2001-04-01   81.8
2001-05-01   80.7
2001-06-01   81.0
2001-07-01   80.3
2001-08-01   80.9
2001-09-01   80.3
2001-10-01   80.4
2001-11-01   80.2
2001-12-01   78.8
2002-01-01   78.7
2002-02-01   78.9
2002-03-01   78.9
2002-04-01   81.5
2002-05-01   80.3
2002-06-01   80.9
2002-07-01   81.2
2002-08-01   80.9
2002-09-01   81.7
2002-10-01   80.8
2002-11-01   80.7
2002-12-01   81.7
2003-01-01   81.2
2003-02-01   81.2
2003-03-01   81.6
2003-04-01   82.5
2003-05-01   83.9
2003-06-01   84.0
2003-07-01   83.0
2003-08-01   82.9
2003-09-01   83.5
2003-10-01   84.0
2003-11-01   85.0
2003-12-01   85.1
2004-01-01   84.8
2004-02-01   85.2
2004-03-01   85.6
2004-04-01   85.7
2004-05-01   86.5
2004-06-01   86.2
2004-07-01   86.9
2004-08-01   87.7
2004-09-01   87.9
2004-10-01   87.4
2004-11-01   87.6
2004-12-01   88.2
2005-01-01   88.8
2005-02-01   89.1
2005-03-01   89.2
2005-04-01   89.3
2005-05-01   89.1
2005-06-01   89.5
2005-07-01   90.2
2005-08-01   91.2
2005-09-01   91.4
2005-10-01   92.4
2005-11-01   92.8
2005-12-01   92.6
2006-01-01   94.3
2006-02-01   94.0
2006-03-01   94.4
2006-04-01   95.8
2006-05-01   95.3
2006-06-01   95.3
2006-07-01   96.7
2006-08-01   96.8
2006-09-01   97.3
2006-10-01   97.9
2006-11-01   99.1
2006-12-01   99.9
2007-01-01  101.6
2007-02-01  101.7
2007-03-01  102.4
2007-04-01  103.1
2007-05-01  103.5
2007-06-01  103.8
2007-07-01  102.9
2007-08-01  102.9
2007-09-01  103.1
2007-10-01  104.0
2007-11-01  104.3
2007-12-01  105.4
2008-01-01  105.5
2008-02-01  106.5
2008-03-01  106.5
2008-04-01  106.1
2008-05-01  105.9
2008-06-01  105.8
2008-07-01  106.7
2008-08-01  107.0
2008-09-01  107.5
2008-10-01  107.5
2008-11-01  106.7
2008-12-01  107.8
2009-01-01  103.9
2009-02-01  104.1
2009-03-01  103.1
2009-04-01  102.6
2009-05-01  102.7
2009-06-01  102.0
2009-07-01  102.1
2009-08-01  101.7
2009-09-01  102.1
2009-10-01  100.7
2009-11-01  100.2
2009-12-01  100.3
2010-01-01  100.3
2010-02-01  100.4
2010-03-01  100.1
2010-04-01  101.3
2010-05-01  101.4
2010-06-01  101.9
2010-07-01  101.6
2010-08-01  101.7
2010-09-01  102.7
2010-10-01  102.7
2010-11-01  102.9
2010-12-01  102.6
2011-01-01  102.0
2011-02-01  102.9
2011-03-01  103.2
2011-04-01  104.0
2011-05-01  103.8
2011-06-01  104.7
2011-07-01  104.5
2011-08-01  105.3
2011-09-01  105.9
2011-10-01  105.5
2011-11-01  106.3
2011-12-01  106.4
2012-01-01  106.8
2012-02-01  107.4
2012-03-01  108.6
2012-04-01  108.8
2012-05-01  109.4
2012-06-01  109.2
2012-07-01  110.7
2012-08-01  110.9
2012-09-01  110.9
2012-10-01  111.1
2012-11-01  111.8
2012-12-01  111.9
2013-01-01  112.4
2013-02-01  113.2
2013-03-01  113.0
2013-04-01  112.7
2013-05-01  113.1
2013-06-01  113.9
2013-07-01  113.8
2013-08-01  114.2
2013-09-01  114.2
2013-10-01  115.1
2013-11-01  115.3
2013-12-01  116.8
2014-01-01  117.7
2014-02-01  116.5
2014-03-01  117.4
2014-04-01  118.5
2014-05-01  118.8
2014-06-01  118.6
2014-07-01  118.8
2014-08-01  119.4
2014-09-01  120.1
2014-10-01  120.2
2014-11-01  120.2
2014-12-01  120.0
2015-01-01  121.4
2015-02-01  122.5
2015-03-01  121.8
2015-04-01  121.7
2015-05-01  123.1
2015-06-01  124.2
2015-07-01  125.1
2015-08-01  124.6
2015-09-01  125.1
2015-10-01  126.1
2015-11-01  126.3
2015-12-01  128.1
2016-01-01  128.6
2016-02-01  129.4
2016-03-01  129.7
2016-04-01  130.4
2016-05-01  129.9
2016-06-01  130.1
2016-07-01  130.0
2016-08-01  130.4
2016-09-01  131.9
2016-10-01  133.2
2016-11-01  133.0
2016-12-01  131.5
2017-01-01  132.5
2017-02-01  133.8
2017-03-01  134.1
2017-04-01  134.0
2017-05-01  135.6
2017-06-01  135.6
2017-07-01  136.6
2017-08-01  138.1
2017-09-01  137.5
2017-10-01  137.9
2017-11-01  139.2
2017-12-01  140.2
2018-01-01  140.0
2018-02-01  139.3
2018-03-01  139.1
2018-04-01  139.7
2018-05-01  138.7
2018-06-01  139.5
2018-07-01  139.8
2018-08-01  139.2
2018-09-01  135.3
2018-10-01  136.7
2018-11-01  136.9
