Title:               All Employees: Trade, Transportation, and Utilities in Charlotte-Concord-Gastonia, NC-SC (MSA)
2002-09-01  195.2
2002-10-01  195.4
2002-11-01  199.0
2002-12-01  200.7
2003-01-01  191.8
2003-02-01  191.9
2003-03-01  192.3
2003-04-01  192.8
2003-05-01  193.1
2003-06-01  193.7
2003-07-01  192.2
2003-08-01  192.9
2003-09-01  193.3
2003-10-01  194.9
2003-11-01  198.2
2003-12-01  200.2
2004-01-01  193.8
2004-02-01  193.6
2004-03-01  194.1
2004-04-01  196.0
2004-05-01  197.8
2004-06-01  197.9
2004-07-01  197.4
2004-08-01  198.7
2004-09-01  198.3
2004-10-01  199.2
2004-11-01  202.0
2004-12-01  204.1
2005-01-01  198.1
2005-02-01  198.6
2005-03-01  199.9
2005-04-01  200.4
2005-05-01  200.7
2005-06-01  200.2
2005-07-01  200.2
2005-08-01  200.4
2005-09-01  199.3
2005-10-01  203.2
2005-11-01  206.1
2005-12-01  208.5
2006-01-01  202.2
2006-02-01  200.9
2006-03-01  202.5
2006-04-01  204.7
2006-05-01  206.1
2006-06-01  205.7
2006-07-01  206.2
2006-08-01  206.7
2006-09-01  206.3
2006-10-01  208.9
2006-11-01  213.8
2006-12-01  215.5
2007-01-01  209.8
2007-02-01  209.0
2007-03-01  211.4
2007-04-01  211.9
2007-05-01  213.3
2007-06-01  213.6
2007-07-01  214.0
2007-08-01  214.2
2007-09-01  214.4
2007-10-01  216.3
2007-11-01  220.5
2007-12-01  222.3
2008-01-01  214.7
2008-02-01  213.6
2008-03-01  215.0
2008-04-01  213.5
2008-05-01  213.8
2008-06-01  213.6
2008-07-01  211.9
2008-08-01  211.6
2008-09-01  210.4
2008-10-01  210.6
2008-11-01  211.9
2008-12-01  212.4
2009-01-01  205.2
2009-02-01  202.7
2009-03-01  202.2
2009-04-01  199.5
2009-05-01  200.5
2009-06-01  200.0
2009-07-01  198.9
2009-08-01  198.9
2009-09-01  197.8
2009-10-01  198.3
2009-11-01  200.2
2009-12-01  201.0
2010-01-01  194.5
2010-02-01  193.5
2010-03-01  195.2
2010-04-01  195.5
2010-05-01  196.9
2010-06-01  197.2
2010-07-01  197.3
2010-08-01  197.9
2010-09-01  197.1
2010-10-01  198.8
2010-11-01  202.2
2010-12-01  204.0
2011-01-01  197.3
2011-02-01  197.2
2011-03-01  198.7
2011-04-01  199.1
2011-05-01  199.7
2011-06-01  199.8
2011-07-01  200.9
2011-08-01  201.2
2011-09-01  200.6
2011-10-01  202.5
2011-11-01  206.3
2011-12-01  208.0
2012-01-01  202.6
2012-02-01  201.6
2012-03-01  203.2
2012-04-01  204.1
2012-05-01  205.5
2012-06-01  206.4
2012-07-01  206.8
2012-08-01  206.9
2012-09-01  206.9
2012-10-01  208.5
2012-11-01  213.4
2012-12-01  214.8
2013-01-01  207.3
2013-02-01  206.8
2013-03-01  208.0
2013-04-01  208.1
2013-05-01  209.5
2013-06-01  210.3
2013-07-01  211.2
2013-08-01  212.0
2013-09-01  211.6
2013-10-01  213.7
2013-11-01  219.0
2013-12-01  222.1
2014-01-01  214.8
2014-02-01  213.0
2014-03-01  215.3
2014-04-01  215.4
2014-05-01  216.9
2014-06-01  218.4
2014-07-01  217.9
2014-08-01  218.6
2014-09-01  218.9
2014-10-01  222.0
2014-11-01  227.6
2014-12-01  230.5
2015-01-01  222.0
2015-02-01  221.6
2015-03-01  222.8
2015-04-01  224.8
2015-05-01  226.4
2015-06-01  227.8
2015-07-01  227.6
2015-08-01  228.1
2015-09-01  227.5
2015-10-01  230.7
2015-11-01  236.0
2015-12-01  239.2
2016-01-01  231.4
2016-02-01  231.1
2016-03-01  231.7
2016-04-01  232.3
2016-05-01  233.6
2016-06-01  233.6
2016-07-01  235.4
2016-08-01  236.1
2016-09-01  236.0
2016-10-01  238.4
2016-11-01  244.4
2016-12-01  248.5
2017-01-01  238.5
2017-02-01  237.0
2017-03-01  237.7
2017-04-01  237.8
2017-05-01  239.3
2017-06-01  240.7
2017-07-01  240.8
2017-08-01  241.8
2017-09-01  240.6
2017-10-01  243.9
2017-11-01  247.1
2017-12-01  250.5
2018-01-01  240.3
2018-02-01  241.7
2018-03-01  244.5
2018-04-01  243.9
2018-05-01  246.1
2018-06-01  247.7
2018-07-01  248.8
2018-08-01  249.2
2018-09-01  246.9
2018-10-01  249.3
2018-11-01  255.0
