Title:               All Employees: Government in Charlotte-Concord-Gastonia, NC-SC (MSA)
2013-07-01  120.4
2013-08-01  137.4
2013-09-01  143.4
2013-10-01  151.7
2013-11-01  152.8
2013-12-01  152.4
2014-01-01  149.4
2014-02-01  149.9
2014-03-01  150.9
2014-04-01  152.2
2014-05-01  152.8
2014-06-01  140.7
2014-07-01  122.8
2014-08-01  138.7
2014-09-01  144.4
2014-10-01  152.5
2014-11-01  153.7
2014-12-01  153.2
2015-01-01  150.2
2015-02-01  151.4
2015-03-01  152.2
2015-04-01  152.7
2015-05-01  153.0
2015-06-01  145.1
2015-07-01  125.3
2015-08-01  140.5
2015-09-01  145.9
2015-10-01  153.2
2015-11-01  154.4
2015-12-01  154.8
2016-01-01  149.4
2016-02-01  150.8
2016-03-01  152.0
2016-04-01  152.0
2016-05-01  152.6
2016-06-01  146.5
2016-07-01  129.4
2016-08-01  141.8
2016-09-01  152.7
2016-10-01  154.4
2016-11-01  155.7
2016-12-01  155.2
2017-01-01  153.0
2017-02-01  154.4
2017-03-01  155.4
2017-04-01  156.1
2017-05-01  156.0
2017-06-01  150.0
2017-07-01  132.2
2017-08-01  144.6
2017-09-01  155.2
2017-10-01  162.9
2017-11-01  164.0
2017-12-01  163.3
2018-01-01  161.3
2018-02-01  162.7
2018-03-01  163.6
2018-04-01  164.4
2018-05-01  164.3
2018-06-01  157.8
2018-07-01  139.0
2018-08-01  152.4
2018-09-01  163.4
2018-10-01  165.8
2018-11-01  167.2
