Title:               All Employees: Total Private in Greensboro-High Point, NC (MSA)
2001-01-01  326.5
2001-02-01  327.4
2001-03-01  327.1
2001-04-01  327.8
2001-05-01  327.8
2001-06-01  328.2
2001-07-01  325.1
2001-08-01  324.6
2001-09-01  322.9
2001-10-01  321.0
2001-11-01  319.9
2001-12-01  319.5
2002-01-01  309.2
2002-02-01  310.0
2002-03-01  311.3
2002-04-01  315.7
2002-05-01  316.7
2002-06-01  318.3
2002-07-01  317.8
2002-08-01  319.0
2002-09-01  317.9
2002-10-01  318.6
2002-11-01  319.0
2002-12-01  319.0
2003-01-01  311.9
2003-02-01  311.9
2003-03-01  313.7
2003-04-01  313.2
2003-05-01  312.2
2003-06-01  313.0
2003-07-01  307.8
2003-08-01  308.6
2003-09-01  307.7
2003-10-01  308.6
2003-11-01  308.5
2003-12-01  307.9
2004-01-01  302.6
2004-02-01  303.5
2004-03-01  306.4
2004-04-01  312.0
2004-05-01  313.6
2004-06-01  315.1
2004-07-01  313.9
2004-08-01  314.7
2004-09-01  314.6
2004-10-01  315.2
2004-11-01  315.9
2004-12-01  316.8
2005-01-01  311.3
2005-02-01  313.4
2005-03-01  315.8
2005-04-01  317.8
2005-05-01  317.5
2005-06-01  318.7
2005-07-01  317.9
2005-08-01  318.8
2005-09-01  317.8
2005-10-01  317.5
2005-11-01  318.9
2005-12-01  319.3
2006-01-01  315.4
2006-02-01  316.4
2006-03-01  319.0
2006-04-01  322.3
2006-05-01  324.9
2006-06-01  324.5
2006-07-01  324.2
2006-08-01  325.5
2006-09-01  323.7
2006-10-01  326.2
2006-11-01  327.5
2006-12-01  328.5
2007-01-01  320.2
2007-02-01  321.2
2007-03-01  324.3
2007-04-01  324.8
2007-05-01  326.1
2007-06-01  327.0
2007-07-01  325.0
2007-08-01  326.5
2007-09-01  325.3
2007-10-01  326.7
2007-11-01  326.6
2007-12-01  327.4
2008-01-01  320.6
2008-02-01  320.7
2008-03-01  321.7
2008-04-01  320.0
2008-05-01  319.8
2008-06-01  319.6
2008-07-01  318.0
2008-08-01  319.9
2008-09-01  318.4
2008-10-01  318.2
2008-11-01  316.2
2008-12-01  311.7
2009-01-01  300.4
2009-02-01  298.9
2009-03-01  295.5
2009-04-01  294.2
2009-05-01  293.5
2009-06-01  292.9
2009-07-01  292.1
2009-08-01  292.7
2009-09-01  291.6
2009-10-01  291.9
2009-11-01  291.5
2009-12-01  290.9
2010-01-01  284.3
2010-02-01  284.4
2010-03-01  286.7
2010-04-01  287.6
2010-05-01  288.2
2010-06-01  290.2
2010-07-01  291.9
2010-08-01  292.9
2010-09-01  291.1
2010-10-01  294.1
2010-11-01  292.7
2010-12-01  293.0
2011-01-01  286.6
2011-02-01  289.0
2011-03-01  290.7
2011-04-01  293.7
2011-05-01  294.4
2011-06-01  295.5
2011-07-01  295.1
2011-08-01  296.1
2011-09-01  295.8
2011-10-01  295.9
2011-11-01  296.1
2011-12-01  295.7
2012-01-01  291.7
2012-02-01  293.5
2012-03-01  294.8
2012-04-01  296.0
2012-05-01  296.8
2012-06-01  297.1
2012-07-01  297.1
2012-08-01  298.1
2012-09-01  297.4
2012-10-01  299.0
2012-11-01  300.5
2012-12-01  301.4
2013-01-01  295.0
2013-02-01  296.8
2013-03-01  297.6
2013-04-01  299.9
2013-05-01  300.2
2013-06-01  301.0
2013-07-01  300.9
2013-08-01  303.0
2013-09-01  302.4
2013-10-01  303.9
2013-11-01  304.0
2013-12-01  304.4
2014-01-01  297.1
2014-02-01  297.0
2014-03-01  299.7
2014-04-01  302.8
2014-05-01  303.7
2014-06-01  303.4
2014-07-01  304.0
2014-08-01  305.4
2014-09-01  305.3
2014-10-01  308.1
2014-11-01  308.7
2014-12-01  309.3
2015-01-01  303.8
2015-02-01  305.3
2015-03-01  306.1
2015-04-01  310.1
2015-05-01  310.9
2015-06-01  311.1
2015-07-01  311.1
2015-08-01  313.2
2015-09-01  312.2
2015-10-01  314.8
2015-11-01  315.3
2015-12-01  315.3
2016-01-01  308.6
2016-02-01  309.9
2016-03-01  310.7
2016-04-01  313.9
2016-05-01  313.3
2016-06-01  313.5
2016-07-01  314.8
2016-08-01  315.4
2016-09-01  315.2
2016-10-01  316.5
2016-11-01  319.3
2016-12-01  318.5
2017-01-01  310.2
2017-02-01  312.5
2017-03-01  312.3
2017-04-01  314.5
2017-05-01  315.2
2017-06-01  316.8
2017-07-01  315.4
2017-08-01  316.0
2017-09-01  314.4
2017-10-01  315.8
2017-11-01  317.2
2017-12-01  317.2
2018-01-01  310.7
2018-02-01  314.0
2018-03-01  314.9
2018-04-01  317.1
2018-05-01  318.5
2018-06-01  321.3
2018-07-01  321.2
2018-08-01  320.9
2018-09-01  320.0
2018-10-01  323.0
