Title:               All Employees: Private Service Providing in Greensboro-High Point, NC (MSA)
2000-06-01  235.0
2000-07-01  233.4
2000-08-01  234.2
2000-09-01  234.1
2000-10-01  235.3
2000-11-01  235.9
2000-12-01  236.4
2001-01-01  229.8
2001-02-01  231.4
2001-03-01  231.4
2001-04-01  232.5
2001-05-01  233.0
2001-06-01  233.4
2001-07-01  231.6
2001-08-01  231.5
2001-09-01  230.4
2001-10-01  229.7
2001-11-01  229.3
2001-12-01  229.5
2002-01-01  220.3
2002-02-01  221.6
2002-03-01  222.6
2002-04-01  226.3
2002-05-01  227.0
2002-06-01  228.0
2002-07-01  227.3
2002-08-01  228.0
2002-09-01  227.2
2002-10-01  228.7
2002-11-01  229.9
2002-12-01  230.5
2003-01-01  223.6
2003-02-01  223.8
2003-03-01  225.8
2003-04-01  226.2
2003-05-01  225.4
2003-06-01  226.2
2003-07-01  223.3
2003-08-01  224.0
2003-09-01  223.3
2003-10-01  224.9
2003-11-01  225.0
2003-12-01  224.2
2004-01-01  220.2
2004-02-01  221.4
2004-03-01  223.7
2004-04-01  228.5
2004-05-01  229.6
2004-06-01  230.3
2004-07-01  229.6
2004-08-01  229.9
2004-09-01  229.5
2004-10-01  230.6
2004-11-01  231.1
2004-12-01  231.9
2005-01-01  226.6
2005-02-01  228.6
2005-03-01  230.9
2005-04-01  232.4
2005-05-01  232.0
2005-06-01  232.9
2005-07-01  233.0
2005-08-01  234.1
2005-09-01  233.6
2005-10-01  234.1
2005-11-01  235.6
2005-12-01  235.9
2006-01-01  233.3
2006-02-01  234.1
2006-03-01  236.4
2006-04-01  239.1
2006-05-01  241.6
2006-06-01  241.4
2006-07-01  241.8
2006-08-01  242.6
2006-09-01  241.2
2006-10-01  243.6
2006-11-01  245.0
2006-12-01  245.8
2007-01-01  238.5
2007-02-01  239.8
2007-03-01  242.5
2007-04-01  242.9
2007-05-01  244.5
2007-06-01  245.1
2007-07-01  243.8
2007-08-01  245.3
2007-09-01  244.5
2007-10-01  245.6
2007-11-01  245.7
2007-12-01  246.1
2008-01-01  240.8
2008-02-01  241.1
2008-03-01  242.1
2008-04-01  241.6
2008-05-01  241.3
2008-06-01  241.4
2008-07-01  240.4
2008-08-01  242.4
2008-09-01  241.2
2008-10-01  242.0
2008-11-01  240.7
2008-12-01  237.7
2009-01-01  229.8
2009-02-01  229.5
2009-03-01  227.8
2009-04-01  227.0
2009-05-01  227.3
2009-06-01  227.0
2009-07-01  226.7
2009-08-01  227.4
2009-09-01  226.5
2009-10-01  227.5
2009-11-01  227.5
2009-12-01  226.8
2010-01-01  221.9
2010-02-01  222.1
2010-03-01  223.9
2010-04-01  224.4
2010-05-01  225.0
2010-06-01  226.4
2010-07-01  227.9
2010-08-01  228.8
2010-09-01  227.2
2010-10-01  230.3
2010-11-01  229.3
2010-12-01  229.4
2011-01-01  224.0
2011-02-01  225.9
2011-03-01  227.2
2011-04-01  229.3
2011-05-01  229.7
2011-06-01  230.3
2011-07-01  229.8
2011-08-01  230.5
2011-09-01  230.5
2011-10-01  231.0
2011-11-01  231.5
2011-12-01  231.1
2012-01-01  227.1
2012-02-01  228.6
2012-03-01  229.9
2012-04-01  231.5
2012-05-01  232.1
2012-06-01  232.2
2012-07-01  232.2
2012-08-01  233.3
2012-09-01  232.3
2012-10-01  233.9
2012-11-01  235.3
2012-12-01  235.7
2013-01-01  230.3
2013-02-01  232.4
2013-03-01  232.8
2013-04-01  234.6
2013-05-01  234.7
2013-06-01  234.8
2013-07-01  234.7
2013-08-01  236.8
2013-09-01  236.0
2013-10-01  237.3
2013-11-01  237.6
2013-12-01  237.9
2014-01-01  231.5
2014-02-01  231.4
2014-03-01  233.6
2014-04-01  236.6
2014-05-01  237.2
2014-06-01  236.4
2014-07-01  237.2
2014-08-01  238.6
2014-09-01  238.3
2014-10-01  241.2
2014-11-01  241.7
2014-12-01  241.9
2015-01-01  237.1
2015-02-01  238.0
2015-03-01  238.4
2015-04-01  241.8
2015-05-01  242.5
2015-06-01  242.3
2015-07-01  242.0
2015-08-01  243.7
2015-09-01  242.9
2015-10-01  245.4
2015-11-01  246.2
2015-12-01  245.8
2016-01-01  239.7
2016-02-01  240.8
2016-03-01  241.3
2016-04-01  244.4
2016-05-01  243.7
2016-06-01  243.4
2016-07-01  243.9
2016-08-01  244.5
2016-09-01  244.3
2016-10-01  245.8
2016-11-01  248.5
2016-12-01  247.4
2017-01-01  240.4
2017-02-01  241.9
2017-03-01  241.5
2017-04-01  243.8
2017-05-01  244.5
2017-06-01  245.8
2017-07-01  244.6
2017-08-01  245.3
2017-09-01  244.0
2017-10-01  245.4
2017-11-01  246.5
2017-12-01  246.1
2018-01-01  240.4
2018-02-01  243.1
2018-03-01  243.6
2018-04-01  245.4
2018-05-01  246.3
2018-06-01  249.0
2018-07-01  248.6
2018-08-01  247.9
2018-09-01  247.1
2018-10-01  250.1
