Title:               Civilian Labor Force in Yancey County, NC
1996-09-01  6464
1996-10-01  6450
1996-11-01  6368
1996-12-01  6189
1997-01-01  6301
1997-02-01  6276
1997-03-01  6418
1997-04-01  6553
1997-05-01  6604
1997-06-01  6674
1997-07-01  6968
1997-08-01  6606
1997-09-01  6493
1997-10-01  6435
1997-11-01  6482
1997-12-01  6529
1998-01-01  6505
1998-02-01  6536
1998-03-01  6474
1998-04-01  6505
1998-05-01  6544
1998-06-01  6684
1998-07-01  6777
1998-08-01  6900
1998-09-01  6743
1998-10-01  6603
1998-11-01  6653
1998-12-01  6469
1999-01-01  6604
1999-02-01  6614
1999-03-01  6962
1999-04-01  6679
1999-05-01  6729
1999-06-01  6659
1999-07-01  7025
1999-08-01  7001
1999-09-01  6879
1999-10-01  6825
1999-11-01  6808
1999-12-01  6756
2000-01-01  8376
2000-02-01  8315
2000-03-01  8394
2000-04-01  8432
2000-05-01  8544
2000-06-01  8676
2000-07-01  8648
2000-08-01  8745
2000-09-01  8689
2000-10-01  8628
2000-11-01  8567
2000-12-01  8441
2001-01-01  8501
2001-02-01  8323
2001-03-01  8307
2001-04-01  8154
2001-05-01  8212
2001-06-01  8494
2001-07-01  8174
2001-08-01  8344
2001-09-01  8316
2001-10-01  8123
2001-11-01  8051
2001-12-01  7884
2002-01-01  7958
2002-02-01  8037
2002-03-01  7971
2002-04-01  7992
2002-05-01  8015
2002-06-01  7929
2002-07-01  8198
2002-08-01  8111
2002-09-01  8088
2002-10-01  7918
2002-11-01  7880
2002-12-01  7699
2003-01-01  7936
2003-02-01  7897
2003-03-01  7969
2003-04-01  8074
2003-05-01  8204
2003-06-01  8203
2003-07-01  8193
2003-08-01  8275
2003-09-01  8052
2003-10-01  8137
2003-11-01  8143
2003-12-01  7967
2004-01-01  7896
2004-02-01  7848
2004-03-01  7826
2004-04-01  7966
2004-05-01  7985
2004-06-01  7798
2004-07-01  7911
2004-08-01  7887
2004-09-01  7818
2004-10-01  7891
2004-11-01  7891
2004-12-01  7851
2005-01-01  7819
2005-02-01  7838
2005-03-01  7861
2005-04-01  7894
2005-05-01  7919
2005-06-01  7886
2005-07-01  8036
2005-08-01  8001
2005-09-01  7908
2005-10-01  7833
2005-11-01  7797
2005-12-01  7652
2006-01-01  7704
2006-02-01  7705
2006-03-01  7715
2006-04-01  7939
2006-05-01  8070
2006-06-01  8036
2006-07-01  8167
2006-08-01  8102
2006-09-01  8070
2006-10-01  7965
2006-11-01  7982
2006-12-01  7897
2007-01-01  8121
2007-02-01  8059
2007-03-01  8002
2007-04-01  8092
2007-05-01  8258
2007-06-01  8106
2007-07-01  8084
2007-08-01  8096
2007-09-01  8066
2007-10-01  8040
2007-11-01  8037
2007-12-01  7962
2008-01-01  7788
2008-02-01  7691
2008-03-01  7726
2008-04-01  7735
2008-05-01  7865
2008-06-01  7804
2008-07-01  7760
2008-08-01  7778
2008-09-01  7765
2008-10-01  7720
2008-11-01  7795
2008-12-01  7695
2009-01-01  7970
2009-02-01  7968
2009-03-01  7768
2009-04-01  8115
2009-05-01  8202
2009-06-01  8009
2009-07-01  7617
2009-08-01  7885
2009-09-01  7912
2009-10-01  7741
2009-11-01  7735
2009-12-01  7612
2010-01-01  7776
2010-02-01  7771
2010-03-01  7793
2010-04-01  7866
2010-05-01  8078
2010-06-01  7866
2010-07-01  7629
2010-08-01  7890
2010-09-01  7866
2010-10-01  7784
2010-11-01  7697
2010-12-01  7700
2011-01-01  7790
2011-02-01  7769
2011-03-01  7799
2011-04-01  7786
2011-05-01  8032
2011-06-01  7826
2011-07-01  7668
2011-08-01  7974
2011-09-01  8034
2011-10-01  8022
2011-11-01  7899
2011-12-01  7885
2012-01-01  7915
2012-02-01  7915
2012-03-01  7949
2012-04-01  8049
2012-05-01  8116
2012-06-01  7776
2012-07-01  7881
2012-08-01  8121
2012-09-01  8169
2012-10-01  8114
2012-11-01  7891
2012-12-01  7803
2013-01-01  7901
2013-02-01  7822
2013-03-01  7807
2013-04-01  7769
2013-05-01  7998
2013-06-01  7754
2013-07-01  7737
2013-08-01  7891
2013-09-01  7888
2013-10-01  7785
2013-11-01  7718
2013-12-01  7614
2014-01-01  7466
2014-02-01  7422
2014-03-01  7550
2014-04-01  7505
2014-05-01  7712
2014-06-01  7371
2014-07-01  7379
2014-08-01  7556
2014-09-01  7553
2014-10-01  7570
2014-11-01  7505
2014-12-01  7311
2015-01-01  7317
2015-02-01  7301
2015-03-01  7349
2015-04-01  7421
2015-05-01  7654
2015-06-01  7357
2015-07-01  7367
2015-08-01  7573
2015-09-01  7484
2015-10-01  7467
2015-11-01  7414
2015-12-01  7278
2016-01-01  7319
2016-02-01  7410
2016-03-01  7436
2016-04-01  7508
2016-05-01  7591
2016-06-01  7370
2016-07-01  7363
2016-08-01  7618
2016-09-01  7613
2016-10-01  7591
2016-11-01  7476
2016-12-01  7356
2017-01-01  7354
2017-02-01  7442
2017-03-01  7457
2017-04-01  7429
2017-05-01  7493
2017-06-01  7326
2017-07-01  7308
2017-08-01  7543
2017-09-01  7600
2017-10-01  7581
2017-11-01  7511
2017-12-01  7377
2018-01-01  7323
2018-02-01  7374
2018-03-01  7381
2018-04-01  7389
2018-05-01  7461
2018-06-01  7277
2018-07-01  7208
2018-08-01  8257
2018-09-01  8261
2018-10-01  8339
2018-11-01  8232
