Title:               Civilian Labor Force in Anson County, NC
2004-03-01  10979
2004-04-01  10798
2004-05-01  10824
2004-06-01  10939
2004-07-01  10923
2004-08-01  10842
2004-09-01  10673
2004-10-01  10893
2004-11-01  10912
2004-12-01  10808
2005-01-01  10335
2005-02-01  10383
2005-03-01  10457
2005-04-01  10479
2005-05-01  10525
2005-06-01  10552
2005-07-01  10705
2005-08-01  10598
2005-09-01  10613
2005-10-01  10762
2005-11-01  10712
2005-12-01  10621
2006-01-01  10232
2006-02-01  10358
2006-03-01  10427
2006-04-01  10552
2006-05-01  10748
2006-06-01  10729
2006-07-01  10817
2006-08-01  10869
2006-09-01  10847
2006-10-01  10860
2006-11-01  10841
2006-12-01  10755
2007-01-01  10142
2007-02-01  10240
2007-03-01  10279
2007-04-01  10275
2007-05-01  10308
2007-06-01  10303
2007-07-01  10309
2007-08-01  10281
2007-09-01  10306
2007-10-01  10412
2007-11-01  10388
2007-12-01  10376
2008-01-01  10106
2008-02-01  10109
2008-03-01  10122
2008-04-01  10110
2008-05-01  10182
2008-06-01  10150
2008-07-01  10225
2008-08-01  10315
2008-09-01  10258
2008-10-01  10344
2008-11-01  10506
2008-12-01  10590
2009-01-01  10166
2009-02-01  10131
2009-03-01  10136
2009-04-01  10000
2009-05-01  10109
2009-06-01  10091
2009-07-01  10084
2009-08-01  10160
2009-09-01  10071
2009-10-01  10166
2009-11-01  10068
2009-12-01   9972
2010-01-01  11134
2010-02-01  11128
2010-03-01  11101
2010-04-01  11209
2010-05-01  11274
2010-06-01  11239
2010-07-01  11130
2010-08-01  11175
2010-09-01  11205
2010-10-01  11266
2010-11-01  11240
2010-12-01  11056
2011-01-01  10957
2011-02-01  10984
2011-03-01  11063
2011-04-01  11145
2011-05-01  11139
2011-06-01  11200
2011-07-01  10980
2011-08-01  11103
2011-09-01  11147
2011-10-01  11198
2011-11-01  11172
2011-12-01  11094
2012-01-01  10823
2012-02-01  10958
2012-03-01  10927
2012-04-01  10958
2012-05-01  11123
2012-06-01  11072
2012-07-01  11109
2012-08-01  11038
2012-09-01  11108
2012-10-01  11281
2012-11-01  11168
2012-12-01  11126
2013-01-01  11026
2013-02-01  11007
2013-03-01  10950
2013-04-01  10886
2013-05-01  10982
2013-06-01  10916
2013-07-01  10883
2013-08-01  10720
2013-09-01  10815
2013-10-01  11008
2013-11-01  10949
2013-12-01  10888
2014-01-01  10842
2014-02-01  10781
2014-03-01  10873
2014-04-01  10904
2014-05-01  11012
2014-06-01  11042
2014-07-01  10882
2014-08-01  10743
2014-09-01  10837
2014-10-01  11110
2014-11-01  11095
2014-12-01  10938
2015-01-01  10861
2015-02-01  10917
2015-03-01  11004
2015-04-01  10837
2015-05-01  10901
2015-06-01  10909
2015-07-01  10704
2015-08-01  10591
2015-09-01  10726
2015-10-01  10856
2015-11-01  10894
2015-12-01  10743
2016-01-01  10724
2016-02-01  10821
2016-03-01  10935
2016-04-01  10842
2016-05-01  10765
2016-06-01  10726
2016-07-01  10507
2016-08-01  10370
2016-09-01  10448
2016-10-01  10604
2016-11-01  10557
2016-12-01  10485
2017-01-01  10552
2017-02-01  10677
2017-03-01  10800
2017-04-01  10636
2017-05-01  10614
2017-06-01  10448
2017-07-01  10477
2017-08-01  10468
2017-09-01  10595
2017-10-01  10493
2017-11-01  10403
2017-12-01  10375
2018-01-01  10371
2018-02-01  10669
2018-03-01  10673
2018-04-01  10583
2018-05-01  10590
2018-06-01  10544
2018-07-01  10429
2018-08-01  10196
2018-09-01  10235
2018-10-01  10399
2018-11-01  10336
