Title:               All Employees: Total Private in North Carolina
1998-09-01  3195.1
1998-10-01  3192.2
1998-11-01  3205.3
1998-12-01  3214.5
1999-01-01  3139.9
1999-02-01  3159.4
1999-03-01  3184.4
1999-04-01  3214.8
1999-05-01  3229.6
1999-06-01  3257.6
1999-07-01  3258.9
1999-08-01  3261.2
1999-09-01  3254.1
1999-10-01  3271.9
1999-11-01  3278.2
1999-12-01  3290.0
2000-01-01  3199.8
2000-02-01  3213.4
2000-03-01  3249.1
2000-04-01  3268.6
2000-05-01  3292.4
2000-06-01  3326.2
2000-07-01  3309.5
2000-08-01  3313.1
2000-09-01  3307.2
2000-10-01  3294.3
2000-11-01  3301.1
2000-12-01  3299.5
2001-01-01  3235.3
2001-02-01  3243.5
2001-03-01  3257.7
2001-04-01  3264.4
2001-05-01  3276.9
2001-06-01  3294.6
2001-07-01  3258.3
2001-08-01  3260.9
2001-09-01  3235.9
2001-10-01  3216.2
2001-11-01  3204.9
2001-12-01  3198.7
2002-01-01  3125.5
2002-02-01  3134.6
2002-03-01  3158.9
2002-04-01  3185.8
2002-05-01  3206.8
2002-06-01  3223.0
2002-07-01  3203.8
2002-08-01  3216.3
2002-09-01  3199.4
2002-10-01  3187.7
2002-11-01  3185.9
2002-12-01  3183.4
2003-01-01  3097.3
2003-02-01  3094.5
2003-03-01  3112.9
2003-04-01  3134.5
2003-05-01  3158.4
2003-06-01  3173.4
2003-07-01  3135.3
2003-08-01  3150.9
2003-09-01  3140.2
2003-10-01  3140.0
2003-11-01  3142.3
2003-12-01  3148.5
2004-01-01  3075.3
2004-02-01  3080.6
2004-03-01  3112.4
2004-04-01  3146.9
2004-05-01  3176.7
2004-06-01  3201.6
2004-07-01  3205.9
2004-08-01  3216.2
2004-09-01  3204.5
2004-10-01  3204.5
2004-11-01  3211.8
2004-12-01  3222.2
2005-01-01  3152.9
2005-02-01  3162.7
2005-03-01  3189.1
2005-04-01  3216.4
2005-05-01  3233.9
2005-06-01  3255.0
2005-07-01  3261.3
2005-08-01  3274.4
2005-09-01  3270.7
2005-10-01  3272.8
2005-11-01  3284.3
2005-12-01  3288.7
2006-01-01  3230.7
2006-02-01  3239.3
2006-03-01  3270.3
2006-04-01  3313.9
2006-05-01  3342.4
2006-06-01  3368.7
2006-07-01  3382.8
2006-08-01  3395.4
2006-09-01  3385.1
2006-10-01  3398.9
2006-11-01  3415.0
2006-12-01  3422.3
2007-01-01  3346.6
2007-02-01  3362.3
2007-03-01  3397.2
2007-04-01  3406.8
2007-05-01  3440.3
2007-06-01  3471.7
2007-07-01  3458.4
2007-08-01  3472.3
2007-09-01  3460.3
2007-10-01  3462.9
2007-11-01  3473.4
2007-12-01  3477.9
2008-01-01  3391.6
2008-02-01  3403.6
2008-03-01  3419.3
2008-04-01  3418.7
2008-05-01  3439.8
2008-06-01  3449.1
2008-07-01  3435.8
2008-08-01  3438.3
2008-09-01  3412.6
2008-10-01  3387.1
2008-11-01  3363.2
2008-12-01  3342.3
2009-01-01  3212.9
2009-02-01  3197.5
2009-03-01  3185.5
2009-04-01  3174.3
2009-05-01  3190.0
2009-06-01  3194.1
2009-07-01  3182.0
2009-08-01  3180.2
2009-09-01  3163.5
2009-10-01  3155.0
2009-11-01  3155.3
2009-12-01  3147.0
2010-01-01  3066.8
2010-02-01  3066.4
2010-03-01  3095.9
2010-04-01  3123.8
2010-05-01  3146.4
2010-06-01  3166.7
2010-07-01  3178.6
2010-08-01  3185.6
2010-09-01  3170.6
2010-10-01  3186.4
2010-11-01  3191.2
2010-12-01  3184.6
2011-01-01  3101.4
2011-02-01  3130.0
2011-03-01  3155.5
2011-04-01  3185.8
2011-05-01  3205.8
2011-06-01  3227.0
2011-07-01  3230.9
2011-08-01  3241.5
2011-09-01  3231.7
2011-10-01  3232.2
2011-11-01  3240.9
2011-12-01  3241.3
2012-01-01  3178.9
2012-02-01  3195.2
2012-03-01  3225.3
2012-04-01  3250.1
2012-05-01  3279.2
2012-06-01  3298.2
2012-07-01  3298.7
2012-08-01  3309.0
2012-09-01  3298.4
2012-10-01  3303.4
2012-11-01  3316.3
2012-12-01  3318.1
2013-01-01  3239.2
2013-02-01  3259.9
2013-03-01  3285.7
2013-04-01  3313.0
2013-05-01  3340.1
2013-06-01  3364.7
2013-07-01  3367.6
2013-08-01  3380.8
2013-09-01  3370.6
2013-10-01  3378.2
2013-11-01  3392.4
2013-12-01  3394.8
2014-01-01  3316.9
2014-02-01  3312.3
2014-03-01  3356.9
2014-04-01  3395.2
2014-05-01  3429.0
2014-06-01  3452.1
2014-07-01  3457.2
2014-08-01  3469.6
2014-09-01  3455.3
2014-10-01  3473.3
2014-11-01  3483.6
2014-12-01  3493.8
2015-01-01  3413.3
2015-02-01  3430.8
2015-03-01  3447.5
2015-04-01  3483.3
2015-05-01  3522.3
2015-06-01  3546.1
2015-07-01  3553.6
2015-08-01  3560.0
2015-09-01  3549.6
2015-10-01  3570.8
2015-11-01  3582.0
2015-12-01  3588.7
2016-01-01  3513.5
2016-02-01  3528.6
2016-03-01  3553.7
2016-04-01  3597.5
2016-05-01  3620.4
2016-06-01  3638.3
2016-07-01  3647.1
2016-08-01  3652.9
2016-09-01  3639.8
2016-10-01  3643.7
2016-11-01  3663.7
2016-12-01  3663.0
2017-01-01  3586.3
2017-02-01  3612.8
2017-03-01  3630.5
2017-04-01  3654.9
2017-05-01  3687.0
2017-06-01  3715.9
2017-07-01  3713.9
2017-08-01  3719.9
2017-09-01  3692.0
2017-10-01  3713.2
2017-11-01  3724.4
2017-12-01  3733.0
2018-01-01  3655.5
2018-02-01  3678.8
2018-03-01  3706.0
2018-04-01  3727.8
2018-05-01  3779.3
2018-06-01  3813.4
2018-07-01  3818.6
2018-08-01  3817.0
2018-09-01  3772.3
2018-10-01  3815.9
