Title:               All Employees: Local Government in North Carolina
2003-08-01  373.8
2003-09-01  402.6
2003-10-01  424.7
2003-11-01  415.8
2003-12-01  413.7
2004-01-01  410.2
2004-02-01  410.8
2004-03-01  413.3
2004-04-01  410.7
2004-05-01  412.1
2004-06-01  384.0
2004-07-01  336.5
2004-08-01  383.1
2004-09-01  417.1
2004-10-01  421.6
2004-11-01  421.8
2004-12-01  420.1
2005-01-01  416.4
2005-02-01  418.9
2005-03-01  421.3
2005-04-01  422.1
2005-05-01  423.2
2005-06-01  390.6
2005-07-01  333.1
2005-08-01  388.2
2005-09-01  421.2
2005-10-01  428.7
2005-11-01  430.6
2005-12-01  428.3
2006-01-01  427.4
2006-02-01  429.6
2006-03-01  432.1
2006-04-01  433.4
2006-05-01  435.8
2006-06-01  408.6
2006-07-01  343.6
2006-08-01  399.6
2006-09-01  429.1
2006-10-01  437.2
2006-11-01  445.3
2006-12-01  444.3
2007-01-01  438.7
2007-02-01  441.0
2007-03-01  443.8
2007-04-01  442.8
2007-05-01  445.9
2007-06-01  420.5
2007-07-01  352.2
2007-08-01  413.5
2007-09-01  444.4
2007-10-01  446.2
2007-11-01  451.6
2007-12-01  451.5
2008-01-01  449.0
2008-02-01  452.0
2008-03-01  454.1
2008-04-01  455.3
2008-05-01  459.1
2008-06-01  436.2
2008-07-01  363.8
2008-08-01  424.1
2008-09-01  461.8
2008-10-01  461.6
2008-11-01  464.4
2008-12-01  463.0
2009-01-01  459.4
2009-02-01  460.5
2009-03-01  463.8
2009-04-01  462.0
2009-05-01  463.2
2009-06-01  438.8
2009-07-01  365.6
2009-08-01  426.2
2009-09-01  457.4
2009-10-01  454.5
2009-11-01  456.5
2009-12-01  454.8
2010-01-01  451.6
2010-02-01  453.3
2010-03-01  456.6
2010-04-01  456.8
2010-05-01  460.8
2010-06-01  433.6
2010-07-01  351.9
2010-08-01  413.4
2010-09-01  438.7
2010-10-01  451.7
2010-11-01  455.3
2010-12-01  452.1
2011-01-01  446.2
2011-02-01  449.2
2011-03-01  451.5
2011-04-01  451.8
2011-05-01  453.2
2011-06-01  428.0
2011-07-01  353.2
2011-08-01  411.7
2011-09-01  432.7
2011-10-01  444.5
2011-11-01  450.0
2011-12-01  447.3
2012-01-01  444.3
2012-02-01  447.5
2012-03-01  449.3
2012-04-01  449.4
2012-05-01  455.3
2012-06-01  417.9
2012-07-01  346.1
2012-08-01  412.7
2012-09-01  438.1
2012-10-01  453.0
2012-11-01  457.7
2012-12-01  454.1
2013-01-01  450.6
2013-02-01  452.5
2013-03-01  454.5
2013-04-01  452.8
2013-05-01  455.7
2013-06-01  418.8
2013-07-01  349.0
2013-08-01  412.0
2013-09-01  437.9
2013-10-01  454.7
2013-11-01  456.2
2013-12-01  455.0
2014-01-01  450.9
2014-02-01  450.9
2014-03-01  452.3
2014-04-01  455.6
2014-05-01  460.3
2014-06-01  428.4
2014-07-01  354.0
2014-08-01  411.4
2014-09-01  436.6
2014-10-01  452.3
2014-11-01  456.6
2014-12-01  452.5
2015-01-01  453.6
2015-02-01  455.4
2015-03-01  456.0
2015-04-01  457.6
2015-05-01  460.4
2015-06-01  435.1
2015-07-01  360.6
2015-08-01  418.1
2015-09-01  443.3
2015-10-01  457.8
2015-11-01  460.4
2015-12-01  460.3
2016-01-01  454.3
2016-02-01  457.1
2016-03-01  462.4
2016-04-01  459.4
2016-05-01  462.5
2016-06-01  442.7
2016-07-01  370.9
2016-08-01  422.6
2016-09-01  451.2
2016-10-01  461.7
2016-11-01  467.0
2016-12-01  462.4
2017-01-01  458.4
2017-02-01  461.8
2017-03-01  463.9
2017-04-01  464.1
2017-05-01  465.9
2017-06-01  443.7
2017-07-01  374.6
2017-08-01  426.4
2017-09-01  455.5
2017-10-01  465.6
2017-11-01  468.7
2017-12-01  465.8
2018-01-01  464.1
2018-02-01  467.6
2018-03-01  469.7
2018-04-01  469.8
2018-05-01  471.2
2018-06-01  447.8
2018-07-01  378.7
2018-08-01  431.5
2018-09-01  459.8
2018-10-01  468.8
