Title:               All Employees: Local Government Educational Services in North Carolina
2000-09-01  199.2
2000-10-01  200.9
2000-11-01  201.3
2000-12-01  200.9
2001-01-01  200.4
2001-02-01  202.3
2001-03-01  202.9
2001-04-01  203.8
2001-05-01  203.9
2001-06-01  178.1
2001-07-01  138.4
2001-08-01  174.8
2001-09-01  199.1
2001-10-01  209.1
2001-11-01  211.2
2001-12-01  205.7
2002-01-01  203.6
2002-02-01  206.2
2002-03-01  207.4
2002-04-01  206.2
2002-05-01  207.0
2002-06-01  176.8
2002-07-01  140.7
2002-08-01  177.3
2002-09-01  199.9
2002-10-01  215.6
2002-11-01  211.3
2002-12-01  207.8
2003-01-01  206.4
2003-02-01  208.3
2003-03-01  210.1
2003-04-01  210.6
2003-05-01  211.0
2003-06-01  181.8
2003-07-01  136.6
2003-08-01  176.4
2003-09-01  204.4
2003-10-01  224.5
2003-11-01  215.1
2003-12-01  212.9
2004-01-01  211.0
2004-02-01  211.7
2004-03-01  213.7
2004-04-01  210.3
2004-05-01  210.4
2004-06-01  179.7
2004-07-01  136.2
2004-08-01  183.9
2004-09-01  217.7
2004-10-01  218.0
2004-11-01  217.4
2004-12-01  216.6
2005-01-01  215.5
2005-02-01  217.2
2005-03-01  219.0
2005-04-01  218.9
2005-05-01  219.4
2005-06-01  183.8
2005-07-01  131.2
2005-08-01  187.4
2005-09-01  221.0
2005-10-01  223.1
2005-11-01  225.1
2005-12-01  223.1
2006-01-01  222.1
2006-02-01  223.9
2006-03-01  226.2
2006-04-01  226.3
2006-05-01  227.2
2006-06-01  196.8
2006-07-01  133.5
2006-08-01  190.0
2006-09-01  220.3
2006-10-01  227.1
2006-11-01  234.1
2006-12-01  233.3
2007-01-01  229.2
2007-02-01  230.9
2007-03-01  232.8
2007-04-01  231.3
2007-05-01  232.6
2007-06-01  204.6
2007-07-01  137.5
2007-08-01  198.6
2007-09-01  229.5
2007-10-01  229.7
2007-11-01  234.7
2007-12-01  234.6
2008-01-01  233.5
2008-02-01  235.5
2008-03-01  237.1
2008-04-01  236.2
2008-05-01  237.9
2008-06-01  213.1
2008-07-01  140.7
2008-08-01  201.3
2008-09-01  238.9
2008-10-01  237.2
2008-11-01  237.8
2008-12-01  238.6
2009-01-01  236.9
2009-02-01  237.9
2009-03-01  241.3
2009-04-01  239.6
2009-05-01  239.6
2009-06-01  213.2
2009-07-01  140.4
2009-08-01  201.0
2009-09-01  232.0
2009-10-01  229.6
2009-11-01  231.6
2009-12-01  231.4
2010-01-01  231.9
2010-02-01  233.1
2010-03-01  235.9
2010-04-01  235.3
2010-05-01  236.1
2010-06-01  208.4
2010-07-01  129.2
2010-08-01  190.5
2010-09-01  217.6
2010-10-01  228.3
2010-11-01  230.5
2010-12-01  229.7
2011-01-01  226.8
2011-02-01  228.7
2011-03-01  230.7
2011-04-01  230.5
2011-05-01  230.8
2011-06-01  203.6
2011-07-01  131.6
2011-08-01  188.2
2011-09-01  210.8
2011-10-01  220.1
2011-11-01  224.8
2011-12-01  223.8
2012-01-01  223.1
2012-02-01  225.6
2012-03-01  227.0
2012-04-01  226.2
2012-05-01  227.8
2012-06-01  191.7
2012-07-01  119.6
2012-08-01  186.5
2012-09-01  213.0
2012-10-01  224.2
2012-11-01  226.1
2012-12-01  226.4
2013-01-01  225.1
2013-02-01  226.1
2013-03-01  227.8
2013-04-01  226.2
2013-05-01  227.7
2013-06-01  189.1
2013-07-01  120.1
2013-08-01  182.7
2013-09-01  210.0
2013-10-01  224.3
2013-11-01  226.7
2013-12-01  226.3
2014-01-01  224.6
2014-02-01  224.4
2014-03-01  227.0
2014-04-01  228.8
2014-05-01  229.7
2014-06-01  198.3
2014-07-01  124.5
2014-08-01  182.6
2014-09-01  210.1
2014-10-01  222.5
2014-11-01  224.6
2014-12-01  223.8
2015-01-01  221.7
2015-02-01  223.4
2015-03-01  223.0
2015-04-01  224.2
2015-05-01  225.4
2015-06-01  197.7
2015-07-01  124.5
2015-08-01  180.3
2015-09-01  207.3
2015-10-01  218.7
2015-11-01  221.3
2015-12-01  221.7
2016-01-01  217.0
2016-02-01  218.6
2016-03-01  220.2
2016-04-01  219.7
2016-05-01  221.2
2016-06-01  196.1
2016-07-01  127.1
2016-08-01  177.6
2016-09-01  207.8
2016-10-01  216.1
2016-11-01  217.5
2016-12-01  218.0
2017-01-01  216.6
2017-02-01  218.7
2017-03-01  220.2
2017-04-01  220.4
2017-05-01  220.3
2017-06-01  194.4
2017-07-01  127.1
2017-08-01  177.7
2017-09-01  208.3
2017-10-01  215.6
2017-11-01  216.5
2017-12-01  216.9
2018-01-01  217.4
2018-02-01  219.9
2018-03-01  220.7
2018-04-01  221.2
2018-05-01  220.5
2018-06-01  193.7
2018-07-01  126.5
2018-08-01  178.2
2018-09-01  208.2
2018-10-01  214.4
