Title:               All Employees: Accommodation and Food Services in North Carolina
2007-07-01  350.0
2007-08-01  352.5
2007-09-01  348.7
2007-10-01  346.1
2007-11-01  345.4
2007-12-01  343.6
2008-01-01  332.9
2008-02-01  335.9
2008-03-01  342.5
2008-04-01  347.1
2008-05-01  353.2
2008-06-01  354.0
2008-07-01  354.4
2008-08-01  356.6
2008-09-01  352.4
2008-10-01  345.8
2008-11-01  341.3
2008-12-01  339.2
2009-01-01  325.2
2009-02-01  326.5
2009-03-01  331.4
2009-04-01  337.0
2009-05-01  344.5
2009-06-01  345.2
2009-07-01  343.8
2009-08-01  344.5
2009-09-01  340.9
2009-10-01  335.3
2009-11-01  332.3
2009-12-01  329.0
2010-01-01  317.2
2010-02-01  318.0
2010-03-01  325.3
2010-04-01  334.1
2010-05-01  341.1
2010-06-01  344.3
2010-07-01  345.5
2010-08-01  347.8
2010-09-01  345.0
2010-10-01  342.4
2010-11-01  339.8
2010-12-01  334.6
2011-01-01  322.7
2011-02-01  326.3
2011-03-01  334.6
2011-04-01  343.3
2011-05-01  351.1
2011-06-01  354.0
2011-07-01  351.8
2011-08-01  354.6
2011-09-01  350.6
2011-10-01  347.0
2011-11-01  346.0
2011-12-01  342.9
2012-01-01  334.0
2012-02-01  337.8
2012-03-01  347.0
2012-04-01  356.2
2012-05-01  363.2
2012-06-01  365.9
2012-07-01  367.0
2012-08-01  370.5
2012-09-01  365.6
2012-10-01  361.8
2012-11-01  359.9
2012-12-01  358.0
2013-01-01  348.4
2013-02-01  349.8
2013-03-01  357.5
2013-04-01  369.4
2013-05-01  376.9
2013-06-01  380.4
2013-07-01  381.7
2013-08-01  383.8
2013-09-01  378.2
2013-10-01  375.5
2013-11-01  374.5
2013-12-01  373.8
2014-01-01  361.7
2014-02-01  359.4
2014-03-01  370.1
2014-04-01  381.9
2014-05-01  391.6
2014-06-01  393.0
2014-07-01  392.1
2014-08-01  394.4
2014-09-01  389.2
2014-10-01  387.0
2014-11-01  385.1
2014-12-01  383.8
2015-01-01  374.6
2015-02-01  376.1
2015-03-01  382.3
2015-04-01  393.0
2015-05-01  403.1
2015-06-01  406.9
2015-07-01  406.8
2015-08-01  407.6
2015-09-01  402.8
2015-10-01  402.1
2015-11-01  400.0
2015-12-01  399.5
2016-01-01  389.7
2016-02-01  392.0
2016-03-01  400.3
2016-04-01  413.9
2016-05-01  421.7
2016-06-01  423.2
2016-07-01  421.0
2016-08-01  422.1
2016-09-01  418.3
2016-10-01  414.8
2016-11-01  414.6
2016-12-01  412.0
2017-01-01  400.1
2017-02-01  406.0
2017-03-01  413.6
2017-04-01  422.6
2017-05-01  432.7
2017-06-01  435.0
2017-07-01  432.9
2017-08-01  435.1
2017-09-01  427.7
2017-10-01  424.9
2017-11-01  419.6
2017-12-01  420.0
2018-01-01  408.6
2018-02-01  410.3
2018-03-01  417.4
2018-04-01  424.5
2018-05-01  434.0
2018-06-01  444.7
2018-07-01  443.7
2018-08-01  442.6
2018-09-01  424.1
2018-10-01  431.2
