Title:               Initial Claims in North Carolina
2005-09-10  10221
2005-09-17  11077
2005-09-24   9148
2005-10-01   8838
2005-10-08   9872
2005-10-15  11792
2005-10-22  14124
2005-10-29  10832
2005-11-05  10740
2005-11-12   9586
2005-11-19  10621
2005-11-26   7969
2005-12-03  29754
2005-12-10  13668
2005-12-17  14290
2005-12-24  10942
2005-12-31  17668
2006-01-07  31650
2006-01-14  20176
2006-01-21  11159
2006-01-28  11320
2006-02-04  11819
2006-02-11  11638
2006-02-18  10619
2006-02-25  10000
2006-03-04  11568
2006-03-11  10374
2006-03-18  10707
2006-03-25   8864
2006-04-01  10585
2006-04-08   9279
2006-04-15   8472
2006-04-22  10434
2006-04-29   9978
2006-05-06   9440
2006-05-13  11050
2006-05-20  10680
2006-05-27  10693
2006-06-03   8672
2006-06-10  12433
2006-06-17   9081
2006-06-24  15576
2006-07-01   8379
2006-07-08  12356
2006-07-15  19758
2006-07-22  12737
2006-07-29   8575
2006-08-05  10628
2006-08-12  10928
2006-08-19   8723
2006-08-26   9918
2006-09-02  10044
2006-09-09  10312
2006-09-16  13250
2006-09-23   9751
2006-09-30   9077
2006-10-07  10059
2006-10-14   9616
2006-10-21  10555
2006-10-28  11524
2006-11-04  11216
2006-11-11  11271
2006-11-18  12414
2006-11-25   8677
2006-12-02  25186
2006-12-09  10961
2006-12-16  11693
2006-12-23  10473
2006-12-30  15210
2007-01-06  29704
2007-01-13  19632
2007-01-20  12731
2007-01-27  11846
2007-02-03  12312
2007-02-10  14830
2007-02-17  10957
2007-02-24  11901
2007-03-03   9855
2007-03-10  12497
2007-03-17   9912
2007-03-24   9348
2007-03-31   9183
2007-04-07  10949
2007-04-14  11115
2007-04-21  13790
2007-04-28   9742
2007-05-05  10217
2007-05-12   9869
2007-05-19  13727
2007-05-26  10250
2007-06-02   9644
2007-06-09  10436
2007-06-16  11085
2007-06-23   8882
2007-06-30  10052
2007-07-07   9818
2007-07-14  22660
2007-07-21  11717
2007-07-28   8745
2007-08-04   8685
2007-08-11  10418
2007-08-18  11288
2007-08-25   9163
2007-09-01  10014
2007-09-08   9594
2007-09-15  10805
2007-09-22   8815
2007-09-29  10530
2007-10-06  10094
2007-10-13  11662
2007-10-20  10696
2007-10-27  10802
2007-11-03  14489
2007-11-10  13619
2007-11-17  12403
2007-11-24   8261
2007-12-01  22479
2007-12-08  13441
2007-12-15  11923
2007-12-22  11084
2007-12-29  12795
2008-01-05  34125
2008-01-12  29214
2008-01-19  13813
2008-01-26  14528
2008-02-02  15128
2008-02-09  13382
2008-02-16  14583
2008-02-23  12754
2008-03-01  13544
2008-03-08  12948
2008-03-15  15534
2008-03-22   9950
2008-03-29  12378
2008-04-05  14289
2008-04-12  16704
2008-04-19  12000
2008-04-26  12210
2008-05-03  12083
2008-05-10  15427
2008-05-17  12817
2008-05-24  11789
2008-05-31  11282
2008-06-07  13945
2008-06-14  13413
2008-06-21  12004
2008-06-28  12058
2008-07-05  11367
2008-07-12  20711
2008-07-19  19094
2008-07-26  14679
2008-08-02  12381
2008-08-09  13496
2008-08-16  13842
2008-08-23  12291
2008-08-30  14679
2008-09-06  15913
2008-09-13  15434
2008-09-20  12817
2008-09-27  13283
2008-10-04  14216
2008-10-11  16250
2008-10-18  14688
2008-10-25  17867
2008-11-01  17722
2008-11-08  24175
2008-11-15  19663
2008-11-22  20233
2008-11-29  17677
2008-12-06  44273
2008-12-13  23747
2008-12-20  23142
2008-12-27  21261
2009-01-03  41010
2009-01-10  56647
2009-01-17  31131
2009-01-24  22878
2009-01-31  31541
2009-02-07  31869
2009-02-14  28843
2009-02-21  26883
2009-02-28  29523
2009-03-07  31595
2009-03-14  29344
2009-03-21  28151
2009-03-28  26954
2009-04-04  29122
2009-04-11  22694
2009-04-18  25677
2009-04-25  28226
2009-05-02  19238
2009-05-09  23021
2009-05-16  25714
2009-05-23  21762
2009-05-30  20802
2009-06-06  25141
2009-06-13  20427
2009-06-20  20972
2009-06-27  23163
2009-07-04  19180
2009-07-11  29562
2009-07-18  27068
2009-07-25  17259
2009-08-01  17298
2009-08-08  19767
2009-08-15  18033
2009-08-22  17503
2009-08-29  16874
2009-09-05  18206
2009-09-12  16273
2009-09-19  18046
2009-09-26  16437
2009-10-03  16383
2009-10-10  17292
2009-10-17  15852
2009-10-24  19042
2009-10-31  17170
2009-11-07  18795
2009-11-14  17184
2009-11-21  22741
2009-11-28  13868
2009-12-05  32368
2009-12-12  17994
2009-12-19  16223
2009-12-26  13230
2010-01-02  34172
2010-01-09  43328
2010-01-16  26063
2010-01-23  16517
2010-01-30  19385
2010-02-06  17977
2010-02-13  23874
2010-02-20  15893
2010-02-27  15851
2010-03-06  20951
2010-03-13  17568
2010-03-20  14835
2010-03-27  14162
2010-04-03  12323
2010-04-10  14745
2010-04-17  14716
2010-04-24  12066
2010-05-01  12140
2010-05-08  12698
2010-05-15  13476
2010-05-22  12900
2010-05-29  13284
2010-06-05  11765
2010-06-12  13949
2010-06-19  12615
2010-06-26  12069
2010-07-03  12053
2010-07-10  13608
2010-07-17  18120
2010-07-24  11721
2010-07-31  11838
2010-08-07  13733
2010-08-14  12873
2010-08-21  12352
2010-08-28  11803
2010-09-04  11971
2010-09-11  11800
2010-09-18  13161
2010-09-25  11083
2010-10-02  11217
2010-10-09  19687
2010-10-16  13080
2010-10-23  12317
2010-10-30  12972
2010-11-06  16249
2010-11-13  13564
2010-11-20  14340
2010-11-27  10169
2010-12-04  25445
2010-12-11  15494
2010-12-18  15511
2010-12-25  18503
2011-01-01  18050
2011-01-08  34923
2011-01-15  18791
2011-01-22  24839
2011-01-29  13298
2011-02-05  14520
2011-02-12  13750
2011-02-19  12915
2011-02-26  11877
2011-03-05  12507
2011-03-12  13437
2011-03-19  14411
2011-03-26  11274
2011-04-02  11102
2011-04-09  17143
2011-04-16  11272
2011-04-23   9610
2011-04-30  12359
2011-05-07  13551
2011-05-14  11721
2011-05-21  12342
2011-05-28  11799
2011-06-04  10683
2011-06-11  11873
2011-06-18  12340
2011-06-25  11024
2011-07-02  12256
2011-07-09  13156
2011-07-16  18911
2011-07-23  11400
2011-07-30   9992
2011-08-06  11168
2011-08-13  10893
2011-08-20  11072
2011-08-27   9481
2011-09-03  10931
2011-09-10  12630
2011-09-17  12233
2011-09-24  10348
2011-10-01  13702
2011-10-08  12846
2011-10-15  12185
2011-10-22  13206
2011-10-29  11547
2011-11-05  12637
2011-11-12  11352
2011-11-19  12862
2011-11-26   9377
2011-12-03  24804
2011-12-10  13553
2011-12-17  12209
2011-12-24  13249
2011-12-31  20098
2012-01-07  27963
2012-01-14  18447
2012-01-21  13572
2012-01-28  12351
2012-02-04  13562
2012-02-11  11363
2012-02-18  11648
2012-02-25  11436
2012-03-03  11749
2012-03-10  12220
2012-03-17  11551
2012-03-24   9895
2012-03-31   9817
2012-04-07  10189
2012-04-14  12112
2012-04-21  11074
2012-04-28   9504
2012-05-05   9979
2012-05-12  11935
2012-05-19  12102
2012-05-26  11731
2012-06-02   9048
2012-06-09  12196
2012-06-16  11164
2012-06-23  10791
2012-06-30  10168
2012-07-07  11890
2012-07-14  23838
2012-07-21  11390
