Title:               Civilian Labor Force in Iredell County, NC
2004-09-01  70564
2004-10-01  71622
2004-11-01  71881
2004-12-01  71427
2005-01-01  71048
2005-02-01  71339
2005-03-01  71540
2005-04-01  72196
2005-05-01  72263
2005-06-01  72730
2005-07-01  73305
2005-08-01  72669
2005-09-01  72442
2005-10-01  73327
2005-11-01  73155
2005-12-01  72694
2006-01-01  74143
2006-02-01  74815
2006-03-01  75001
2006-04-01  75340
2006-05-01  76005
2006-06-01  76576
2006-07-01  78257
2006-08-01  77779
2006-09-01  77513
2006-10-01  78074
2006-11-01  78303
2006-12-01  78082
2007-01-01  78791
2007-02-01  78922
2007-03-01  79177
2007-04-01  79811
2007-05-01  80265
2007-06-01  80027
2007-07-01  81090
2007-08-01  79578
2007-09-01  79832
2007-10-01  80173
2007-11-01  80623
2007-12-01  79992
2008-01-01  77877
2008-02-01  77346
2008-03-01  77830
2008-04-01  78119
2008-05-01  78651
2008-06-01  79270
2008-07-01  80649
2008-08-01  78754
2008-09-01  78880
2008-10-01  79167
2008-11-01  79808
2008-12-01  79844
2009-01-01  79125
2009-02-01  79383
2009-03-01  79200
2009-04-01  79075
2009-05-01  79242
2009-06-01  79668
2009-07-01  79934
2009-08-01  78342
2009-09-01  78020
2009-10-01  78598
2009-11-01  78517
2009-12-01  77835
2010-01-01  78069
2010-02-01  78547
2010-03-01  79024
2010-04-01  79563
2010-05-01  79549
2010-06-01  78628
2010-07-01  78483
2010-08-01  78484
2010-09-01  78075
2010-10-01  78438
2010-11-01  78779
2010-12-01  78418
2011-01-01  77724
2011-02-01  77948
2011-03-01  78315
2011-04-01  78307
2011-05-01  78659
2011-06-01  78473
2011-07-01  78379
2011-08-01  78644
2011-09-01  78853
2011-10-01  79027
2011-11-01  79157
2011-12-01  78893
2012-01-01  78205
2012-02-01  78703
2012-03-01  78945
2012-04-01  78435
2012-05-01  79475
2012-06-01  79113
2012-07-01  79362
2012-08-01  78840
2012-09-01  79443
2012-10-01  80729
2012-11-01  79973
2012-12-01  79886
2013-01-01  79473
2013-02-01  79426
2013-03-01  79342
2013-04-01  79210
2013-05-01  79824
2013-06-01  79560
2013-07-01  79736
2013-08-01  78937
2013-09-01  79258
2013-10-01  79459
2013-11-01  79682
2013-12-01  79130
2014-01-01  78964
2014-02-01  79309
2014-03-01  80020
2014-04-01  79280
2014-05-01  80085
2014-06-01  79848
2014-07-01  80386
2014-08-01  79771
2014-09-01  80002
2014-10-01  80958
2014-11-01  80635
2014-12-01  80333
2015-01-01  80737
2015-02-01  81276
2015-03-01  81472
2015-04-01  81532
2015-05-01  82859
2015-06-01  82591
2015-07-01  82829
2015-08-01  81962
2015-09-01  81964
2015-10-01  82950
2015-11-01  82938
2015-12-01  83088
2016-01-01  83053
2016-02-01  83644
2016-03-01  84215
2016-04-01  83852
2016-05-01  84200
2016-06-01  84446
2016-07-01  85059
2016-08-01  84196
2016-09-01  84993
2016-10-01  85600
2016-11-01  85377
2016-12-01  85032
2017-01-01  85567
2017-02-01  85845
2017-03-01  86566
2017-04-01  86340
2017-05-01  86801
2017-06-01  87150
2017-07-01  87806
2017-08-01  87000
2017-09-01  88025
2017-10-01  88254
2017-11-01  88047
2017-12-01  87802
2018-01-01  87818
2018-02-01  88264
2018-03-01  88859
2018-04-01  88420
2018-05-01  89088
2018-06-01  89404
2018-07-01  89509
2018-08-01  88004
2018-09-01  88187
2018-10-01  89412
2018-11-01  88981
