Title:               Civilian Labor Force in Rockingham County, NC
2000-07-01  46578
2000-08-01  46043
2000-09-01  45851
2000-10-01  46355
2000-11-01  46578
2000-12-01  46753
2001-01-01  46664
2001-02-01  47080
2001-03-01  47166
2001-04-01  46636
2001-05-01  46596
2001-06-01  46820
2001-07-01  46585
2001-08-01  46122
2001-09-01  46165
2001-10-01  46572
2001-11-01  46565
2001-12-01  46674
2002-01-01  46008
2002-02-01  46398
2002-03-01  46270
2002-04-01  46552
2002-05-01  46399
2002-06-01  46375
2002-07-01  46556
2002-08-01  46384
2002-09-01  46506
2002-10-01  46538
2002-11-01  46880
2002-12-01  46666
2003-01-01  46750
2003-02-01  47219
2003-03-01  47119
2003-04-01  47450
2003-05-01  46888
2003-06-01  47181
2003-07-01  47077
2003-08-01  46897
2003-09-01  46460
2003-10-01  47092
2003-11-01  46935
2003-12-01  46138
2004-01-01  45774
2004-02-01  45774
2004-03-01  45537
2004-04-01  45621
2004-05-01  45448
2004-06-01  46104
2004-07-01  46526
2004-08-01  45681
2004-09-01  45388
2004-10-01  45673
2004-11-01  45741
2004-12-01  45635
2005-01-01  45169
2005-02-01  45613
2005-03-01  45462
2005-04-01  45724
2005-05-01  45822
2005-06-01  45774
2005-07-01  46202
2005-08-01  45560
2005-09-01  45514
2005-10-01  45960
2005-11-01  45776
2005-12-01  45656
2006-01-01  45022
2006-02-01  45315
2006-03-01  45464
2006-04-01  45622
2006-05-01  46168
2006-06-01  46083
2006-07-01  46696
2006-08-01  46502
2006-09-01  46162
2006-10-01  46692
2006-11-01  46685
2006-12-01  46394
2007-01-01  44744
2007-02-01  44811
2007-03-01  44723
2007-04-01  44529
2007-05-01  44535
2007-06-01  44574
2007-07-01  45210
2007-08-01  44256
2007-09-01  44299
2007-10-01  44388
2007-11-01  44557
2007-12-01  44184
2008-01-01  44347
2008-02-01  44156
2008-03-01  44250
2008-04-01  44208
2008-05-01  44326
2008-06-01  44258
2008-07-01  44682
2008-08-01  44232
2008-09-01  44320
2008-10-01  44943
2008-11-01  45437
2008-12-01  44893
2009-01-01  44604
2009-02-01  44663
2009-03-01  44172
2009-04-01  44289
2009-05-01  44229
2009-06-01  44036
2009-07-01  44162
2009-08-01  43654
2009-09-01  43213
2009-10-01  43255
2009-11-01  43380
2009-12-01  43127
2010-01-01  43957
2010-02-01  44242
2010-03-01  44422
2010-04-01  44679
2010-05-01  44513
2010-06-01  44312
2010-07-01  44573
2010-08-01  44110
2010-09-01  43905
2010-10-01  44057
2010-11-01  43968
2010-12-01  43781
2011-01-01  43403
2011-02-01  43384
2011-03-01  43464
2011-04-01  43556
2011-05-01  43596
2011-06-01  43533
2011-07-01  43686
2011-08-01  43504
2011-09-01  43777
2011-10-01  43862
2011-11-01  43672
2011-12-01  43369
2012-01-01  42860
2012-02-01  43054
2012-03-01  42987
2012-04-01  42681
2012-05-01  43115
2012-06-01  42912
2012-07-01  42956
2012-08-01  42849
2012-09-01  43151
2012-10-01  43579
2012-11-01  43191
2012-12-01  43061
2013-01-01  42541
2013-02-01  42650
2013-03-01  42388
2013-04-01  42161
2013-05-01  42335
2013-06-01  42286
2013-07-01  42263
2013-08-01  41939
2013-09-01  42091
2013-10-01  41968
2013-11-01  41832
2013-12-01  41414
2014-01-01  41000
2014-02-01  41259
2014-03-01  41443
2014-04-01  41064
2014-05-01  41314
2014-06-01  40982
2014-07-01  41172
2014-08-01  40884
2014-09-01  41030
2014-10-01  41397
2014-11-01  41212
2014-12-01  40757
2015-01-01  40868
2015-02-01  40999
2015-03-01  41030
2015-04-01  41219
2015-05-01  41525
2015-06-01  41208
2015-07-01  41223
2015-08-01  40968
2015-09-01  41053
2015-10-01  41273
2015-11-01  41187
2015-12-01  40894
2016-01-01  40479
2016-02-01  40790
2016-03-01  40969
2016-04-01  40737
2016-05-01  40641
2016-06-01  40486
2016-07-01  40834
2016-08-01  40598
2016-09-01  40950
2016-10-01  41214
2016-11-01  41264
2016-12-01  40764
2017-01-01  40766
2017-02-01  41093
2017-03-01  41109
2017-04-01  41164
2017-05-01  41151
2017-06-01  40971
2017-07-01  41261
2017-08-01  40906
2017-09-01  41402
2017-10-01  41234
2017-11-01  41305
2017-12-01  40907
2018-01-01  41000
2018-02-01  41507
2018-03-01  41448
2018-04-01  41391
2018-05-01  41504
2018-06-01  41542
2018-07-01  41589
2018-08-01  40797
2018-09-01  40947
2018-10-01  41510
2018-11-01  41640
