Title:               Civilian Labor Force in Jacksonville, NC (MSA)
1999-10-01  50309
1999-11-01  50480
1999-12-01  50271
2000-01-01  52305
2000-02-01  52747
2000-03-01  53102
2000-04-01  53122
2000-05-01  53398
2000-06-01  53488
2000-07-01  53293
2000-08-01  54169
2000-09-01  53437
2000-10-01  53653
2000-11-01  53712
2000-12-01  53933
2001-01-01  54256
2001-02-01  54198
2001-03-01  54971
2001-04-01  54375
2001-05-01  54617
2001-06-01  53545
2001-07-01  53756
2001-08-01  54291
2001-09-01  54005
2001-10-01  54323
2001-11-01  54748
2001-12-01  54268
2002-01-01  53474
2002-02-01  54090
2002-03-01  54125
2002-04-01  53994
2002-05-01  54246
2002-06-01  53348
2002-07-01  53057
2002-08-01  53562
2002-09-01  53377
2002-10-01  52998
2002-11-01  52629
2002-12-01  52944
2003-01-01  53163
2003-02-01  52922
2003-03-01  52996
2003-04-01  53799
2003-05-01  53843
2003-06-01  54194
2003-07-01  54243
2003-08-01  54724
2003-09-01  53670
2003-10-01  54031
2003-11-01  54590
2003-12-01  54188
2004-01-01  54517
2004-02-01  53950
2004-03-01  54680
2004-04-01  55579
2004-05-01  55521
2004-06-01  55046
2004-07-01  55766
2004-08-01  56103
2004-09-01  55123
2004-10-01  55511
2004-11-01  56320
2004-12-01  55715
2005-01-01  55067
2005-02-01  55549
2005-03-01  55540
2005-04-01  55912
2005-05-01  55929
2005-06-01  55347
2005-07-01  55978
2005-08-01  56002
2005-09-01  55944
2005-10-01  56771
2005-11-01  57192
2005-12-01  56715
2006-01-01  55865
2006-02-01  56546
2006-03-01  56906
2006-04-01  57579
2006-05-01  58182
2006-06-01  58926
2006-07-01  59158
2006-08-01  58813
2006-09-01  57964
2006-10-01  59142
2006-11-01  59839
2006-12-01  59556
2007-01-01  58563
2007-02-01  58747
2007-03-01  58990
2007-04-01  59460
2007-05-01  59931
2007-06-01  60797
2007-07-01  60388
2007-08-01  59718
2007-09-01  59933
2007-10-01  60108
2007-11-01  61263
2007-12-01  60755
2008-01-01  60946
2008-02-01  60960
2008-03-01  61330
2008-04-01  62310
2008-05-01  63374
2008-06-01  64064
2008-07-01  63780
2008-08-01  63659
2008-09-01  63551
2008-10-01  63626
2008-11-01  64473
2008-12-01  64049
2009-01-01  64577
2009-02-01  65136
2009-03-01  64777
2009-04-01  65413
2009-05-01  66391
2009-06-01  66450
2009-07-01  67683
2009-08-01  66516
2009-09-01  65945
2009-10-01  65632
2009-11-01  66001
2009-12-01  65181
2010-01-01  62305
2010-02-01  62674
2010-03-01  62948
2010-04-01  63942
2010-05-01  63971
2010-06-01  63505
2010-07-01  64231
2010-08-01  63440
2010-09-01  63288
2010-10-01  63133
2010-11-01  63732
2010-12-01  62940
2011-01-01  62541
2011-02-01  62638
2011-03-01  62345
2011-04-01  62945
2011-05-01  63104
2011-06-01  62448
2011-07-01  62578
2011-08-01  62680
2011-09-01  62730
2011-10-01  62861
2011-11-01  62882
2011-12-01  62478
2012-01-01  62576
2012-02-01  63125
2012-03-01  62966
2012-04-01  63482
2012-05-01  63933
2012-06-01  63492
2012-07-01  62216
2012-08-01  63779
2012-09-01  64327
2012-10-01  64549
2012-11-01  64658
2012-12-01  64088
2013-01-01  64532
2013-02-01  64484
2013-03-01  64432
2013-04-01  64273
2013-05-01  64697
2013-06-01  64583
2013-07-01  62506
2013-08-01  64187
2013-09-01  64075
2013-10-01  63570
2013-11-01  63732
2013-12-01  63429
2014-01-01  63740
2014-02-01  63702
2014-03-01  64318
2014-04-01  64013
2014-05-01  64784
2014-06-01  64366
2014-07-01  62799
2014-08-01  64590
2014-09-01  64084
2014-10-01  64355
2014-11-01  64398
2014-12-01  63247
2015-01-01  63763
2015-02-01  63890
2015-03-01  64074
2015-04-01  64259
2015-05-01  64780
2015-06-01  64097
2015-07-01  62200
2015-08-01  63608
2015-09-01  63602
2015-10-01  63558
2015-11-01  63713
2015-12-01  63438
2016-01-01  63338
2016-02-01  63750
2016-03-01  64139
2016-04-01  63864
2016-05-01  64107
2016-06-01  63847
2016-07-01  62044
2016-08-01  63865
2016-09-01  64263
2016-10-01  63674
2016-11-01  63664
2016-12-01  63238
2017-01-01  63787
2017-02-01  64351
2017-03-01  64659
2017-04-01  64475
2017-05-01  64554
2017-06-01  64458
2017-07-01  62777
2017-08-01  64344
2017-09-01  64655
2017-10-01  63973
2017-11-01  64183
2017-12-01  63730
2018-01-01  64023
2018-02-01  64831
2018-03-01  65013
2018-04-01  64755
2018-05-01  64812
2018-06-01  64781
2018-07-01  62800
2018-08-01  64082
2018-09-01  63513
2018-10-01  64863
2018-11-01  64420
