Title:               Civilian Labor Force in Polk County, NC
Series ID:           NCPOLK9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
2010-06-01  8585
2010-07-01  8684
2010-08-01  8538
2010-09-01  8550
2010-10-01  8530
2010-11-01  8564
2010-12-01  8382
2011-01-01  8415
2011-02-01  8427
2011-03-01  8458
2011-04-01  8406
2011-05-01  8448
2011-06-01  8474
2011-07-01  8493
2011-08-01  8481
2011-09-01  8479
2011-10-01  8498
2011-11-01  8385
2011-12-01  8371
2012-01-01  8230
2012-02-01  8292
2012-03-01  8250
2012-04-01  8321
2012-05-01  8401
2012-06-01  8400
2012-07-01  8338
2012-08-01  8306
2012-09-01  8373
2012-10-01  8465
2012-11-01  8409
2012-12-01  8400
2013-01-01  8664
2013-02-01  8642
2013-03-01  8561
2013-04-01  8622
2013-05-01  8714
2013-06-01  8792
2013-07-01  8660
2013-08-01  8670
2013-09-01  8749
2013-10-01  8657
2013-11-01  8653
2013-12-01  8612
2014-01-01  8269
2014-02-01  8306
2014-03-01  8370
2014-04-01  8343
2014-05-01  8493
2014-06-01  8498
2014-07-01  8474
2014-08-01  8428
2014-09-01  8425
2014-10-01  8485
2014-11-01  8431
2014-12-01  8370
2015-01-01  8417
2015-02-01  8466
2015-03-01  8491
2015-04-01  8528
2015-05-01  8811
2015-06-01  8806
2015-07-01  8916
2015-08-01  8819
2015-09-01  8743
2015-10-01  8774
2015-11-01  8611
2015-12-01  8549
2016-01-01  8534
2016-02-01  8665
2016-03-01  8678
2016-04-01  8738
2016-05-01  8894
2016-06-01  8938
2016-07-01  8944
2016-08-01  8889
2016-09-01  8900
2016-10-01  9014
2016-11-01  8882
2016-12-01  8713
2017-01-01  8683
2017-02-01  8762
2017-03-01  8792
2017-04-01  8898
2017-05-01  8959
2017-06-01  9052
2017-07-01  9062
