Title:               Civilian Labor Force in Asheville, NC (MSA)
2014-08-01  213586
2014-09-01  214896
2014-10-01  215881
2014-11-01  215235
2014-12-01  213564
2015-01-01  214308
2015-02-01  214924
2015-03-01  215855
2015-04-01  217572
2015-05-01  220818
2015-06-01  219685
2015-07-01  220519
2015-08-01  217760
2015-09-01  218716
2015-10-01  219868
2015-11-01  219261
2015-12-01  218877
2016-01-01  220391
2016-02-01  222334
2016-03-01  224113
2016-04-01  223346
2016-05-01  224704
2016-06-01  225235
2016-07-01  226691
2016-08-01  224304
2016-09-01  226101
2016-10-01  227279
2016-11-01  226241
2016-12-01  224616
2017-01-01  224833
2017-02-01  227381
2017-03-01  228047
2017-04-01  227439
2017-05-01  228596
2017-06-01  228949
2017-07-01  231187
2017-08-01  228378
2017-09-01  232164
2017-10-01  231603
2017-11-01  231697
2017-12-01  229703
2018-01-01  230243
2018-02-01  231323
2018-03-01  231563
2018-04-01  232134
2018-05-01  232735
2018-06-01  234363
2018-07-01  235009
2018-08-01  229141
2018-09-01  229524
2018-10-01  231429
2018-11-01  229613
