Title:               All Employees: Total Nonfarm in Asheville, NC (MSA)
2015-02-01  179.3
2015-03-01  179.1
2015-04-01  180.1
2015-05-01  180.6
2015-06-01  180.8
2015-07-01  181.7
2015-08-01  181.8
2015-09-01  182.0
2015-10-01  182.9
2015-11-01  183.1
2015-12-01  183.8
2016-01-01  185.3
2016-02-01  186.0
2016-03-01  186.7
2016-04-01  186.6
2016-05-01  186.4
2016-06-01  187.4
2016-07-01  187.6
2016-08-01  188.0
2016-09-01  188.2
2016-10-01  188.6
2016-11-01  189.1
2016-12-01  189.3
2017-01-01  189.7
2017-02-01  190.5
2017-03-01  189.9
2017-04-01  189.5
2017-05-01  189.6
2017-06-01  189.8
2017-07-01  190.5
2017-08-01  190.7
2017-09-01  191.3
2017-10-01  191.8
2017-11-01  192.4
2017-12-01  192.9
2018-01-01  193.2
2018-02-01  192.8
2018-03-01  192.5
2018-04-01  192.8
2018-05-01  193.4
2018-06-01  194.8
2018-07-01  195.7
2018-08-01  194.1
2018-09-01  193.5
2018-10-01  192.9
2018-11-01  192.3
