Title:               All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
1999-04-01   788.5
1999-05-01   789.0
1999-06-01   790.3
1999-07-01   796.5
1999-08-01   797.8
1999-09-01   801.1
1999-10-01   807.1
1999-11-01   808.1
1999-12-01   811.8
2000-01-01   814.1
2000-02-01   813.8
2000-03-01   816.4
2000-04-01   819.8
2000-05-01   821.7
2000-06-01   825.3
2000-07-01   822.6
2000-08-01   819.1
2000-09-01   822.0
2000-10-01   823.5
2000-11-01   824.4
2000-12-01   823.5
2001-01-01   822.4
2001-02-01   822.0
2001-03-01   818.7
2001-04-01   818.1
2001-05-01   815.2
2001-06-01   813.9
2001-07-01   810.0
2001-08-01   809.8
2001-09-01   807.5
2001-10-01   806.7
2001-11-01   803.7
2001-12-01   801.3
2002-01-01   800.6
2002-02-01   803.1
2002-03-01   803.3
2002-04-01   802.4
2002-05-01   801.9
2002-06-01   803.7
2002-07-01   803.7
2002-08-01   805.5
2002-09-01   805.6
2002-10-01   802.5
2002-11-01   802.3
2002-12-01   801.4
2003-01-01   801.8
2003-02-01   799.9
2003-03-01   800.2
2003-04-01   799.8
2003-05-01   802.1
2003-06-01   800.0
2003-07-01   792.6
2003-08-01   793.4
2003-09-01   795.3
2003-10-01   794.8
2003-11-01   796.7
2003-12-01   798.1
2004-01-01   797.2
2004-02-01   796.2
2004-03-01   798.0
2004-04-01   798.0
2004-05-01   801.5
2004-06-01   803.8
2004-07-01   806.8
2004-08-01   809.8
2004-09-01   808.9
2004-10-01   811.6
2004-11-01   812.5
2004-12-01   813.8
2005-01-01   814.6
2005-02-01   816.3
2005-03-01   816.6
2005-04-01   820.1
2005-05-01   820.8
2005-06-01   820.9
2005-07-01   826.6
2005-08-01   827.1
2005-09-01   830.1
2005-10-01   833.8
2005-11-01   835.2
2005-12-01   836.8
2006-01-01   846.7
2006-02-01   847.3
2006-03-01   849.8
2006-04-01   858.4
2006-05-01   859.9
2006-06-01   861.3
2006-07-01   865.7
2006-08-01   868.0
2006-09-01   869.8
2006-10-01   873.4
2006-11-01   878.0
2006-12-01   880.0
2007-01-01   883.1
2007-02-01   884.9
2007-03-01   889.0
2007-04-01   888.9
2007-05-01   890.4
2007-06-01   894.6
2007-07-01   892.6
2007-08-01   893.6
2007-09-01   894.5
2007-10-01   896.6
2007-11-01   898.3
2007-12-01   900.9
2008-01-01   894.6
2008-02-01   896.7
2008-03-01   895.7
2008-04-01   891.0
2008-05-01   889.9
2008-06-01   887.8
2008-07-01   883.2
2008-08-01   881.7
2008-09-01   878.6
2008-10-01   872.6
2008-11-01   863.7
2008-12-01   861.0
2009-01-01   845.6
2009-02-01   840.2
2009-03-01   831.8
2009-04-01   822.5
2009-05-01   819.5
2009-06-01   814.0
2009-07-01   812.3
2009-08-01   809.1
2009-09-01   806.9
2009-10-01   803.5
2009-11-01   802.8
2009-12-01   803.2
2010-01-01   802.4
2010-02-01   801.2
2010-03-01   804.0
2010-04-01   808.8
2010-05-01   809.9
2010-06-01   810.9
2010-07-01   813.0
2010-08-01   814.2
2010-09-01   815.7
2010-10-01   819.4
2010-11-01   821.1
2010-12-01   822.1
2011-01-01   822.1
2011-02-01   828.6
2011-03-01   830.4
2011-04-01   832.9
2011-05-01   831.6
2011-06-01   833.8
2011-07-01   835.8
2011-08-01   837.9
2011-09-01   841.4
2011-10-01   840.7
2011-11-01   843.0
2011-12-01   844.1
2012-01-01   850.3
2012-02-01   851.7
2012-03-01   855.8
2012-04-01   855.6
2012-05-01   859.0
2012-06-01   860.7
2012-07-01   861.6
2012-08-01   862.7
2012-09-01   864.6
2012-10-01   866.1
2012-11-01   868.9
2012-12-01   870.1
2013-01-01   870.2
2013-02-01   873.9
2013-03-01   875.5
2013-04-01   877.6
2013-05-01   878.8
2013-06-01   881.8
2013-07-01   883.9
2013-08-01   887.5
2013-09-01   888.9
2013-10-01   891.6
2013-11-01   895.6
2013-12-01   898.6
2014-01-01   903.9
2014-02-01   900.4
2014-03-01   908.0
2014-04-01   912.5
2014-05-01   915.5
2014-06-01   917.8
2014-07-01   920.5
2014-08-01   924.0
2014-09-01   927.6
2014-10-01   931.7
2014-11-01   934.5
2014-12-01   938.7
2015-01-01   942.1
2015-02-01   946.7
2015-03-01   946.5
2015-04-01   950.2
2015-05-01   956.0
2015-06-01   959.3
2015-07-01   963.2
2015-08-01   964.4
2015-09-01   968.0
2015-10-01   972.8
2015-11-01   976.3
2015-12-01   980.9
2016-01-01   985.1
2016-02-01   987.3
2016-03-01   990.0
2016-04-01   997.0
2016-05-01   994.3
2016-06-01   993.9
2016-07-01  1000.1
2016-08-01  1001.7
2016-09-01  1006.2
2016-10-01  1006.5
2016-11-01  1009.5
2016-12-01  1010.1
2017-01-01  1014.6
2017-02-01  1017.7
2017-03-01  1019.4
2017-04-01  1021.3
2017-05-01  1024.0
2017-06-01  1027.1
2017-07-01  1028.8
2017-08-01  1033.0
2017-09-01  1032.6
2017-10-01  1035.6
2017-11-01  1035.7
2017-12-01  1040.3
2018-01-01  1039.1
2018-02-01  1041.3
2018-03-01  1044.8
2018-04-01  1045.6
2018-05-01  1048.6
2018-06-01  1051.4
2018-07-01  1054.5
2018-08-01  1057.0
2018-09-01  1057.1
2018-10-01  1061.2
