Title:               All Employees: Total Private in Charlotte-Concord-Gastonia, NC-SC (MSA)
2004-07-01   809.8
2004-08-01   814.8
2004-09-01   811.1
2004-10-01   816.1
2004-11-01   817.5
2004-12-01   818.4
2005-01-01   801.4
2005-02-01   805.1
2005-03-01   811.7
2005-04-01   817.6
2005-05-01   823.2
2005-06-01   825.4
2005-07-01   829.7
2005-08-01   832.1
2005-09-01   832.2
2005-10-01   839.0
2005-11-01   841.0
2005-12-01   841.9
2006-01-01   832.8
2006-02-01   835.7
2006-03-01   844.6
2006-04-01   855.1
2006-05-01   862.1
2006-06-01   865.8
2006-07-01   868.8
2006-08-01   873.1
2006-09-01   872.2
2006-10-01   879.4
2006-11-01   884.7
2006-12-01   885.7
2007-01-01   868.5
2007-02-01   872.9
2007-03-01   883.4
2007-04-01   885.0
2007-05-01   892.5
2007-06-01   899.2
2007-07-01   895.6
2007-08-01   898.8
2007-09-01   897.2
2007-10-01   902.9
2007-11-01   905.3
2007-12-01   906.8
2008-01-01   879.7
2008-02-01   884.6
2008-03-01   890.0
2008-04-01   887.0
2008-05-01   891.8
2008-06-01   892.5
2008-07-01   886.1
2008-08-01   886.7
2008-09-01   881.6
2008-10-01   878.5
2008-11-01   870.4
2008-12-01   866.7
2009-01-01   831.5
2009-02-01   828.9
2009-03-01   826.5
2009-04-01   818.9
2009-05-01   821.3
2009-06-01   818.5
2009-07-01   815.0
2009-08-01   813.5
2009-09-01   809.7
2009-10-01   808.5
2009-11-01   808.8
2009-12-01   808.5
2010-01-01   789.1
2010-02-01   790.5
2010-03-01   798.9
2010-04-01   805.7
2010-05-01   811.9
2010-06-01   815.6
2010-07-01   815.8
2010-08-01   818.4
2010-09-01   818.2
2010-10-01   823.8
2010-11-01   826.9
2010-12-01   827.6
2011-01-01   808.7
2011-02-01   817.7
2011-03-01   825.1
2011-04-01   830.3
2011-05-01   834.0
2011-06-01   839.0
2011-07-01   838.9
2011-08-01   841.9
2011-09-01   843.3
2011-10-01   844.6
2011-11-01   848.7
2011-12-01   849.9
2012-01-01   836.8
2012-02-01   840.7
2012-03-01   850.4
2012-04-01   853.3
2012-05-01   861.8
2012-06-01   866.4
2012-07-01   865.0
2012-08-01   866.5
2012-09-01   865.6
2012-10-01   869.6
2012-11-01   874.5
2012-12-01   876.3
2013-01-01   857.0
2013-02-01   862.8
2013-03-01   869.9
2013-04-01   875.1
2013-05-01   881.9
2013-06-01   888.1
2013-07-01   887.6
2013-08-01   891.0
2013-09-01   889.2
2013-10-01   895.0
2013-11-01   901.3
2013-12-01   905.3
2014-01-01   890.7
2014-02-01   889.1
2014-03-01   902.0
2014-04-01   909.5
2014-05-01   918.7
2014-06-01   924.6
2014-07-01   924.7
2014-08-01   927.7
2014-09-01   927.3
2014-10-01   935.4
2014-11-01   940.3
2014-12-01   945.9
2015-01-01   928.7
2015-02-01   934.8
2015-03-01   940.0
2015-04-01   946.7
2015-05-01   959.2
2015-06-01   966.5
2015-07-01   968.1
2015-08-01   968.6
2015-09-01   967.2
2015-10-01   977.0
2015-11-01   982.3
2015-12-01   988.4
2016-01-01   971.2
2016-02-01   974.9
2016-03-01   983.0
2016-04-01   992.8
2016-05-01   997.4
2016-06-01  1001.5
2016-07-01  1005.6
2016-08-01  1006.7
2016-09-01  1005.0
2016-10-01  1011.2
2016-11-01  1015.5
2016-12-01  1017.8
2017-01-01  1000.3
2017-02-01  1004.7
2017-03-01  1012.2
2017-04-01  1016.7
2017-05-01  1026.9
2017-06-01  1034.9
2017-07-01  1034.8
2017-08-01  1038.6
2017-09-01  1031.3
2017-10-01  1040.7
2017-11-01  1041.8
2017-12-01  1048.0
2018-01-01  1024.3
2018-02-01  1027.9
2018-03-01  1037.4
2018-04-01  1040.7
2018-05-01  1051.4
2018-06-01  1059.4
2018-07-01  1060.7
2018-08-01  1063.3
2018-09-01  1055.6
2018-10-01  1066.6
